ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wheeler-2015-102-1	1	all	98	ALL
Wheeler-2015-102-2	2	ash/ashes	646	ASH
Wheeler-2015-102-3	3	bark(tree)	1204	BARK
Wheeler-2015-102-4	4	belly	1251	BELLY
Wheeler-2015-102-5	5	big	1202	BIG
Wheeler-2015-102-6	6	bird	937	BIRD
Wheeler-2015-102-7	7	bite	1403	BITE
Wheeler-2015-102-8	8	black	163	BLACK
Wheeler-2015-102-9	9	blood	946	BLOOD
Wheeler-2015-102-10	10	bone	1394	BONE
Wheeler-2015-102-11	11	breast	1402	BREAST
Wheeler-2015-102-12	12	claw	72	CLAW
Wheeler-2015-102-13	13	cloud	1489	CLOUD
Wheeler-2015-102-14	14	cold	1287	COLD
Wheeler-2015-102-15	15	come	1446	COME
Wheeler-2015-102-16	16	die	1494	DIE
Wheeler-2015-102-17	17	dog	2009	DOG
Wheeler-2015-102-18	18	dry	1398	DRY
Wheeler-2015-102-19	19	ear	1247	EAR
Wheeler-2015-102-20	20	earth 1 (primarily mud clay)	2158	EARTH (WET SUBSTANCE)
Wheeler-2015-102-21	21	earth 2 (primarily land  landform ground soil world)	1228	EARTH (SOIL)
Wheeler-2015-102-22	22	eat	1336	EAT
Wheeler-2015-102-23	23	egg	744	EGG
Wheeler-2015-102-24	24	eye	1248	EYE
Wheeler-2015-102-25	25	fat, grease (substance)	323	GREASE
Wheeler-2015-102-26	26	feather (not down)	1201	FEATHER
Wheeler-2015-102-27	27	fire	221	FIRE
Wheeler-2015-102-28	28	fish	227	FISH
Wheeler-2015-102-29	29	flesh (meat)	634	MEAT
Wheeler-2015-102-30	30	foot	1301	FOOT
Wheeler-2015-102-31	31	full	1429	FULL
Wheeler-2015-102-32	32	give	1447	GIVE
Wheeler-2015-102-33	33	good	1035	GOOD
Wheeler-2015-102-34	34	green blue	1425	GREEN
Wheeler-2015-102-35	35	hair	1040	HAIR
Wheeler-2015-102-36	36	hand	1277	HAND
Wheeler-2015-102-37	37	head	1256	HEAD
Wheeler-2015-102-38	38	hear	1408	HEAR
Wheeler-2015-102-39	39	heart	1223	HEART
Wheeler-2015-102-40	40	horn	1393	HORN (KERATINIZED SKIN)
Wheeler-2015-102-41	41	hot	1286	HOT
Wheeler-2015-102-42	42	I	1209	I
Wheeler-2015-102-43	43	kill (pl. obj.)	1417	KILL
Wheeler-2015-102-44	44	kill (sing./dual obj.)	1417	KILL
Wheeler-2015-102-45	45	knee	1371	KNEE
Wheeler-2015-102-46	46	know	1410	KNOW (SOMETHING)
Wheeler-2015-102-47	47	leaf	628	LEAF
Wheeler-2015-102-48	48	lie (down)	1411	LIE (REST)
Wheeler-2015-102-49	49	liver	1224	LIVER
Wheeler-2015-102-50	50	long	1203	LONG
Wheeler-2015-102-51	51	louse	1392	LOUSE
Wheeler-2015-102-52	52	man	1554	MAN
Wheeler-2015-102-53	53	many	1198	MANY
Wheeler-2015-102-54	54	moon	1313	MOON
Wheeler-2015-102-55	55	mountain	639	MOUNTAIN
Wheeler-2015-102-56	56	mouth	674	MOUTH
Wheeler-2015-102-57	57	name (noun,though some overlap with verb)	1405	NAME
Wheeler-2015-102-58	58	neck	1333	NECK
Wheeler-2015-102-59	59	new	1231	NEW
Wheeler-2015-102-60	60	night	1233	NIGHT
Wheeler-2015-102-61	61	nose	1221	NOSE
Wheeler-2015-102-62	62	not	1240	NOT
Wheeler-2015-102-63	63	one	1493	ONE
Wheeler-2015-102-64	64	path	2252	PATH
Wheeler-2015-102-65	65	person	683	PERSON
Wheeler-2015-102-66	66	rain (vb.,mostly)	1253	RAIN (RAINING)
Wheeler-2015-102-67	67	red	156	RED
Wheeler-2015-102-68	68	root	670	ROOT
Wheeler-2015-102-69	69	round	1395	ROUND
Wheeler-2015-102-70	70	sand	671	SAND
Wheeler-2015-102-71	71	seed	714	SEED
Wheeler-2015-102-72	72	sit	1416	SIT
Wheeler-2015-102-73	73	skin	763	SKIN
Wheeler-2015-102-74	74	sleep	1585	SLEEP
Wheeler-2015-102-75	75	small	1246	SMALL
Wheeler-2015-102-76	76	smoke (primarily noun)	778	SMOKE (EXHAUST)
Wheeler-2015-102-77	77	stand	1442	STAND
Wheeler-2015-102-78	78	star	1430	STAR
Wheeler-2015-102-79	79	stone	857	STONE
Wheeler-2015-102-80	80	sun	1343	SUN
Wheeler-2015-102-81	81	swim	1439	SWIM
Wheeler-2015-102-82	82	tail	1220	TAIL
Wheeler-2015-102-83	83	that/that one	78	THAT
Wheeler-2015-102-84	84	this	1214	THIS
Wheeler-2015-102-85	85	to burn	2102	BURN
Wheeler-2015-102-86	86	to drink	1401	DRINK
Wheeler-2015-102-87	87	to fly	1441	FLY (MOVE THROUGH AIR)
Wheeler-2015-102-88	88	to say	1458	SAY
Wheeler-2015-102-89	89	to see	1409	SEE
Wheeler-2015-102-90	90	tongue	1205	TONGUE
Wheeler-2015-102-91	91	tooth	1380	TOOTH
Wheeler-2015-102-92	92	tree	906	TREE
Wheeler-2015-102-93	93	two	1498	TWO
Wheeler-2015-102-94	94	walk	1443	WALK
Wheeler-2015-102-95	95	water	948	WATER
Wheeler-2015-102-96	96	we	1212	WE
Wheeler-2015-102-97	97	what	1236	WHAT
Wheeler-2015-102-98	98	white	1335	WHITE
Wheeler-2015-102-99	99	who	1235	WHO
Wheeler-2015-102-100	100	woman	962	WOMAN
Wheeler-2015-102-101	101	yellow	1424	YELLOW
Wheeler-2015-102-102	102	you (sing.)	1213	YOU
