ID	NUMBER	ENGLISH	SHAPE	D	S	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wichmann-2010-40-34	34	BLOOD	aaaa	11.33	29.0	946	BLOOD
Wichmann-2010-40-27	27	BONE	kaka	12.55	30.1	1394	BONE
Wichmann-2010-40-1	1	BREAST	muma	23.68	30.7	1402	BREAST
Wichmann-2010-40-13	13	COME	haaa	15.54	26.8	1446	COME
Wichmann-2010-40-35	35	DIE	kaaa	11.32	36.3	1494	DIE
Wichmann-2010-40-14	14	DOG	kaaaa	15.24	24.2	2009	DOG
Wichmann-2010-40-21	21	DRINK	iaaa	13.49	25.0	1401	DRINK
Wichmann-2010-40-31	31	EAR	kaaaa	11.97	37.2	1247	EAR
Wichmann-2010-40-30	30	EYE	naki	12.05	35.4	1248	EYE
Wichmann-2010-40-16	16	FIRE	kaaa	14.09	25.7	221	FIRE
Wichmann-2010-40-28	28	FISH	aaia	12.44	33.4	227	FISH
Wichmann-2010-40-18	18	FULL	kaiaa	13.99	26.9	1429	FULL
Wichmann-2010-40-19	19	HAND	maka	13.97	34.9	1277	HAND
Wichmann-2010-40-33	33	HEAR	naaaa	11.53	33.8	1408	HEAR
Wichmann-2010-40-11	11	HORN	kaaaa	15.98	28.8	1393	HORN (KERATINIZED SKIN)
Wichmann-2010-40-2	2	I	naa	22.66	35.9	1209	I
Wichmann-2010-40-3	3	KNEE	kokaau	22.50	28.0	1371	KNEE
Wichmann-2010-40-9	9	LEAF	aaaa	17.22	29.4	628	LEAF
Wichmann-2010-40-29	29	LIVER	kanaa	12.31	35.7	1224	LIVER
Wichmann-2010-40-12	12	LOUSE	kami	15.60	42.8	1392	LOUSE
Wichmann-2010-40-26	26	MOUNTAIN	kaaaa	12.65	26.2	639	MOUNTAIN
Wichmann-2010-40-6	6	NAME	nani	17.53	32.4	1405	NAME
Wichmann-2010-40-36	36	NEW	kamaa	11.17	24.3	1231	NEW
Wichmann-2010-40-23	23	NIGHT	kanaa	13.27	29.6	1233	NIGHT
Wichmann-2010-40-5	5	NOSE	nani	18.76	27.3	1221	NOSE
Wichmann-2010-40-38	38	ONE	tanaa	10.93	27.4	1493	ONE
Wichmann-2010-40-24	24	PATH	taaa	12.85	30.2	683	PERSON
Wichmann-2010-40-17	17	PERSON	nanaa	14.04	28.7	667	ROAD
Wichmann-2010-40-25	25	SEE	kana	12.71	24.7	1409	SEE
Wichmann-2010-40-8	8	SKIN	kaaa	17.30	29.6	763	SKIN
Wichmann-2010-40-22	22	STAR	karaaa	13.37	26.6	1430	STAR
Wichmann-2010-40-15	15	STONE	kaaa	14.12	32.1	857	STONE
Wichmann-2010-40-40	40	SUN	kana 	10.38	24.2	1343	SUN
Wichmann-2010-40-10	10	TONGUE	aanaa	16.52	30.1	1205	TONGUE
Wichmann-2010-40-32	32	TOOTH	kaia	11.79	30.7	1380	TOOTH
Wichmann-2010-40-39	39	TREE	aaaa	10.88	33.6	906	TREE
Wichmann-2010-40-37	37	TWO	aaaaa	11.10	39.8	1498	TWO
Wichmann-2010-40-20	20	WATER	kaa	13.74 	37.4	948	WATER
Wichmann-2010-40-7	7	WE	nina	17.44	25.4	1212	WE
Wichmann-2010-40-4	4	YOU	nin	21.63	30.6	1213	YOU
