ID	NUMBER	MEANING	LATIN	SPANISH	ENGLISH	SCORE	POS	NO_OF_STATES	RATE_MEAN	RATE_SD	MSP_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wilson-2015-173-1	1	ALL	totus	todo	all	0	Adj.	15	02.02	0.03	5477,21	98	ALL
Wilson-2015-173-2	2	AND	et	y	and	2	Conj.	25	3.39	0.03	25203,09	1577	AND
Wilson-2015-173-3	3	ANIMAL	animal	animal	animal	0	Noun	23	3.4	0.03	89,56	619	ANIMAL
Wilson-2015-173-4	4	ASHES	cinis	ceniza	ashes	2	Noun	21	2.65	0.03	5,74	646	ASH
Wilson-2015-173-5	5	BACK	dorsum	espalda	back	4	Noun	26	4.29	0.03	48,38	1291	BACK
Wilson-2015-173-6	6	BAD	malus	malo	bad	0	Adj.	40	6.87	0.04	237,5	1292	BAD
Wilson-2015-173-7	7	BARK (OF A TREE)	cortex	corteza	bark (of a tree)	1	Noun	27	3.79	0.03	3,82	1204	BARK
Wilson-2015-173-8	8	BECAUSE	quia	porque	because	3	Conj.	39	7.11	0.04	3855,15	1157	BECAUSE
Wilson-2015-173-9	9	BELLY	stomachus	estómago	belly	5	Noun	28	4.39	0.03	2,94	1251	BELLY
Wilson-2015-173-10	10	BIG	grandis	grande	big	1	Adj.	24	4.31	0.04	478,09	1202	BIG
Wilson-2015-173-11	11	BIRD	avis	ave	bird	1	Noun	15	2.15	0.03	28,53	937	BIRD
Wilson-2015-173-12	12	BLACK	niger	negro	black	1	Adj.	15	1.91	0.03	145,15	163	BLACK
Wilson-2015-173-13	13	BLOOD	sanguis	sangre	blood	2	Noun	15	2.19	0.04	95	946	BLOOD
Wilson-2015-173-14	14	BONE	os	hueso	bone	1	Noun	13	1.34	0.03	26,32	1394	BONE
Wilson-2015-173-15	15	CLOUD	nubes	nube	cloud	1	Noun	24	3.25	0.03	19,71	1489	CLOUD
Wilson-2015-173-16	16	COLD	frigidus	frío	cold	1	Adj.	22	3.58	0.03	104,85	1287	COLD
Wilson-2015-173-17	17	DAY (NOT NIGHT)	dies	día	day (not night)	1	Noun	10	01.04	0.03	1459,56	1225	DAY (NOT NIGHT)
Wilson-2015-173-18	18	DIRTY	sordidus	sucio	dirty	4	Adj.	46	9.27	0.04	31,18	1230	DIRTY
Wilson-2015-173-19	19	DOG	canis	perro	dog	4	Noun	15	1.79	0.03	128,82	2009	DOG
Wilson-2015-173-20	20	DRY (SUBSTANCE)	siccus	seco	dry (substance)	0	Adj.	13	1.83	0.04	23,97	1398	DRY
Wilson-2015-173-21	21	DUST	pulvis	polvo	dust	2	Noun	26	3.63	0.03	20,44	2	DUST
Wilson-2015-173-22	22	EAR	auris	oreja	ear	4	Noun	6	0.88	0.05	101,91	1247	EAR
Wilson-2015-173-23	23	EARTH (SOIL)	solum	suelo	earth (soil)	1	Noun	23	3.52	0.03	137,65	1228	EARTH (SOIL)
Wilson-2015-173-24	24	EGG	ovum	huevo	egg	1	Noun	13	1.57	0.04	22,35	744	EGG
Wilson-2015-173-25	25	EYE	oculus	ojo	eye	1	Noun	8	0.93	0.04	235,59	1248	EYE
Wilson-2015-173-26	26	FAR	procul	lejos	far	4	Adj.	19	3.14	0.04	90,88	1406	FAR
Wilson-2015-173-27	27	FAT	adeps	grasa	fat	4	Noun	31	4.89	0.03	14,71	323	FAT (ORGANIC SUBSTANCE)
Wilson-2015-173-28	28	FATHER	pater	padre	father	1	Pronoun	9	2.3	0.06	499,12	1217	FATHER
Wilson-2015-173-29	29	FEATHER	pluma	pluma	feather	1	Noun	15	2.35	0.04	18,68	1201	FEATHER
Wilson-2015-173-30	30	FIRE	incendium	incendio	fire	1	Noun	15	1.75	0.03	50,59	221	FIRE
Wilson-2015-173-31	31	FISH	piscis	pez	fish	1	Noun	11	1.45	0.04	18,97	227	FISH
Wilson-2015-173-32	32	FIVE	quinque	cinco	five	2	Number	1	0.09	0.09	377,5	493	FIVE
Wilson-2015-173-33	33	FLOWER	flos	flor	flower	1	Noun	18	2.29	0.03	109,56	239	FLOWER
Wilson-2015-173-34	34	FOG	nebula	niebla	fog	1	Noun	32	4.97	0.04	5,15	249	FOG
Wilson-2015-173-35	35	FOOT	pes	pie	foot	0	Noun	12	1.39	0.03	142,21	1301	FOOT
Wilson-2015-173-36	36	FOUR	quattuor	cuatro	four	2	Number	2	0.38	0.13	406,32	1500	FOUR
Wilson-2015-173-37	37	FRUIT	fructus	fruto	fruit	5	Noun	23	2.95	0.03	22,65	1507	FRUIT
Wilson-2015-173-38	38	GOOD	bonus	buen	good	0	Adj.	25	03.04	0.03	2433,68	1035	GOOD
Wilson-2015-173-39	39	GRASS	herba	hierba	grass	1	Noun	22	2.73	0.03	7,94	606	GRASS
Wilson-2015-173-40	40	GREEN	viridis	verde	green	1	Adj.	19	2.46	0.03	58,82	1425	GREEN
Wilson-2015-173-41	41	GUTS	intestinum	intestino	guts	1	Noun	35	6.89	0.04	5,44	1334	GUTS
Wilson-2015-173-42	42	HAIR	pilus	pelo	hair	1	Noun	24	3.61	0.03	69,26	1040	HAIR
Wilson-2015-173-43	43	HAND	manus	mano	hand	1	Noun	8	0.82	0.04	446,18	1277	HAND
Wilson-2015-173-44	44	HE (THEY)	is	él	he (they)	4	Pronoun	11	2.45	0.05	1201,62	1211	HE
Wilson-2015-173-45	45	HEAD	caput	cabeza	head	1	Noun	17	2.32	0.03	195,29	1256	HEAD
Wilson-2015-173-46	46	HEART	cor	corazón	heart	4	Noun	13	1.69	0.03	106,47	1223	HEART
Wilson-2015-173-47	47	HEAVY	gravis	pesado	heavy	4	Adj.	20	2.89	0.03	32,65	1210	HEAVY
Wilson-2015-173-48	48	HOLD (IN HAND)	teneo	sostener	hold (in hand)	4	Verb	29	4.48	0.03	71,47	1448	HOLD
Wilson-2015-173-49	49	HOW	quo	como	how	1	Adv.	3	0.41	0.08	1206,47	1239	HOW
Wilson-2015-173-50	50	HUSBAND	maritus	marido	husband	1	Noun	28	4.74	0.03	126,18	1200	HUSBAND
Wilson-2015-173-51	51	I	ego	yo	i	1	Pronoun	1	0.09	0.09	5990,29	1209	I
Wilson-2015-173-52	52	ICE	glacies	hielo	ice	4	Noun	20	2.58	0.03	16,32	617	ICE
Wilson-2015-173-53	53	IF	si	si	if	0	Conj.	27	4.32	0.03	3533,97	1459	IF
Wilson-2015-173-54	54	KNOW	scio	saber	know	4	Verb	13	2.11	0.04	2906,47	3626	KNOW
Wilson-2015-173-55	55	LAKE	lacus	lago	lake	1	Noun	25	3.5	0.03	19,71	624	LAKE
Wilson-2015-173-56	56	LEAF	folium	hoja	leaf	1	Noun	19	2.43	0.03	40,15	628	LEAF
Wilson-2015-173-57	57	LEFT (HAND)	sinister	izquierda	left (hand)	5	Adj.	30	4.41	0.03	191,62	2182	LEFT HAND
Wilson-2015-173-58	58	LEG	crus	pierna	leg	4	Noun	25	3.73	0.03	70,88	1297	LEG
Wilson-2015-173-59	59	LIVER	iecur	hígado	liver	4	Noun	17	2.66	0.04	6,03	1224	LIVER
Wilson-2015-173-60	60	LONG	longus	largo	long	4	Adj.	12	1.22	0.03	237,94	1203	LONG
Wilson-2015-173-61	61	LOUSE	pediculus	piojo	louse	1	Noun	12	1.74	0.04	3,53	1392	LOUSE
Wilson-2015-173-62	62	MAN	vir	hombre	man	4	Noun	18	3.38	0.04	964,12	1554	MAN
Wilson-2015-173-63	63	MANY	multus	mucho	many	2	Adj.	32	5.6	0.04	2866,32	1198	MANY
Wilson-2015-173-64	64	MEAT (FLESH)	caro	carne	meat (flesh)	1	Noun	15	1.62	0.03	78,53	2615	FLESH OR MEAT
