ID,PairName,IsLikeTest,HasSomethingToDoTest,Source,Symmetry,ConceptType,ConceptComplete,Word,Type,Transfer,TransferSimplified,Polysemy,OvertMarking,OvertMarkingReverse,AllLanguagesRelated
1,cloud~fog/mist,yes,yes,urban_2011,asymmetrical,unmarked,cloud,cloud,environment,environment-to-environment,environment-to-environment,24,7,0,31
1,cloud~fog/mist,yes,yes,urban_2011,asymmetrical,marked,fog/mist,fog,environment,environment-to-environment,environment-to-environment,24,7,0,31
2,sun~moon,yes,yes,urban_2011,asymmetrical,unmarked,sun,sun,environment,environment-to-environment,environment-to-environment,17,3,0,20
2,sun~moon,yes,yes,urban_2011,asymmetrical,marked,moon,moon,environment,environment-to-environment,environment-to-environment,17,3,0,20
3,grass~straw/hay,yes,yes,urban_2011,asymmetrical,unmarked,grass,grass,plant,plant-to-plant,plant-to-plant,11,10,0,21
3,grass~straw/hay,yes,yes,urban_2011,asymmetrical,marked,straw/hay,hay,plant,plant-to-plant,plant-to-plant,11,10,0,21
4,smoke~fog/mist,yes,no,urban_2011,asymmetrical,unmarked,smoke,smoke,environment,environment-to-environment,environment-to-environment,10,3,0,13
4,smoke~fog/mist,yes,no,urban_2011,asymmetrical,marked,fog/mist,fog,environment,environment-to-environment,environment-to-environment,10,3,0,13
5,steam~fog/mist,yes,no,urban_2011,asymmetrical,unmarked,steam,steam,environment,environment-to-environment,environment-to-environment,9,2,0,11
5,steam~fog/mist,yes,no,urban_2011,asymmetrical,marked,fog/mist,fog,environment,environment-to-environment,environment-to-environment,9,2,0,11
6,animal~bird,no,yes,urban_2011,asymmetrical,unmarked,animal,animal,animal,animal-to-animal,animal-to-animal,8,8,0,16
6,animal~bird,no,yes,urban_2011,asymmetrical,marked,bird,bird,animal,animal-to-animal,animal-to-animal,8,8,0,16
7,lake~swamp,yes,yes,urban_2011,asymmetrical,unmarked,lake,lake,environment,environment-to-environment,environment-to-environment,8,4,0,12
7,lake~swamp,yes,yes,urban_2011,asymmetrical,marked,swamp,swamp,environment,environment-to-environment,environment-to-environment,8,4,0,12
8,smoke~dust,no,yes,urban_2011,asymmetrical,unmarked,smoke,smoke,environment,environment-to-environment,environment-to-environment,8,4,0,12
8,smoke~dust,no,yes,urban_2011,asymmetrical,marked,dust,dust,environment,environment-to-environment,environment-to-environment,8,4,0,12
9,smoke~cloud,yes,no,urban_2011,asymmetrical,unmarked,smoke,smoke,environment,environment-to-environment,environment-to-environment,7,2,0,9
9,smoke~cloud,yes,no,urban_2011,asymmetrical,marked,cloud,cloud,environment,environment-to-environment,environment-to-environment,7,2,0,9
10,tree~branch,yes,yes,urban_2011,asymmetrical,unmarked,tree,tree,plant,plant-to-plant,plant-to-plant,6,17,0,23
10,tree~branch,yes,yes,urban_2011,asymmetrical,marked,branch,branch,plant,plant-to-plant,plant-to-plant,6,17,0,23
11,ashes~embers,no,yes,urban_2011,asymmetrical,unmarked,ashes,ashes,environment,environment-to-environment,environment-to-environment,6,2,0,8
11,ashes~embers,no,yes,urban_2011,asymmetrical,marked,embers,embers,environment,environment-to-environment,environment-to-environment,6,2,0,8
12,tree~forest,no,yes,urban_2011,asymmetrical,unmarked,tree,tree,plant,plant-to-plant,plant-to-plant,4,6,0,10
12,tree~forest,no,yes,urban_2011,asymmetrical,marked,forest,forest,plant,plant-to-plant,plant-to-plant,4,6,0,10
13,day~dawn,no,yes,urban_2011,asymmetrical,unmarked,day,day,environment,environment-to-environment,environment-to-environment,3,20,0,23
13,day~dawn,no,yes,urban_2011,asymmetrical,marked,dawn,dawn,environment,environment-to-environment,environment-to-environment,3,20,0,23
14,flower/blossom~bud,no,yes,urban_2011,asymmetrical,unmarked,flower/blossom,flower,plant,plant-to-plant,plant-to-plant,3,4,0,7
14,flower/blossom~bud,no,yes,urban_2011,asymmetrical,marked,bud,bud,plant,plant-to-plant,plant-to-plant,3,4,0,7
15,day~noon,no,yes,urban_2011,asymmetrical,unmarked,day,day,environment,environment-to-abstract,environment-to-abstract,3,20,0,23
15,day~noon,no,yes,urban_2011,asymmetrical,marked,noon,noon,abstract,environment-to-abstract,environment-to-abstract,2,24,0,26
16,sun~noon,no,yes,urban_2011,asymmetrical,unmarked,sun,sun,environment,environment-to-abstract,environment-to-abstract,2,24,0,26
16,sun~noon,no,yes,urban_2011,asymmetrical,marked,noon,noon,abstract,environment-to-abstract,environment-to-abstract,2,24,0,26
17,honey~wax,yes,yes,urban_2011,asymmetrical,unmarked,honey,honey,environment,environment-to-environment,environment-to-environment,2,4,0,6
17,honey~wax,yes,yes,urban_2011,asymmetrical,marked,wax,wax,environment,environment-to-environment,environment-to-environment,2,4,0,6
18,bone~horn,yes,yes,urban_2011,asymmetrical,unmarked,bone,bone,body,body-to-animal_body,body-to-animal,2,2,0,4
18,bone~horn,yes,yes,urban_2011,asymmetrical,marked,horn,horn,animal_body,body-to-animal_body,body-to-animal,2,2,0,4
19,river/stream~flood,no,yes,urban_2011,asymmetrical,unmarked,river/stream,river,environment,environment-to-environment,environment-to-environment,2,2,0,4
19,river/stream~flood,no,yes,urban_2011,asymmetrical,marked,flood,flood,environment,environment-to-environment,environment-to-environment,2,2,0,4
20,breast~milk,no,yes,urban_2011,asymmetrical,unmarked,breast,breast,body,body-to-body,body-to-body,43,30,0,73
20,breast~milk,no,yes,urban_2011,asymmetrical,marked,milk,milk,body,body-to-body,body-to-body,43,30,0,73
21,mouth~lip,no,yes,urban_2011,asymmetrical,unmarked,mouth,mouth,body,body-to-body,body-to-body,16,31,0,47
21,mouth~lip,no,yes,urban_2011,asymmetrical,marked,lip,lip,body,body-to-body,body-to-body,16,31,0,47
22,belly/stomach~womb,no,yes,urban_2011,asymmetrical,unmarked,belly/stomach,stomach,body,body-to-body,body-to-body,11,6,0,17
22,belly/stomach~womb,no,yes,urban_2011,asymmetrical,marked,womb,womb,body,body-to-body,body-to-body,11,6,0,17
23,heart~belly/stomach,no,yes,urban_2011,asymmetrical,unmarked,heart,heart,body,body-to-body,body-to-body,7,2,0,9
23,heart~belly/stomach,no,yes,urban_2011,asymmetrical,marked,belly/stomach,stomach,body,body-to-body,body-to-body,7,2,0,9
24,milk~nipple,no,yes,urban_2011,asymmetrical,unmarked,milk,milk,body,body-to-body,body-to-body,5,4,0,9
24,milk~nipple,no,yes,urban_2011,asymmetrical,marked,nipple,nipple,body,body-to-body,body-to-body,5,4,0,9
25,liver~lungs,yes,yes,urban_2011,asymmetrical,unmarked,liver,liver,body,body-to-body,body-to-body,4,9,0,13
25,liver~lungs,yes,yes,urban_2011,asymmetrical,marked,lungs,lungs,body,body-to-body,body-to-body,4,9,0,13
26,car~train,yes,no,urban_2011,asymmetrical,unmarked,car,car,artifact,artifact-to-artifact,artifact-to-artifact,3,3,0,6
26,car~train,yes,no,urban_2011,asymmetrical,marked,train,train,artifact,artifact-to-artifact,artifact-to-artifact,3,3,0,6
27,heart~kidney,yes,yes,urban_2011,asymmetrical,unmarked,heart,heart,body,body-to-body,body-to-body,3,3,0,6
27,heart~kidney,yes,yes,urban_2011,asymmetrical,marked,kidney,kidney,body,body-to-body,body-to-body,3,3,0,6
28,mirror~glasses,yes,yes,urban_2011,asymmetrical,unmarked,mirror,mirror,artifact,artifact-to-artifact,artifact-to-artifact,2,9,0,11
28,mirror~glasses,yes,yes,urban_2011,asymmetrical,marked,glasses,glasses,artifact,artifact-to-artifact,artifact-to-artifact,2,9,0,11
29,heart~lungs,yes,yes,urban_2011,asymmetrical,unmarked,heart,heart,body,body-to-body,body-to-body,2,3,0,5
29,heart~lungs,yes,yes,urban_2011,asymmetrical,marked,lungs,lungs,body,body-to-body,body-to-body,2,3,0,5
30,(molar) tooth~jaw,no,yes,urban_2011,asymmetrical,unmarked,(molar) tooth,tooth,body,body-to-body,body-to-body,2,3,0,5
30,(molar) tooth~jaw,no,yes,urban_2011,asymmetrical,marked,jaw,jaw,body,body-to-body,body-to-body,2,3,0,5
31,belly/stomach~navel,no,yes,urban_2011,asymmetrical,unmarked,belly/stomach,stomach,body,body-to-body,body-to-body,2,3,0,5
31,belly/stomach~navel,no,yes,urban_2011,asymmetrical,marked,navel,navel,body,body-to-body,body-to-body,2,3,0,5
32,cheek~buttocks,yes,yes,urban_2011,asymmetrical,unmarked,cheek,cheek,body,body-to-body,body-to-body,2,3,0,5
32,cheek~buttocks,yes,yes,urban_2011,asymmetrical,marked,buttocks,buttocks,body,body-to-body,body-to-body,2,3,0,5
33,mouth~cheek,no,yes,urban_2011,asymmetrical,unmarked,mouth,mouth,body,body-to-body,body-to-body,2,3,0,5
33,mouth~cheek,no,yes,urban_2011,asymmetrical,marked,cheek,cheek,body,body-to-body,body-to-body,2,3,0,5
34,skin~bark,yes,no,urban_2011,asymmetrical,unmarked,skin,skin,body,body-to-plant,body-to-plant,45,26,0,71
34,skin~bark,yes,no,urban_2011,asymmetrical,marked,bark,bark,plant,body-to-plant,body-to-plant,45,26,0,71
35,mouth~beak,yes,no,urban_2011,asymmetrical,unmarked,mouth,mouth,body,body-to-animal_body,body-to-animal,18,11,0,29
35,mouth~beak,yes,no,urban_2011,asymmetrical,marked,beak,beak,animal_body,body-to-animal_body,body-to-animal,18,11,0,29
36,saliva/spittle~foam,yes,yes,urban_2011,asymmetrical,unmarked,saliva/spittle,saliva,body,body-to-environment,body-to-environment,8,4,0,12
36,saliva/spittle~foam,yes,yes,urban_2011,asymmetrical,marked,foam,foam,environment,body-to-environment,body-to-environment,8,4,0,12
37,house~nest,yes,no,urban_2011,asymmetrical,unmarked,house,house,artifact,artifact-to-animal_creation,artifact-to-animal,7,14,0,21
37,house~nest,yes,no,urban_2011,asymmetrical,marked,nest,nest,animal_creation,artifact-to-animal_creation,artifact-to-animal,7,14,0,21
38,mouth~estuary,yes,no,urban_2011,asymmetrical,unmarked,mouth,mouth,body,body-to-environment,body-to-environment,5,5,0,10
38,mouth~estuary,yes,no,urban_2011,asymmetrical,marked,estuary,estuary,environment,body-to-environment,body-to-environment,5,5,0,10
39,tongue~flame,yes,no,urban_2011,asymmetrical,unmarked,tongue,tongue,body,body-to-environment,body-to-environment,2,24,0,26
39,tongue~flame,yes,no,urban_2011,asymmetrical,marked,flame,flame,environment,body-to-environment,body-to-environment,2,24,0,26
40,road/street/way~milky way,yes,no,urban_2011,asymmetrical,unmarked,road/street/way,way,artifact,artifact-to-environment,artifact-to-environment,2,15,0,17
40,road/street/way~milky way,yes,no,urban_2011,asymmetrical,marked,Milky Way,Milky Way,environment,artifact-to-environment,artifact-to-environment,2,15,0,17
41,bed~nest,yes,no,urban_2011,asymmetrical,unmarked,bed,bed,artifact,artifact-to-animal_creation,artifact-to-animal,2,2,0,4
41,bed~nest,yes,no,urban_2011,asymmetrical,marked,nest,nest,animal_creation,artifact-to-animal_creation,artifact-to-animal,2,2,0,4
42,egg~testicle,yes,no,urban_2011,asymmetrical,unmarked,egg,egg,animal_creation,animal_creation-to-body,animal-to-body,20,9,0,29
