ID	NUMBER	ENGLISH	DUTCH	SWEDISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Woll-2010-301-1	1	(for a) long time	lang (tijd)	länge	418	FOR A LONG TIME
Woll-2010-301-2	2	accuse	beschuldigen	anklaga	1814	ACCUSE
Woll-2010-301-3	3	afraid	bang	rädd	1419	FEAR (BE AFRAID)
Woll-2010-301-4	4	afternoon	middag	eftermiddag	1807	AFTERNOON
Woll-2010-301-5	5	angry	boos	arg	1826	ANGRY
Woll-2010-301-6	6	animal	dier	djur	619	ANIMAL
Woll-2010-301-7	7	answer (v.)	antwoorden	svara	1275	ANSWER
Woll-2010-301-8	8	apple	appel	äpple	1320	APPLE
Woll-2010-301-9	9	argue	ruzie maken	gräla	3302	QUARREL (VERB)
Woll-2010-301-10	10	ashamed	schamen	skämmas	1894	ASHAMED
Woll-2010-301-11	11	ask	vragen	fråga	1309	ASK (INQUIRE)
Woll-2010-301-12	12	aunt	tante	moster/faster	1272	AUNT
Woll-2010-301-13	13	autumn	hersfst	höst	1276	AUTUMN
Woll-2010-301-14	14	awake	wakker	vaken	825	AWAKE
Woll-2010-301-15	15	bad	slecht	dålig	1292	BAD
Woll-2010-301-16	16	bear	beer	björn	1820	BEAR
Woll-2010-301-17	17	because	omdat	därför	1157	BECAUSE
Woll-2010-301-18	18	best	best	bäst		
Woll-2010-301-19	19	better	beter	bättre		
Woll-2010-301-20	20	big	groot	stor	1202	BIG
Woll-2010-301-21	21	bird	vogel	fågel	937	BIRD
Woll-2010-301-22	22	birth	geboren	född	2805	BIRTH (ACCOUCHEMENT)
Woll-2010-301-23	23	black	zwart	svart	163	BLACK
Woll-2010-301-24	24	blood	bloed	blod	946	BLOOD
Woll-2010-301-25	25	blue	blauw	blå	837	BLUE
Woll-2010-301-26	26	book	boek	bok	963	BOOK
Woll-2010-301-27	27	breathe	ademen	andas	1407	BREATHE
Woll-2010-301-28	28	brother	broer	bror	1262	BROTHER
Woll-2010-301-29	29	brown	bruin	brun	2409	BROWN
Woll-2010-301-30	30	but	maar	men	3843	BUT
Woll-2010-301-31	31	buy	kopen	köpa	1869	BUY
Woll-2010-301-32	32	can	kunnen	kan	972	BE ABLE
Woll-2010-301-33	33	cannot	niet kunnen/kan niet	kan inte		
Woll-2010-301-34	34	car	auto	bil	1111	CAR
Woll-2010-301-35	35	cat	kat	katt	1208	CAT
Woll-2010-301-36	36	chair	stoel	stol	1476	CHAIR
Woll-2010-301-37	37	child	kind	barn	2099	CHILD
Woll-2010-301-38	38	choose	kiezen	välja	1750	CHOOSE
Woll-2010-301-39	39	CI (cochleair implant)	CI (cochleaire implantatie)	CI (cochleair implant)		
Woll-2010-301-40	40	clothes	kleren	kläder	1895	CLOTHES
Woll-2010-301-41	41	cloud	wolk	moln	1489	CLOUD
Woll-2010-301-42	42	cold (a.)	koud	kall	1287	COLD
Woll-2010-301-43	43	colour	kleur	färg	1613	COLOR
Woll-2010-301-44	44	computer	computer	dator	3086	COMPUTER
Woll-2010-301-45	45	count (things: how many are there)	tellen	räkna	1420	COUNT
Woll-2010-301-46	46	crazy (mad)	gek	tokig	1899	MAD
Woll-2010-301-47	47	dance	dansen	dansa	1879	DANCE
Woll-2010-301-48	48	dark	donker	mörk	706	DARK
Woll-2010-301-49	49	date (calender)	datum	datum		
Woll-2010-301-50	50	daughter	dochter	dotter	1357	DAUGHTER
Woll-2010-301-51	51	day	dag	dag	1225	DAY (NOT NIGHT)
Woll-2010-301-52	52	Deaf (a., of person)	Doof (van een persoon)	döv (person)	458	DEAF PERSON
Woll-2010-301-53	53	Deaf club	Dovenclub	dövförening		
Woll-2010-301-54	54	deaf-blind	doofblind	dövblind		
Woll-2010-301-55	55	die	doodgaan	dö	1494	DIE
Woll-2010-301-56	56	different	verschillend	olik	2504	DIFFERENT
