ID	NUMBER	CHINESE	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALENCE_MEAN	AROUSAL_MEAN	CONCRETENESS_MEAN	FAMILIARITY_MEAN	IMAGEABILITY_MEAN	CONTEXT_AVAILABILITY_MEAN
Yao-2017-1100-1	1	爱慕	admire			4.89	3.39	4.5	5.07	4.01	5.39
Yao-2017-1100-2	2	爱情	love	LOVE	923	6.97	7.43	5.26	5	4.92	5.43
Yao-2017-1100-3	3	安然	comfortable			6.81	6.36	7.58	7.69	6.72	7.05
Yao-2017-1100-4	4	安神	soothing			4.51	3.41	5.32	5.44	4.52	5.05
Yao-2017-1100-5	5	安详	serene			6.86	6.11	6.83	6.83	7.05	6.35
Yao-2017-1100-6	6	安葬	bury	BURY	1719	2.57	6.21	3.54	3.71	4.67	5.5
Yao-2017-1100-7	7	案犯	criminal			2.07	6.93	3.5	3.14	4.84	5.06
Yao-2017-1100-8	8	暗算	back stabbing			1.87	6.4	6.67	5.53	7.38	6.33
Yao-2017-1100-9	9	肮脏	dirty	DIRTY	1230	5.11	5.64	5.36	4.25	5.49	5.57
Yao-2017-1100-10	10	芭蕾	ballet			5.32	5.39	6.24	5.66	6.86	6.29
Yao-2017-1100-11	11	疤痕	scar			2.49	6.17	4.8	4.25	5.57	4.97
Yao-2017-1100-12	12	把握	control			6.12	5.73	3.6	4.85	3.7	4.22
Yao-2017-1100-13	13	白鸽	pigeon	DOVE	1853	5.23	5.71	5.09	5.09	3.42	3.95
Yao-2017-1100-14	14	百姓	common people	PEOPLE	789	4.09	4.23	5.32	5.18	5.76	5.56
Yao-2017-1100-15	15	摆设	layout			2.6	5.41	4.64	3.61	6.61	5.56
Yao-2017-1100-16	16	摆脱	get rid of			6.78	6.28	6.14	6.03	7.19	6.14
Yao-2017-1100-17	17	败类	disgraceful people			2.05	7.02	4.9	4.9	5.32	5.35
Yao-2017-1100-18	18	拜堂	perform the formal wedding ceremony			4.96	3.93	5.07	5.47	5.86	5.13
