ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zalizniak-2020-2590-1	1	to beat, hit	2133	STRIKE OR BEAT
Zalizniak-2020-2590-2	2	to see/to look at	1409	SEE
Zalizniak-2020-2590-3	3	eye	1248	EYE
Zalizniak-2020-2590-4	4	father	1217	FATHER
Zalizniak-2020-2590-5	5	head	1256	HEAD
Zalizniak-2020-2590-6	6	to raise, lift (tr.)	501	LIFT
Zalizniak-2020-2590-7	7	mouth	674	MOUTH
Zalizniak-2020-2590-8	8	to pull, to draw	1455	PULL
Zalizniak-2020-2590-9	9	sharp	1396	SHARP
Zalizniak-2020-2590-10	10	quick		
Zalizniak-2020-2590-11	11	to fall down	1280	FALL
Zalizniak-2020-2590-12	12	white	1335	WHITE
Zalizniak-2020-2590-13	13	hand/arm	2121	ARM OR HAND
Zalizniak-2020-2590-14	14	nose	1221	NOSE
Zalizniak-2020-2590-15	15	black	163	BLACK
Zalizniak-2020-2590-16	16	Boletus edulis		
Zalizniak-2020-2590-17	17	to throw	1456	THROW
Zalizniak-2020-2590-18	18	red	156	RED
Zalizniak-2020-2590-19	19	big	1202	BIG
Zalizniak-2020-2590-20	20	to break (tr.)	2558	BREAK (CLEAVE)
Zalizniak-2020-2590-21	21	tail	1220	TAIL
Zalizniak-2020-2590-22	22	straight	1404	STRAIGHT
Zalizniak-2020-2590-23	23	to go after smb.	1085	FOLLOW
Zalizniak-2020-2590-24	24	thin (of an object)	2249	THIN (OF SHAPE OF OBJECT)
Zalizniak-2020-2590-25	25	strong	785	STRONG
Zalizniak-2020-2590-26	26	hot	1286	HOT
Zalizniak-2020-2590-27	27	heavy (of weight)	1210	HEAVY
Zalizniak-2020-2590-28	28	to touch	1892	TOUCH
Zalizniak-2020-2590-29	29	to grasp, seize	855	SEIZE
Zalizniak-2020-2590-30	30	to go out	1107	GO OUT
Zalizniak-2020-2590-31	31	to cut (tr.)	1432	CUT
Zalizniak-2020-2590-32	32	dry	1398	DRY
Zalizniak-2020-2590-33	33	cold (adj.)	1287	COLD
Zalizniak-2020-2590-34	34	belly	1251	BELLY
Zalizniak-2020-2590-35	35	to die, pass away	1494	DIE
Zalizniak-2020-2590-36	36	snake	730	SNAKE
Zalizniak-2020-2590-37	37	heart	1223	HEART
Zalizniak-2020-2590-38	38	healthy	1364	HEALTHY
Zalizniak-2020-2590-39	39	foot/leg	2098	FOOT OR LEG
Zalizniak-2020-2590-40	40	wind	960	WIND
Zalizniak-2020-2590-41	41	weak	1601	WEAK
Zalizniak-2020-2590-42	42	to press down	1913	PRESS
Zalizniak-2020-2590-43	43	stone, rock	2125	STONE OR ROCK
Zalizniak-2020-2590-44	44	sky	1732	SKY
Zalizniak-2020-2590-45	45	little, small	1246	SMALL
Zalizniak-2020-2590-46	46	green	1425	GREEN
Zalizniak-2020-2590-47	47	empty	1624	EMPTY
Zalizniak-2020-2590-48	48	back (body part)	1291	BACK
Zalizniak-2020-2590-49	49	to go up	705	GO UP (ASCEND)
Zalizniak-2020-2590-50	50	face	1560	FACE
Zalizniak-2020-2590-51	51	dog	2009	DOG
Zalizniak-2020-2590-52	52	weather	952	WEATHER
Zalizniak-2020-2590-53	53	tree	906	TREE
Zalizniak-2020-2590-54	54	to turn, rotate (intr.)		
Zalizniak-2020-2590-55	55	to speak	1623	SPEAK
Zalizniak-2020-2590-56	56	to get, obtain	694	GET
Zalizniak-2020-2590-57	57	to flow	2003	FLOW
Zalizniak-2020-2590-58	58	thick	1244	THICK
Zalizniak-2020-2590-59	59	mother	1216	MOTHER
Zalizniak-2020-2590-60	60	leaf	628	LEAF
Zalizniak-2020-2590-61	61	hard, solid	1884	HARD
Zalizniak-2020-2590-62	62	good	1035	GOOD
Zalizniak-2020-2590-63	63	ear	1247	EAR
Zalizniak-2020-2590-64	64	brave	3	BRAVE
Zalizniak-2020-2590-65	65	bitter	887	BITTER
Zalizniak-2020-2590-66	66	<animal>		
Zalizniak-2020-2590-67	67	wing	1257	WING
Zalizniak-2020-2590-68	68	wet	1726	WET
Zalizniak-2020-2590-69	69	to want	1784	WANT
Zalizniak-2020-2590-70	70	to stand	1442	STAND
Zalizniak-2020-2590-71	71	to put	998	PUT
Zalizniak-2020-2590-72	72	to find	719	FIND
Zalizniak-2020-2590-73	73	to eat	1336	EAT
Zalizniak-2020-2590-74	74	to dig	1418	DIG
Zalizniak-2020-2590-75	75	to burn (intr.)	1428	BURNING
Zalizniak-2020-2590-76	76	root (of a plant)	670	ROOT
Zalizniak-2020-2590-77	77	neck	1333	NECK
Zalizniak-2020-2590-78	78	mouse	1491	MOUSE
Zalizniak-2020-2590-79	79	low (location)	721	LOW
Zalizniak-2020-2590-80	80	friend	1325	FRIEND
Zalizniak-2020-2590-81	81	fly agaric (Amanita muscaria)		
Zalizniak-2020-2590-82	82	dark (adj.)	706	DARK
Zalizniak-2020-2590-83	83	branch, twig	3223	BRANCH OR TWIG
Zalizniak-2020-2590-84	84	blue	837	BLUE
Zalizniak-2020-2590-85	85	bad	1292	BAD
Zalizniak-2020-2590-86	86	<foreigner>		
Zalizniak-2020-2590-87	87	worm	1219	WORM
Zalizniak-2020-2590-88	88	womb	804	WOMB
Zalizniak-2020-2590-89	89	to spring, jump	1829	JUMP
Zalizniak-2020-2590-90	90	to open (tr.)	1156	OPEN
Zalizniak-2020-2590-91	91	to mix, stir	2017	MIX
Zalizniak-2020-2590-92	92	to know	3626	KNOW
Zalizniak-2020-2590-93	93	to go down	2014	GO DOWN (DESCEND)
Zalizniak-2020-2590-94	94	to carry	700	CARRY
Zalizniak-2020-2590-95	95	throat	1346	THROAT
Zalizniak-2020-2590-96	96	sun	1343	SUN
Zalizniak-2020-2590-97	97	slow (adj.)	701	SLOW
Zalizniak-2020-2590-98	98	left	244	LEFT
Zalizniak-2020-2590-99	99	forehead	123	FOREHEAD
Zalizniak-2020-2590-100	100	firm, solid	3003	SOLID
Zalizniak-2020-2590-101	101	fire	221	FIRE
Zalizniak-2020-2590-102	102	clever	1310	CLEVER
Zalizniak-2020-2590-103	103	clean (adj.)	704	CLEAN
Zalizniak-2020-2590-104	104	beautiful	1427	BEAUTIFUL
Zalizniak-2020-2590-105	105	to smear, anoint	364	SMEAR
Zalizniak-2020-2590-106	106	to sit	1416	SIT
Zalizniak-2020-2590-107	107	to search, to look for	1468	LOOK FOR
Zalizniak-2020-2590-108	108	to run	1519	RUN
Zalizniak-2020-2590-109	109	to reach		
Zalizniak-2020-2590-110	110	to clean	2235	CLEAN (SOMETHING)
Zalizniak-2020-2590-111	111	to blow		
Zalizniak-2020-2590-112	112	stupid	1518	STUPID
Zalizniak-2020-2590-113	113	soft (adj.)	1856	SOFT
Zalizniak-2020-2590-114	114	smell	3704	ODOR (SMELL)
Zalizniak-2020-2590-115	115	mountain	639	MOUNTAIN
Zalizniak-2020-2590-116	116	door	1567	DOOR
Zalizniak-2020-2590-117	117	difficult	584	DIFFICULT
Zalizniak-2020-2590-118	118	cheek	1730	CHEEK
Zalizniak-2020-2590-119	119	cat	1208	CAT
Zalizniak-2020-2590-120	120	breathing		
Zalizniak-2020-2590-121	121	bone	1394	BONE
Zalizniak-2020-2590-122	122	yellow	1424	YELLOW
Zalizniak-2020-2590-123	123	top	1753	TOP
Zalizniak-2020-2590-124	124	to wait	1590	WAIT (FOR)
Zalizniak-2020-2590-125	125	to untie, unbind	352	UNTIE
Zalizniak-2020-2590-126	126	to think	2271	THINK
Zalizniak-2020-2590-127	127	to taste	21	TASTE (SOMETHING)
Zalizniak-2020-2590-128	128	to take	1749	TAKE
Zalizniak-2020-2590-129	129	to sing	1261	SING
Zalizniak-2020-2590-130	130	to shoot	1172	SHOOT
Zalizniak-2020-2590-131	131	to shine, glitter		
Zalizniak-2020-2590-132	132	to kill	1417	KILL
Zalizniak-2020-2590-133	133	to come	1446	COME
Zalizniak-2020-2590-134	134	smooth	1234	SMOOTH
Zalizniak-2020-2590-135	135	pure	1147	PURE
Zalizniak-2020-2590-136	136	pig (Sus scrofa)	1337	PIG
Zalizniak-2020-2590-137	137	nest (n.)	539	NEST
Zalizniak-2020-2590-138	138	naked, bare	590	NAKED
Zalizniak-2020-2590-139	139	monarch		
Zalizniak-2020-2590-140	140	milk	635	MILK
Zalizniak-2020-2590-141	141	middle	1093	MIDDLE
Zalizniak-2020-2590-142	142	light (of weight)	1052	LIGHT (WEIGHT)
Zalizniak-2020-2590-143	143	light (of colour)	250	LIGHT (COLOR)
Zalizniak-2020-2590-144	144	heel (of a foot)	980	HEEL
Zalizniak-2020-2590-145	145	greedy	2018	GREEDY
Zalizniak-2020-2590-146	146	flower	239	FLOWER
Zalizniak-2020-2590-147	147	egg	744	EGG
Zalizniak-2020-2590-148	148	earth		
Zalizniak-2020-2590-149	149	drunk	1463	DRUNK
Zalizniak-2020-2590-150	150	deep	1593	DEEP
Zalizniak-2020-2590-151	151	comb	1475	COMB
Zalizniak-2020-2590-152	152	chest (body part)	1592	CHEST
Zalizniak-2020-2590-153	153	chanterelle		
Zalizniak-2020-2590-154	154	buttock	834	BUTTOCKS
Zalizniak-2020-2590-155	155	word	1599	WORD
Zalizniak-2020-2590-156	156	wolf (Canis lupus)	522	WOLF
