NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	alcoholic drink	&lt;alcoholic drink&gt;	drink that contains ethanol, a type of alcohol produced by fermentation of grains, fruits, or other sources of sugar		Plants	2050	ALCOHOL (DRINK)
2	animal	&lt;animal&gt;	Any kind of beasts, birds or insects. Not an animal in general but a particular representative of the fauna.		Animals	619	ANIMAL
3	artiodactyl (even-toed animal)	&lt;artiodactyl (even-toed animal)&gt;	one of ungulate mammals with an even number of toes and belonging to the Artiodactyla, including pigs, sheep, deer, cattle, and most grazing animals		Animals		
4	abdomen	abdomen	cavity of the belly, which is lined by the peritoneum, and contains the viscera; often restricted in humans to the part between the diaphragm and the commencement of the pelvis		N/a	1251	BELLY
5	aberration of mind	aberration of mind	None		Human being		
6	abies (Abies)	abies (Abies)	tree of the genus Abies		Plants	1915	FIR
7	ability	ability	quality or state of being able; capacity to do or of doing something; having the necessary power		Abstract entities	2527	ABILITY
8	aborigine	aborigine	native inhabitant		N/a		
9	about	about			N/a		
10	above	above			Space	1741	ABOVE
11	abracadabra	abracadabra	Gibberish, meaningless sequence of sounds or words.		N/a		
12	abrupt (offensive, critical, or acrimonious)	abrupt (offensive, critical, or acrimonious)			N/a		
13	abscess	abscess			Physiology		
14	abstinent (from alcohol)	abstinent (from alcohol)			N/a		
15	abundance	abundance			Abstract entities		
16	accident	accident			N/a		
17	accomplice	accomplice			Human being		
18	according to	according to			N/a		
19	ace (playing card)	ace (playing card)	playing card with a single spot		N/a		
20	acid	acid	any of a class of water-soluble compounds, having sour taste, that turn blue litmus red, and react with some metals to liberate hydrogen, and with bases to form salts		N/a	1906	SOUR
21	aconite	aconite			Plants		
22	acorn	acorn	fruit of the oak, being an oval nut growing in a woody cup		Plants	968	ACORN
23	acrobat, equilibrist	acrobat, equilibrist			Human being		
24	act, deed	act, deed			N/a		
25	active	active			Evaluation	1861	ACTIVE
26	activity	activity			N/a	1086	WORK (ACTIVITY)
27	acute (disease, condition)	acute (disease, condition)			N/a		
28	acute (of sound)	acute (of sound)			Sound		
29	Adam's apple	Adam&#39;s apple	lump in the throat, usually more noticeable in men than in women; the laryngeal prominence		Body parts	802	ADAM'S APPLE
30	additional	additional			Non-physical		
31	address (description of the location)	address (description of the location)	description of the location of a property, usually with at least a street name and number, name of a town, and now also a postal code; such a description as superscribed for direction on an envelope or letter		N/a	591	ADDRESS
32	adulterer	adulterer	one who commits adultery: a spouse who has sex with a non-spouse		Human being		
33	advantage	advantage	superiority of position or condition; a factor or circumstance of benefit to its possessor   (Merriam-Webster)		N/a		
34	Advent	Advent	period of the Christian church year between Advent Sunday and Christmas		N/a		
35	advice	advice	opinion offered to guide behavior in an effort to be helpful		N/a		
36	aër (veil covering vessels in the Orthodox Church)	aër (veil covering vessels in the Orthodox Church)	the largest and outermost of the veils covering the Chalice and Diskos in the Eastern Orthodox Church and the Eastern Catholic Churches which follow the Byzantine Rite		N/a		
37	aesthetic perception	aesthetic perception			Abstract entities		
38	after	after			Time	1685	AFTER
39	afterbirth, placenta	afterbirth, placenta	organ in most mammals during gestation that supplies food and oxygen to the foetus and passes back waste. It is on wall of the uterus and links to the foetus through the umbilical cord. It is expelled after birth		N/a	3388	PLACENTA
40	afterworld	afterworld	supposed world that is entered after death		N/a		
41	again	again			Time	204	AGAIN
42	against	against	in opposition or hostility to		N/a	2469	AGAINST
43	age	age			Abstract entities	1789	AGE
44	age group	age group	None		Artifacts		
45	ahead	ahead			Space		
46	aim, goal	aim, goal			Abstract entities		
47	air	air			Natural objects	27	AIR
48	air, atmosphere	air, atmosphere			N/a	27	AIR
49	airplane	airplane	powered heavier-than-air aircraft with fixed wings		N/a	1597	AIRPLANE
50	ajvar (vegetable dish)	ajvar (vegetable dish)	dish of chopped vegetables or mushrooms		N/a		
51	albugo, wall-eye	albugo, wall-eye			Physiology		
52	albumen, white of an egg	albumen, white of an egg			N/a	3439	WHITE (OF EGGS)
53	alder (tree)	alder (tree)	tree or shrub of the genus Alnus		Plants		
54	algae	algae			Plants		
55	alike	alike			N/a		
56	alive	alive			Other physical	1422	BE ALIVE
57	All Saints' Day	All Saints&#39; Day	a Christian solemnity celebrated in honour of all the saints of the Church;  1 November (Western Christianity), Sunday after Pentecost (Eastern Christianity)		N/a		
58	all, whole	all, whole	throughout the whole of		N/a		
59	almond	almond			N/a	3815	ALMOND
60	almost	almost			Grammatical markers		
61	Aloe vera (plant)	Aloe vera (plant)			N/a		
62	alone	alone			Non-physical	1964	ALONE
63	already	already			Time	2576	ALREADY
64	already	already			Time	2576	ALREADY
65	alternate-leaved golden-saxifrage	alternate-leaved golden-saxifrage	plant Chrysosplenium alternifolium		N/a		
66	although	although			Grammatical markers		
67	aluminium	aluminium	light, silvery metal extracted from bauxite, and a chemical element (symbol Al) with an atomic number of 13		N/a	3385	ALUMINIUM
68	always	always			N/a	1676	ALWAYS
69	amazing	amazing			Non-physical	1863	AMAZING
70	amber	amber			Natural objects		
71	ambience, vibe	ambience, vibe	None		Abstract entities		
72	ambush	ambush			Abstract entities	65	AMBUSH
73	American	American			N/a		
74	Amorphophallus paeoniifolius	Amorphophallus paeoniifolius	tropical tuber plant, elephant foot yam		N/a		
75	anathema	anathema	ban or curse pronounced with religious solemnity by ecclesiastical authority, often accompanied by excommunication		N/a		
76	ancestor	ancestor	one from whom a person is descended, whether on the father&#39;s or mother&#39;s side, at any distance of time; a progenitor		N/a	1669	ANCESTORS
77	anchor	anchor	tool used to moor a vessel to the bottom of a sea or river to resist movement		N/a	1870	ANCHOR
78	anemic	anemic	suffering from anemia		N/a		
79	anemone (Anemone)	anemone (Anemone)			Plants		
80	angel	angel			Abstract entities		
81	anger	anger			Abstract entities	82	ANGER
82	anger	anger			Abstract entities	82	ANGER
83	angry	angry			Non-physical	1826	ANGRY
84	Anguis fragilis	Anguis fragilis			N/a		
85	animal	animal			Animals	619	ANIMAL
86	animal bladder	animal bladder	specially treated pig or cow bladder used as window glass		N/a		
87	animal yield	animal yield			N/a		
88	ankle	ankle			Body parts	803	ANKLE
89	ankle bone for playing	ankle bone for playing	astragalus of the ankle of a sheep or goat used for traditional games and fortune-telling		Artifacts		
90	annoying	annoying			N/a		
91	ant	ant	insect of the family Formicidae in the order Hymenoptera, typically living in large colonies		Animals	587	ANT
92	anteater	anteater	any of several animals, in suborder Vermilingua, which are noted for eating ants and termites which they catch with their long sticky tongues		N/a	181	ANTEATER
93	antelope	antelope			Animals	3674	ANTELOPE
94	anthrax	anthrax	acute infectious disease of herbivores, especially sheep and cattle, caused by Bacillus anthracis, and the human disease that can occur in humans through contact with infected herbivores, tissue from infected animals, or high concentrations of anthrax spores, but is not usually spread between humans, with symptoms including lesions on the skin or in the lungs, often fatal		Human being		
95	antimony	antimony	chemical element (symbol Sb, from Latin stibium) with an atomic number of 51: a lustrous gray and very brittle metalloid		N/a		
96	anvil (of a blacksmith)	anvil (of a blacksmith)			N/a	1648	ANVIL
97	anxiety	anxiety	unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event		N/a	1000	ANXIETY
98	any	any			Evaluation		
99	aorta	aorta	great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system		N/a		
100	apartment, flat	apartment, flat			N/a		
101	apical ancestor	apical ancestor	in kinship and descent, a common ancestor from whom a lineage or clan may trace its descent. The ancestor who is at the apex of the genealogy		N/a		
102	appearance; look	appearance; look			N/a	1017	APPEARANCE
103	appetite	appetite	desire to eat food or consume drink		N/a		
104	apple	apple			Plants	1320	APPLE
105	approximately	approximately	imprecise but close to in quantity or amount		Abstract entities		
106	apricot	apricot	round sweet and juicy stone fruit, resembling peach or plum in taste, with a yellow-orange flesh, lightly fuzzy skin and a large seed inside; apricot tree, Prunus armeniaca		N/a	3730	APRICOT
107	April	April	fourth month of the Gregorian calendar, following March and preceding May		N/a	2847	APRIL
108	Aquarius (constellation)	Aquarius (constellation)			N/a		
