ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ASSOCIATION_VALUE	NAMEABILITY	MODAL_AGREEMENT	SIMPSON_DIVERSITY	SHAPE_SKELETON_DESCRIPTION_LENGTH
Zettersten-2020-16b-1	1	Tree 	906	TREE	0.6	High	0.136	0.033	4655
Zettersten-2020-16b-2	2	Bear	1820	BEAR	0.54	High	0.591	0.345	4452
Zettersten-2020-16b-3	3	Swan	2837	SWAN	0.48	High	0.545	0.304	6388
Zettersten-2020-16b-4	4	Lizard	632	LIZARD	0.48	High	0.091	0.008	5039
Zettersten-2020-16b-5	5	Heart	1223	HEART	0.44	High	0.182	0.046	4432
Zettersten-2020-16b-6	6	Duck	1360	DUCK	0.42	High	0.227	0.054	7488
Zettersten-2020-16b-7	7	Frog	503	FROG	0.42	High	0.273	0.126	6944
Zettersten-2020-16b-8	8	Letter E			0.42	High	0.091	0.017	5337
Zettersten-2020-16b-9	9	Frog	503	FROG	0.22	Low	0.136	0.011	5624
Zettersten-2020-16b-10	10	Bird	937	BIRD	0.24	Low	0.091	0.014	5886
Zettersten-2020-16b-11	11	Claw	72	CLAW	0.28	Low	0.045	0.002	5001
Zettersten-2020-16b-12	12	Dolphin	1479	DOLPHIN	0.28	Low	0.091	0.009	5421
Zettersten-2020-16b-13	13	Angel	4057	ANGEL	0.28	Low	0.091	0.019	5646
Zettersten-2020-16b-14	14	Finger pointing			0.28	Low	0.136	0.038	5084
Zettersten-2020-16b-15	15	Face	1560	FACE	0.3	Low	0.091	0.006	6318
Zettersten-2020-16b-16	16	Bat	1793	BAT	0.32	Low	0.136	0.011	5195
