ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	RGB	NAMEABILITY	MODAL_AGREEMENT	SIMPSONS_DIVERSITY	DISCRIMINABILITY_RT
Zettersten-2020-24a-1	1	837	BLUE	Blue	30,90,210	High	0.803	0.671	557
Zettersten-2020-24a-2	2	3328	ORANGE (COLOR)	Orange	250,120,30	High	0.851	0.733	575
Zettersten-2020-24a-3	3	156	RED	Red	220,20,0	High	0.827	0.697	587
Zettersten-2020-24a-4	4	1424	YELLOW	Yellow	250,240,0	High	0.817	0.664	568
Zettersten-2020-24a-5	5	2409	BROWN	Brown	120,80,40	High	0.818	0.648	577
Zettersten-2020-24a-6	6	2452	PURPLE	Purple	130,30,180	High	0.821	0.672	578
Zettersten-2020-24a-7	7	3181	MUSTARD	Mustard	170,160,40	Low	0.069	0.056	587
Zettersten-2020-24a-8	8	153	GREY	Grey	200,170,170	Low	0.068	0.054	582
Zettersten-2020-24a-9	9	2409	BROWN	Brown	200,100,70	Low	0.087	0.051	554
Zettersten-2020-24a-10	10			Grey green	70,100,90	Low	0.098	0.128	575
Zettersten-2020-24a-11	11			Pale green	220,240,150	Low	0.053	0.079	579
Zettersten-2020-24a-12	12	1425	GREEN	Green	150,200,180	Low	0.06	0.084	580
Zettersten-2020-24a-13	13	837	BLUE	Blue	10,90,210	High	0.807	0.677	526
Zettersten-2020-24a-14	14	2409	BROWN	Brown	100,60,20	High	0.844	0.715	527
Zettersten-2020-24a-15	15	156	RED	Red	240,0,10	High	0.852	0.735	533
Zettersten-2020-24a-16	16	2452	PURPLE	Purple	130,30,180	High	0.821	0.672	524
Zettersten-2020-24a-17	17	153	GREY	Grey	130,130,130	High	0.784	0.64	524
Zettersten-2020-24a-18	18	3328	ORANGE (COLOR)	Orange	250,120,30	High	0.851	0.733	533
Zettersten-2020-24a-19	19	1425	GREEN	Green	160,180,20	Low	0.133	0.157	537
Zettersten-2020-24a-20	20			Light purple	200,160,180	Low	0.108	0.079	518
Zettersten-2020-24a-21	21	837	BLUE	Blue	50,80,100	Low	0.147	0.18	529
Zettersten-2020-24a-22	22	2409	BROWN	Brown	110,100,10	Low	0.113	0.111	536
Zettersten-2020-24a-23	23	3753	MAGENTA	Magenta	160,0,80	Low	0.127	0.066	520
Zettersten-2020-24a-24	24	3604	LIGHT BLUE	Light blue	190,220,210	Low	0.143	0.113	529
