ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	GLOSS_IN_SOURCE	GLOSS	CHINESE	NOTE
Zhang-2019-122-1	677	AXE	1	axe	axe	斧	斧	
Zhang-2019-122-2	2014	GO DOWN (DESCEND)	2	to descend	to descend	下	下	
Zhang-2019-122-3	1602	WAKE UP	3	to revive	to revive	蘇	蘇	
Zhang-2019-122-4	1209	I	4	I, my	I, my	吾	吾	
Zhang-2019-122-5	321	CHEW	5	to chew	to chew	咀	咀	OC not in BS
Zhang-2019-122-6	493	FIVE	6	five	five	五	五	
Zhang-2019-122-7	1233	NIGHT	7	night	night	夜	夜	
Zhang-2019-122-8	2099	CHILD	8	child	child	兒	兒	In Cogtse and Brag-bar, the cognate is a lexical suffix.
Zhang-2019-122-9			9	thighbone	thighbone	髀	髀	
Zhang-2019-122-10	712	RICH	10	rich	rich	富	富	In Gyalrong, the word means 'pig'
Zhang-2019-122-11	1620	SON	11	child	child	子	子	In Brag-bar and Japhug, the cognates mean 'father's sister's child.' In tibetan, it means 'grandchild, nephew'.
Zhang-2019-122-12	1895	CLOTHES	12	fur garment	fur garment	裘	裘	Cogtse/Brag-bar: garment, Japhug: to wear, Tibetan: clothes
Zhang-2019-122-13	1247	EAR	13	ear	ear	耳	耳	
Zhang-2019-122-14	3044	BOVINE	14	ox	ox	牛	牛	In Gyalrong, the cognate means 'cow'.
Zhang-2019-122-15	1416	SIT	15	to sit	to sit	坐	坐	
Zhang-2019-122-16	1402	BREAST	16	milk, nipple	milk, nipple	乳	乳	The TB cognates mean 'udder'
Zhang-2019-122-17	2093	AFTERWARDS	17	sovereign, queen	sovereign, queen	后	后	The TB cognates mean 'head'
Zhang-2019-122-18	2093	AFTERWARDS	18	after	after	後	後	
Zhang-2019-122-19	1991	INTESTINES	19	internal organs	internal organs	腑	腑	The Gyalrong cognates mean 'intestine'.
Zhang-2019-122-20	1480	BODY	20	body, person	body, person	軀	軀	
Zhang-2019-122-21	1278	VOMIT	21	vomit	vomit	嘔	嘔	
Zhang-2019-122-22	2900	PROTECT	22	to take care of, protect	to take care of, protect	保	保	
Zhang-2019-122-23	1574	FLOAT	23	float	float	浮	浮	The Gyalrong cognates mean 'boat'. 
Zhang-2019-122-24	771	HAT	24	hat	hat	帽	帽	The Gyalrong cognates mean 'mushroom'. 
Zhang-2019-122-25			25	brain	brain	腦	腦	
Zhang-2019-122-26	981	ELBOW	26	elbow	elbow	肘	肘	
Zhang-2019-122-27	72	CLAW	27	claw	claw	爪	爪	The Gyalrong cognates mean 'nail'.
Zhang-2019-122-28	1483	NINE	28	nine	nine	九	九	
Zhang-2019-122-29	1327	UNCLE	29	mother's brother	mother's brother	舅	舅	The Tibetan cognate means 'father's brother'. 
Zhang-2019-122-30	1217	FATHER	30	father	father	父	父	
Zhang-2019-122-31			31	allium	allium	韭	韭	Gyalrong cognates: onion. Tibetan cognate: wild onion.
Zhang-2019-122-32	1634	HUNDRED	32	hundred	hundred	百	百	
Zhang-2019-122-33	1482	SHOULDER	33	shoulder blade	shoulder blade	膊	膊	TB cognates: shoulder
Zhang-2019-122-34	2249	THIN (OF SHAPE OF OBJECT)	34	thin	thin	薄	薄	
Zhang-2019-122-35	1240	NOT	35	there is no X such that X... 	there is no X such that X... 	莫	莫	Gyalrong cognates: not be
Zhang-2019-122-36	1673	ARM	36	armpit	armpit	胳	胳	Gyalrong cognates: arm
Zhang-2019-122-37	1886	ARMPIT	37	armpit	armpit	腋	腋	
Zhang-2019-122-38	1493	ONE	38	single	single	隻	隻	TB cognates: one
Zhang-2019-122-39	808	DRIP (FALL IN GLOBULES)	39	to drop, drop	to drop, drop	滴	滴	"Cogtse: drop (classifier); the Old Chinese reconstruction is not from B-S. "
Zhang-2019-122-40	629	LEATHER	40	hide	hide	革	革	Gyalrong cognates: peel off
Zhang-2019-122-41	163	BLACK	41	evil	evil	慝	慝	TB cognates: be black
Zhang-2019-122-42	2905	KNIT	42	to weave	to weave	織	織	
Zhang-2019-122-43	1613	COLOR	43	colour, countenance	colour, countenance	色	色	Japhug cognate: shame
Zhang-2019-122-44	999	JOINT	44	joint	joint	節	節	TB cognates: segment
Zhang-2019-122-45	1392	LOUSE	45	louse	louse	蝨	蝨	
Zhang-2019-122-46			46	to bend	to bend	曲	曲	Japhug cognate: to curve
Zhang-2019-122-47	1698	CURVED	47	be bent, curved	be bent, curved	局	局	
Zhang-2019-122-48	3684	PECK	48	to peck	to peck	啄	啄	Gyalrong cognates: beak
Zhang-2019-122-49			49	shell	shell	殼	殼	TB cognates: bark
Zhang-2019-122-50	1393	HORN (ANATOMY)	50	horn	horn	角	角	
Zhang-2019-122-51	655	POISON	51	poison	poison	毒	毒	
Zhang-2019-122-52	1703	SIX	52	six	six	六	六	
Zhang-2019-122-53	1251	BELLY	53	belly	belly	腹	腹	Tibetan cognate: hole
Zhang-2019-122-54	1248	EYE	54	eye	eye	目	目	
Zhang-2019-122-55			55	to press	to press	蹙 	蹙 	OC not in BS
Zhang-2019-122-56			56	twist, spin	twist, spin	紡	紡	
Zhang-2019-122-57			57	eldest, great	eldest, great	孟	孟	Tibetan and Cogtse: son-in-law, Japhu: husband
Zhang-2019-122-58			58	eldest, great	eldest, great	孟	孟	Gyalrong cognates: be tall
Zhang-2019-122-59			59	to oppose, disturb	to oppose, disturb	攘	攘	Gyalrong cognates: to chase
Zhang-2019-122-60	2271	THINK	60	to think	to think	想	想	
Zhang-2019-122-61	1884	HARD	61	strong, hard	strong, hard	剛	剛	TB cognates: be hard
Zhang-2019-122-62	2684	CAPRINE (GOAT OR SHEEP)	62	sheep	sheep	羊	羊	
Zhang-2019-122-63	149	ITCHY	63	to itch	to itch	癢	癢	
Zhang-2019-122-64	1405	NAME	64	name	name	名	名	
Zhang-2019-122-65			65	cry (of birds or animals)	cry (of birds or animals)	鳴	鳴	Gyalrong cognates: be loud
Zhang-2019-122-66	362	STRING	66	string, cord	string, cord	繩	繩	Gyalrong cognates: rope
Zhang-2019-122-67	617	ICE	67	ice	ice	冰	冰	
Zhang-2019-122-68	2374	DREAM	68	dream	dream	夢	夢	
Zhang-2019-122-69	1215	THOU	69	your	your	乃	乃	Gyalrong cognates: you
Zhang-2019-122-70	1504	FLY (INSECT)	70	fly (insect)	fly (insect)	蠅	蠅	Japhug: bee, Tibetan: honey
Zhang-2019-122-71	10	FIREWOOD	71	firewood	firewood	薪	薪	Tibetan: tree
Zhang-2019-122-72	1231	NEW	72	be new	be new	新	新	
Zhang-2019-122-73	1480	BODY	73	body, self	body, self	身	身	TB cognates: heart
Zhang-2019-122-74	212	FIELD	74	field	field	田	田	Cogtse: to plant, Brag-bar: farming, Tibetan: farmland
Zhang-2019-122-75			75	strike	strike	撞	撞	Japhug: to hit, Tibetan: to beat
Zhang-2019-122-76	1417	KILL	76	to kill	to kill	殺	殺	
Zhang-2019-122-77			77	to defeat	to defeat	敗	敗	Gyalrong cognates: to break
Zhang-2019-122-78	1660	LOSE	78	suffer defeat	suffer defeat	敗	敗	Gyalrong cognates: to break
Zhang-2019-122-79	1705	EIGHT	79	eight	eight	八	八	
Zhang-2019-122-80	1755	UNDRESS	80	to take off	to take off	脫	脫	Brag-bar: to fall (from hand)
Zhang-2019-122-81	175	BLOW (OF WIND)	81	to scrape	to scrape	刮	刮	Gyalrong cognates: to scratch
Zhang-2019-122-82	1418	DIG	82	to dig out (earth)	to dig out (earth)	掘	掘	"Gyalrong cognates: to bury; Tibetan: to dig"
Zhang-2019-122-83			83	to slip	to slip	躓/疐	躓/疐	
Zhang-2019-122-84	127	EXTINGUISH	84	to destroy	to destroy	滅	滅	Gyalrong cognates: to extinguish
Zhang-2019-122-85	1704	SEVEN	85	seven	seven	七	七	
Zhang-2019-122-86	3072	MISPLACE	86	to lose	to lose	失	失	Cogtse: to fall (from hand), Japhug: to fall
Zhang-2019-122-87			87	stiff	stiff	痹	痹	
Zhang-2019-122-88	1560	FACE	88	face	face	顏	顏	
Zhang-2019-122-89	243	FRESH	89	fresh	fresh	鮮	鮮	
