SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
1643	COUSIN	broader	2384	COUSIN OR SISTER-IN-LAW
2306	THIN (OF LEAF AND CLOTH)	broader	2249	THIN (OF SHAPE OF OBJECT)
189	BODY HAIR	broader	1040	HAIR
189	BODY HAIR	narrower	36	PUBIC HAIR
849	SPRING (OF WATER)	broader	2144	SPRING OR WELL
2385	GUAN OR TURKEY	narrower	2386	TURKEY
2385	GUAN OR TURKEY	narrower	437	GUAN
906	TREE	broader	2141	TREE OR WOOD
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	broader	1395	ROUND
2259	FLESH	broader	2615	FLESH OR MEAT
2552	HARNESS (ARMOUR)	broader	1061	ARMOUR
2050	ALCOHOL (DRINK)	sameas	404	ALCOHOL (FERMENTED DRINK)
2063	CLOSE (EYES)	sameas	2211	CLOSE THE EYES
2142	RUN AWAY	broader	956	FLEE
2142	RUN AWAY	broader	1519	RUN
2417	YOUNGER BROTHER (OF WOMAN)	broader	560	BROTHER (OF WOMAN)
2417	YOUNGER BROTHER (OF WOMAN)	broader	1760	YOUNGER BROTHER
479	GROW	similar	1486	PLANT (SOMETHING)
1211	HE	broader	262	HE OR SHE OR IT
1136	RABBIT	broader	2345	LEPORID (RABBIT OR HARE)
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	narrower	939	HORN (INSTRUMENT)
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	narrower	775	TRUMPET
1056	SON-IN-LAW	narrower	2266	SON-IN-LAW (OF WOMAN)
1056	SON-IN-LAW	narrower	2267	SON-IN-LAW (OF MAN)
2372	SAGO PALM	broader	1181	PALM TREE
415	CARRY UNDER ARM	broader	700	CARRY
344	TREE TRUNK	sameas	776	TRUNK OF TREE
1928	CEASE	broader	2115	CEASE OR FINISH
1190	HARE	broader	2345	LEPORID (RABBIT OR HARE)
2110	WARM (OF WEATHER)	broader	1232	WARM
1225	DAY (NOT NIGHT)	broader	2140	DAY OR SUN
203	MARRY	narrower	2163	MARRY (AS WOMAN)
203	MARRY	narrower	2164	MARRY (AS MAN)
1846	RULE	narrower	382	GOVERN
700	CARRY	narrower	412	CARRY IN HAND
700	CARRY	narrower	413	CARRY ON SHOULDER
700	CARRY	narrower	465	CARRY ON BACK
465	CARRY ON BACK	narrower	2153	CARRY PERSON ON BACK
314	CAPYBARA	broader	2132	SICKLE OR SCYTHE
439	CEBUS MONKEY	broader	1350	MONKEY
1847	SICK	broader	2103	PAINFUL OR SICK
2392	DAUGHTER OR GIRL	narrower	1357	DAUGHTER
2392	DAUGHTER OR GIRL	narrower	1646	GIRL
2488	FEMALE PIG	broader	1337	PIG
210	LIFE	broader	2269	BREATH OR LIFE
123	FOREHEAD	broader	2107	HAIR OR FOREHEAD
1443	WALK	broader	2450	FOOT OR WALK
1443	WALK	broader	695	GO
1366	BOY	broader	2391	BOY OR SON
2095	FAT (FOR NOURISHMENT)	narrower	1282	FAT (FROM ANIMALS)
2095	FAT (FOR NOURISHMENT)	broader	323	FAT (ORGANIC SUBSTANCE)
2265	DAUGHTER-IN-LAW (OF MAN)	broader	1057	DAUGHTER-IN-LAW
752	STORE	broader	746	SHOP
1272	AUNT	narrower	2175	PATERNAL AUNT
1272	AUNT	broader	2383	AUNT OR MOTHER-IN-LAW
1272	AUNT	narrower	2176	MATERNAL AUNT
1608	LISTEN	similar	1408	HEAR
833	ENDURE	similar	1186	LAST (ENDURE)
2126	EAR OR HEAR	narrower	1408	HEAR
2126	EAR OR HEAR	narrower	1247	EAR
2117	DESIRE	broader	1784	WANT
2117	DESIRE	broader	923	LOVE
2380	BROTHER-IN-LAW (OF MAN)	broader	2314	BROTHER-IN-LAW
1138	FAIRY	broader	2138	LEGENDARY CREATURE
1591	UP	similar	1741	ABOVE
217	BETELNUT	sameas	2369	BETEL NUT
1129	PAINFUL	broader	2103	PAINFUL OR SICK
72	CLAW	broader	2128	CLAW OR NAIL
618	PRECIPICE	narrower	992	CLIFF
2141	TREE OR WOOD	narrower	1803	WOOD
837	BLUE	broader	2382	BLUE OR GREEN
959	WAGON	sameas	122	CART
2112	OLD (AGED)	broader	1229	OLD
2112	OLD (AGED)	narrower	565	OLD (OF MAN)
2112	OLD (AGED)	narrower	566	OLD (OF WOMAN)
2557	PIG FAT	broader	1282	FAT (FROM ANIMALS)
1479	DOLPHIN	narrower	114	PORPOISE
2189	DUGOUT	broader	1970	CANOE
1553	MALE	narrower	2261	MALE (OF PERSON)
1553	MALE	narrower	2263	MALE (OF ANIMAL)
2191	LOW (HEIGHT)	similar	721	LOW
405	OLDER SIBLING	broader	1640	SIBLING
420	FOREST	sameas	2311	WOODS
2257	MOTHER-IN-LAW (OF MAN)	broader	1050	MOTHER-IN-LAW
2614	SKIN (ANIMAL)	broader	763	SKIN
2503	LAUNDER	broader	1453	WASH
