NUMBER	GLOSS	URL	OMEGAWIKI
1	I	http://ielex.mpi.nl/meaning//I	5450
2	all	http://ielex.mpi.nl/meaning/all/	1173416
3	and	http://ielex.mpi.nl/meaning/and/	6464
4	animal	http://ielex.mpi.nl/meaning/animal/	194
5	ashes	http://ielex.mpi.nl/meaning/ashes/	264
6	at	http://ielex.mpi.nl/meaning/at/	6078
7	back	http://ielex.mpi.nl/meaning/back/	5648
8	bad	http://ielex.mpi.nl/meaning/bad/	5650
9	bark	http://ielex.mpi.nl/meaning/bark/	5439
10	because	http://ielex.mpi.nl/meaning/because/	514093
11	belly	http://ielex.mpi.nl/meaning/belly/	5516
12	big	http://ielex.mpi.nl/meaning/big/	5437
13	bird	http://ielex.mpi.nl/meaning/bird/	400
14	bite	http://ielex.mpi.nl/meaning/bite/	5993
15	black	http://ielex.mpi.nl/meaning/black/	1341728
16	blood	http://ielex.mpi.nl/meaning/blood/	411
17	blow	http://ielex.mpi.nl/meaning/blow/	1375415
18	bone	http://ielex.mpi.nl/meaning/bone/	5983
19	breast	http://ielex.mpi.nl/meaning/breast/	5992
20	breathe	http://ielex.mpi.nl/meaning/breathe/	5998
21	burn	http://ielex.mpi.nl/meaning/burn/	6039
21	burn	http://ielex.mpi.nl/meaning/burn/	1299599
22	child	http://ielex.mpi.nl/meaning/child/	7413
22	child	http://ielex.mpi.nl/meaning/child/	568
23	cloud	http://ielex.mpi.nl/meaning/cloud/	623
24	cold	http://ielex.mpi.nl/meaning/cold/	5639
25	come	http://ielex.mpi.nl/meaning/come/	6056
26	count	http://ielex.mpi.nl/meaning/count/	6026
27	cut	http://ielex.mpi.nl/meaning/cut/	6043
28	day	http://ielex.mpi.nl/meaning/day/	5477
29	die	http://ielex.mpi.nl/meaning/die/	6245
30	dig	http://ielex.mpi.nl/meaning/dig/	6024
31	dirty	http://ielex.mpi.nl/meaning/dirty/	5483
32	dog	http://ielex.mpi.nl/meaning/dog/	966
33	drink	http://ielex.mpi.nl/meaning/drink/	5991
34	dry	http://ielex.mpi.nl/meaning/dry/	5989
35	dull	http://ielex.mpi.nl/meaning/dull/	1511061
36	dust	http://ielex.mpi.nl/meaning/dust/	1009
37	ear	http://ielex.mpi.nl/meaning/ear/	5510
38	earth	http://ielex.mpi.nl/meaning/earth/	5481
39	eat	http://ielex.mpi.nl/meaning/eat/	5827
40	egg	http://ielex.mpi.nl/meaning/egg/	340828
41	eye	http://ielex.mpi.nl/meaning/eye/	5511
42	fall	http://ielex.mpi.nl/meaning/fall/	5622
43	far	http://ielex.mpi.nl/meaning/far/	5997
44	fat	http://ielex.mpi.nl/meaning/fat/	5624
45	father	http://ielex.mpi.nl/meaning/father/	5464
46	fear	http://ielex.mpi.nl/meaning/fear/	6025
47	feather	http://ielex.mpi.nl/meaning/feather/	5436
48	few	http://ielex.mpi.nl/meaning/few/	5500
49	fight	http://ielex.mpi.nl/meaning/fight/	6030
50	fingernail	http://ielex.mpi.nl/meaning/fingernail/	828575
51	fire	http://ielex.mpi.nl/meaning/fire/	1446
52	fish	http://ielex.mpi.nl/meaning/fish/	1460
53	five	http://ielex.mpi.nl/meaning/five/	156104
54	float	http://ielex.mpi.nl/meaning/float/	6457
55	flow	http://ielex.mpi.nl/meaning/flow/	961244
56	flower	http://ielex.mpi.nl/meaning/flower/	1487
57	fly	http://ielex.mpi.nl/meaning/fly/	6052
58	fog	http://ielex.mpi.nl/meaning/fog/	1502
59	foot	http://ielex.mpi.nl/meaning/foot/	5672
60	four	http://ielex.mpi.nl/meaning/four/	6253
61	freeze	http://ielex.mpi.nl/meaning/freeze/	6042
62	fruit	http://ielex.mpi.nl/meaning/fruit/	6280
63	full	http://ielex.mpi.nl/meaning/full/	6040
64	give	http://ielex.mpi.nl/meaning/give/	6059
65	good	http://ielex.mpi.nl/meaning/good/	443659
66	grass	http://ielex.mpi.nl/meaning/grass/	1675
67	green	http://ielex.mpi.nl/meaning/green/	6032
68	guts	http://ielex.mpi.nl/meaning/guts/	5824
69	hair	http://ielex.mpi.nl/meaning/hair/	446278
70	hand	http://ielex.mpi.nl/meaning/hand/	5616
71	he	http://ielex.mpi.nl/meaning/he/	5454
72	head	http://ielex.mpi.nl/meaning/head/	5527
73	hear	http://ielex.mpi.nl/meaning/hear/	5999
74	heart	http://ielex.mpi.nl/meaning/heart/	5475
75	heavy	http://ielex.mpi.nl/meaning/heavy/	5451
76	here	http://ielex.mpi.nl/meaning/here/	1287831
77	hit	http://ielex.mpi.nl/meaning/hit/	6044
78	hold	http://ielex.mpi.nl/meaning/hold/	6060
79	horn	http://ielex.mpi.nl/meaning/horn/	5981
80	how	http://ielex.mpi.nl/meaning/how/	5494
81	hunt	http://ielex.mpi.nl/meaning/hunt/	6046
82	husband	http://ielex.mpi.nl/meaning/husband/	5432
83	ice	http://ielex.mpi.nl/meaning/ice/	1837
84	if	http://ielex.mpi.nl/meaning/if/	6076
85	in	http://ielex.mpi.nl/meaning/in/	6077
86	kill	http://ielex.mpi.nl/meaning/kill/	6023
87	knee	http://ielex.mpi.nl/meaning/knee/	5918
88	know	http://ielex.mpi.nl/meaning/know/	6004
89	lake	http://ielex.mpi.nl/meaning/lake/	2061
90	laugh	http://ielex.mpi.nl/meaning/laugh/	5876
91	leaf	http://ielex.mpi.nl/meaning/leaf/	2124
92	left	http://ielex.mpi.nl/meaning/left/	1499731
93	leg	http://ielex.mpi.nl/meaning/leg/	5665
94	lie	http://ielex.mpi.nl/meaning/lie/	6005
95	live	http://ielex.mpi.nl/meaning/live/	6028
96	liver	http://ielex.mpi.nl/meaning/liver/	5476
97	long	http://ielex.mpi.nl/meaning/long/	5438
