NUMBER	GLOSS
2	DUST (noun)
10	FIREWOOD (noun)
12	MIDDAY (noun)
15	OTTER (noun)
78	THAT
98	ALL
136	HERE
152	HOOF (noun)
156	RED (adjective)
163	BLACK (adjective)
175	BLOW (OF WIND) (verb)
189	BODY HAIR (noun)
215	LIE DOWN (verb)
221	FIRE (noun)
227	FISH (noun)
232	FLEA (noun)
239	FLOWER (noun)
244	LEFT (adjective)
249	FOG (noun)
262	HE OR SHE OR IT
267	NIT (noun)
274	KNEAD (verb)
319	LICK (verb)
321	CHEW (verb)
341	SICKLE (noun)
420	FOREST (noun)
477	LATE
478	LIP (noun)
487	SHY (adjective)
492	THREE
493	FIVE
503	FROG (noun)
504	LEARN (verb)
522	WOLF (noun)
587	ANT (noun)
602	HIDE, CONCEAL (verb)
606	GRASS (noun)
609	HAIL (noun)
615	HORSE (noun)
617	ICE (noun)
624	LAKE (noun)
628	LEAF (noun)
634	MEAT (noun)
639	MOUNTAIN (noun)
640	MUD (noun)
658	RAIN (PRECIPATION) (noun)
666	RIVER (noun)
667	ROAD (noun)
670	ROOT (noun)
671	SAND (noun)
672	EARLY
674	MOUTH (noun)
688	LUNG (noun)
706	DARK (adjective)
713	STEAL (verb)
714	SEED (noun)
730	SNAKE (noun)
737	LIGHT (IGNITE) (verb)
744	EGG (noun)
762	OUTSIDE
763	SKIN (noun)
778	SMOKE (EXHAUST) (noun)
784	SNOW (noun)
800	THIGH (noun)
843	SPIDER (noun)
846	TIGER (noun)
857	STONE (noun)
906	TREE (noun)
932	BARLEY (noun)
937	BIRD (noun)
946	BLOOD (noun)
948	WATER (noun)
960	WIND (noun)
962	WOMAN (noun)
1019	RIGHT (adjective)
1035	GOOD (adjective)
1040	HAIR (noun)
1077	WHEAT (noun)
1091	SALTY (adjective)
1093	MIDDLE (noun)
1099	RESIDE (verb)
1131	WE (INCLUSIVE)
1150	THUNDER (noun)
1172	SHOOT (verb)
1174	YESTERDAY
1198	MANY
1199	WIFE (noun)
1200	HUSBAND (noun)
1201	FEATHER (noun)
1202	BIG (adjective)
1203	LONG (adjective)
1205	TONGUE (noun)
1207	YOUNG (adjective)
1209	I
1210	HEAVY (adjective)
1213	YOU
1214	THIS
1215	THOU
1216	MOTHER (noun)
