SOURCE	RELATION	TARGET
210	broader	2269
396	sameas	395
413	broader	700
333	similar	1043
907	broader	962
1522	broader	329
2187	instanceof	131
984	narrower	2281
666	narrower	947
1822	similar	917
2189	broader	1970
368	sameas	16
746	broader	752
1343	broader	2140
2110	broader	1232
1383	narrower	2178
700	narrower	413
700	narrower	412
700	narrower	465
700	narrower	415
2281	broader	984
2281	broader	1086
1985	narrower	2174
1985	broader	1327
1985	narrower	2173
658	similar	1253
658	broader	2108
2220	narrower	1519
2186	instanceof	131
1419	broader	2109
281	sameas	282
525	narrower	1925
525	narrower	1924
1186	similar	833
855	similar	2021
2093	broader	1685
1056	narrower	2267
1056	narrower	2266
16	sameas	368
634	broader	2096
282	sameas	281
645	narrower	2282
2136	narrower	775
2136	narrower	939
991	broader	2146
2107	narrower	123
2107	narrower	1040
1094	broader	1917
126	produces	125
563	broader	1207
734	broader	813
1207	narrower	563
1207	narrower	564
2265	broader	1057
639	broader	2118
485	similar	423
2156	broader	1432
2091	sameas	732
1236	broader	2147
2264	broader	1057
2115	narrower	1928
2115	narrower	1766
1388	sameas	2275
737	sameas	2258
2279	broader	1240
2279	broader	1269
1212	broader	1131
1212	broader	1130
1212	broader	2310
2177	broader	1496
1019	similar	2183
2109	narrower	1419
2109	narrower	781
2212	broader	1387
1269	similar	1240
1269	narrower	2279
2153	broader	465
2188	instanceof	131
504	narrower	1929
131	classof	2187
131	classof	2186
131	classof	2188
1554	narrower	406
1554	narrower	76
1554	broader	2106
1924	broader	525
1416	resultof	1649
857	broader	2125
635	broader	2129
635	producedby	1402
939	broader	2136
354	broader	1665
752	narrower	746
2128	narrower	72
2128	narrower	1896
1486	similar	479
244	similar	2182
1620	broader	1801
1925	broader	525
1109	narrower	51
2121	narrower	1673
2121	narrower	1277
738	narrower	2214
2233	similar	583
1896	broader	2128
1896	narrower	1258
1448	broader	2104
2139	narrower	1491
2139	narrower	1490
2139	broader	669
1673	broader	2121
215	resultsin	1411
2132	narrower	20
2132	narrower	314
1495	resultof	2192
1834	broader	262
1130	narrower	1212
1846	narrower	382
1232	broader	2272
1232	narrower	2110
1553	narrower	2263
1553	narrower	2261
2016	broader	40
696	similar	2017
501	sameas	1317
1479	narrower	114
1445	broader	1588
86	similar	940
1581	broader	1857
2105	narrower	962
1491	broader	2139
711	broader	2143
2256	broader	1050
2175	narrower	2170
2175	broader	1272
2175	narrower	2171
2138	narrower	1138
2138	narrower	1037
2195	similar	243
262	narrower	1834
262	narrower	1211
356	sameas	1328
824	broader	2137
329	narrower	1522
406	broader	1554
471	broader	1297
1108	narrower	1156
1286	broader	2272
1020	broader	332
1520	narrower	1033
2268	narrower	1372
2268	narrower	1499
2310	narrower	1212
2170	broader	2175
2133	narrower	1433
2133	narrower	353
2133	narrower	1665
2273	narrower	949
2275	sameas	1388
1586	broader	2124
1586	narrower	375
404	sameas	2050
870	broader	2269
1929	broader	504
925	sameas	927
868	narrower	399
868	narrower	2251
2300	broader	1958
2300	broader	1425
1803	broader	2141
695	narrower	1443
447	broader	1297
447	narrower	498
442	broader	1380
2163	broader	203
1043	similar	333
53	narrower	811
1389	broader	2120
1129	broader	2103
2214	broader	738
2127	narrower	763
2127	narrower	1204
1196	sameas	390
2306	narrower	2249
127	resultsin	2209
1136	narrower	2345
379	sameas	1397
564	broader	1207
2308	broader	1400
2308	broader	2249
1033	broader	1520
1033	requires	636
76	broader	1554
566	broader	2112
1685	narrower	2093
2155	broader	1432
625	broader	2131
1499	broader	2268
1434	similar	398
2099	narrower	1304
2099	narrower	1801
243	similar	2195
2103	narrower	1847
2103	narrower	1129
1519	narrower	2142
1519	broader	2220
2021	similar	855
2063	sameas	2211
1507	broader	904
1958	narrower	2300
2116	narrower	1585
2116	narrower	1411
1920	produces	2374
2224	transitiveof	2004
2171	broader	2175
114	broader	1479
1387	narrower	2212
2100	narrower	279
2100	narrower	769
1917	narrower	1094
849	broader	2144
1277	broader	2121
2176	broader	1272
2176	narrower	2172
323	sameas	1282
2154	usedfor	1921
906	broader	2141
2165	sameas	701
664	similar	872
1400	narrower	2308
2111	broader	1213
353	broader	2133
2101	similar	1625
2101	similar	1494
72	broader	2128
141	broader	2102
618	narrower	992
2120	narrower	1389
2120	narrower	1303
904	narrower	1507
2262	broader	1551
1301	broader	2098
2302	narrower	1395
1474	narrower	2282
2104	narrower	1749
2104	narrower	1448
1258	broader	1896
1551	narrower	2260
1551	narrower	2262
1496	narrower	2177
2258	sameas	737
2147	narrower	1236
2147	narrower	1235
1050	narrower	2257
1050	narrower	2256
1572	similar	1900
1304	broader	2099
1409	narrower	1819
1766	broader	2115
2142	broader	1519
2142	broader	956
479	similar	1486
1906	resultof	2229
1819	broader	1409
2125	narrower	857
2125	narrower	668
2174	broader	1985
1928	broader	2115
1900	similar	1572
2272	narrower	1286
2272	narrower	1232
1962	broader	2146
1282	sameas	323
1282	sameas	2095
1204	broader	2127
2269	narrower	210
2269	narrower	870
962	narrower	77
962	narrower	907
962	broader	2105
2098	narrower	1301
2098	narrower	1297
1190	narrower	2345
813	narrower	734
1725	similar	1657
1921	requires	2154
1649	resultsin	1416
2172	broader	2176
2257	broader	1050
2260	broader	1551
1215	broader	2304
917	similar	1822
1131	narrower	1212
498	broader	447
2307	sameas	2249
1749	broader	2104
1726	producedby	28
1327	narrower	1985
2124	narrower	1587
2124	narrower	1586
1494	similar	2101
399	broader	868
1614	broader	2205
1402	produces	635
1402	broader	2129
1055	narrower	2254
1055	narrower	2255
2117	narrower	923
2117	narrower	1784
331	narrower	330
331	broader	2130
1225	broader	2140
1328	sameas	356
465	broader	700
465	narrower	2153
2096	narrower	634
2096	narrower	619
2326	sameas	1755
1998	broader	1128
583	similar	2233
2303	narrower	1395
2004	intransitiveof	2224
1444	broader	1588
1991	broader	1334
1657	similar	1725
347	broader	931
1585	broader	2116
931	narrower	347
2312	narrower	1213
1247	broader	2126
2126	narrower	1247
2126	narrower	1408
1272	narrower	2175
1272	narrower	2176
1415	broader	2271
1415	similar	1513
2131	narrower	625
2131	narrower	1919
2209	resultof	127
1102	broader	705
125	producedby	126
872	similar	664
811	broader	53
1049	broader	1380
1433	broader	2133
2282	broader	1474
2282	broader	645
1138	broader	2138
775	broader	2136
1317	sameas	501
2130	narrower	771
2130	narrower	1288
2130	narrower	331
2129	narrower	635
2129	narrower	1402
1397	sameas	379
1334	narrower	1991
1128	narrower	1998
819	broader	2114
2106	narrower	1554
2205	narrower	1614
332	narrower	1020
575	similar	2065
1784	broader	2117
2118	narrower	614
2118	narrower	639
940	similar	86
705	narrower	1102
1240	narrower	2279
1240	similar	1269
2182	similar	244
1211	broader	262
949	broader	2273
1182	broader	1811
1380	narrower	442
1380	narrower	1049
1251	broader	2114
4	broader	736
1027	broader	620
701	sameas	2165
2183	similar	1019
1156	broader	1108
2114	narrower	1251
2114	narrower	819
382	broader	1846
2065	similar	575
614	broader	2118
1357	broader	1801
2261	broader	1553
1490	broader	2139
2164	broader	203
923	broader	2117
1755	sameas	2326
40	narrower	2016
2137	narrower	823
2137	narrower	824
1297	narrower	447
1297	broader	2098
1297	narrower	471
669	narrower	2139
1587	broader	2124
2276	narrower	1558
1073	sameas	1072
314	broader	2132
2143	narrower	1203
2143	narrower	711
