ID	GLOSS	PRIORITY
1597	AIRPLANE///flyvemaskine	1
587	ANT///myre	1
1320	APPLE///æble	1
1828	ASK (REQUEST)///tigger	1
677	AXE///økse	1
1845	BALL///bold	1
3083	BALLOON///ballon	1
868	BANANA///banan	1
1206	BARKING///hunden gør	1
2548	BARREL///tønde	1
1539	BASKET///kurv	1
138	BATHE///bader	1
662	BATTERY///batteri	1
1820	BEAR///bjørn	1
1663	BED///seng	1
2246	BELL///klokke	1
772	BELT///bælte	1
747	BICYCLE///cykel	1
937	BIRD///fugl	1
1403	BITE///bider	1
3084	BLACKBOARD///tavle	1
1655	BLINK///blinker	1
176	BLOW (WITH MOUTH)///puster	1
2493	BOIL///koger	1
1394	BONE///ben	1
585	BOOT///støvle	1
1501	BORE///borer	1
1321	BOTTLE///flaske	1
3108	BOX (SOMEBODY OR SOMETHING)///bokser	1
680	BREAK (DESTROY OR GET DESTROYED)///sprænger	1
245	BROOM///kost	1
3109	BRUSH (TEETH)///børster	1
1821	BRUSH///hårbørste	1
1840	BUILD///bygger	1
141	BURN (SOMETHING)///brænder	1
1070	BUS///bus	1
1791	BUTTERFLY///sommerfugl	1
757	BUTTON///knap	1
1273	CANDLE///stearinlys	1
1288	CAP///kasket	1
1111	CAR///bil	1
3085	CARROT///gulerod	1
700	CARRY///bærer	1
228	CARVE///snitter	1
1208	CAT///kat	1
1627	CHAIN///kæde	1
1476	CHAIR///stol	1
1569	CHEESE///ost	1
3110	CLAP///klapper	1
2235	CLEAN (SOMETHING)///gør rent	1
1102	CLIMB///klatrer	1
1323	CLOCK///ur	1
1616	CLOTH///halstørklæde	1
1895	CLOTHES///trøje	1
1895	CLOTHES///vest	1
1489	CLOUD///sky	1
2070	COMB (VERB)///friserer	1
1475	COMB///kam	1
3086	COMPUTER///computer	1
3111	CONDUCT///dirigerer	1
1100	COOK (SOMETHING)///laver mad	1
1007	COW///ko	1
96	CRAWL///kravler	1
1857	CROCODILE///krokodille	1
1839	CRY///græder	1
496	CUCUMBER///agurk	1
1432	CUT///klipper	1
1879	DANCE///danser	1
1418	DIG///graver	1
119	DIVE///dykker	1
2009	DOG///hund	1
1659	DOLL///dukke	1
1567	DOOR///dør	1
2030	DRAG///trækker	1
93	DRAW MILK///malker	1
474	DRESS///kjole	1
1401	DRINK///drikker	1
2253	DRIP (EMIT LIQUID)///drypper	1
741	DRIVE///kører	1
1904	DROWN///drukner	1
908	DRUM///tromme	1
1786	DRY UP///tørrer	1
1360	DUCK///and	1
1247	EAR///øre	1
1336	EAT///spiser	1
1290	ELEPHANT///elefant	1
928	EMBRACE///krammer	1
3088	ENVELOPE///konvolut	1
3112	ERUPT///udbryder	1
127	EXTINGUISH///slukker	1
1248	EYE///øje	1
1280	FALL///falder	1
1201	FEATHER///fjer	1
739	FEED///fodrer	1
1423	FIGHT///slås	1
3113	FILE (SOMETHING)///filer	1
227	FISH///fisk	1
2638	FISHING///fisker	1
2623	FLAG///flag	1
239	FLOWER///blomst	1
1504	FLY (INSECT)///flue	1
1441	FLY (MOVE THROUGH AIR)///flyver	1
256	FOOD///pizza	1
256	FOOD///sandwich	1
1302	FORK///gaffel	1
503	FROG///frø	1
991	FRY///steger	1
2940	GATE///låge	1
3089	GIRAFFE///giraf	1
604	GLASS///glas	1
