ID	GLOSS	PRIORITY
2924	A LITTLE///Etwas	1
2924	A LITTLE///Wenig	1
2924	A LITTLE///ein wenig	2
2924	A LITTLE///wenig	2
2527	ABILITY///Krafft	1
1741	ABOVE///Ueber	1
1741	ABOVE///Über	1
1741	ABOVE///über (Ruhe)	1
303	ABSTAIN FROM FOOD///fasten	3
3898	ACCEPT///akzeptieren	1
2603	ACCORDION///Akkordeon	1
1814	ACCUSE///anklagen	1
1814	ACCUSE///anklagen, beschuldigen	1
1815	ACHE///schmerzen	2
349	ACHIOTE///Urucú	2
968	ACORN///die Eichel	1
3892	ACQUIRE (SOMETHING)///aneignen	1
988	ACQUIT///freisprechen	1
2670	ACROSS///gegenüber	1
802	ADAM'S APPLE///Adamsapfel	2
2882	ADD///hinzufügen	3
1818	ADJUDICATE///Richten	1
1818	ADJUDICATE///richten	1
1818	ADJUDICATE///urteilen	1
2022	ADMIT///Bekennen	1
2022	ADMIT///gestehn	1
2022	ADMIT///zugeben	1
901	ADOBE///Ziegelstein	1
902	ADULTERY///Ehebruch	1
902	ADULTERY///der Ehebruch	1
290	ADZE///das Breitbeil	1
2214	AFFAIR///Angelegenheit	2
1685	AFTER///Nachher	1
1685	AFTER///nach	2
1807	AFTERNOON///der Nachmittag	1
2093	AFTERWARDS///danach	2
2093	AFTERWARDS///hinterher	1
204	AGAIN///Wieder	1
204	AGAIN///wieder	3
2469	AGAINST///Gegen	1
2469	AGAINST///gegen	1
1789	AGE///Alter	2
1789	AGE///das Alter	1
313	AGOUTI///Cutia	1
27	AIR///Luft	4
27	AIR///die Luft	1
1597	AIRPLANE///Flugzeug	2
1597	AIRPLANE///Hobel	1
3796	ALBATROSS///Albatros	1
404	ALCOHOL (FERMENTED DRINK)///berauschendes Getränk	1
404	ALCOHOL (FERMENTED DRINK)///der Alkohol	1
98	ALL///Alle	1
98	ALL///Alles	1
98	ALL///alle	1
98	ALL///alles	4
98	ALL///jeder, alle	1
1581	ALLIGATOR///Alligator	2
3237	ALLOW OR PERMIT///erlauben	1
3238	ALLOW///zulassen	1
3815	ALMOND///Mandel	2
1964	ALONE///allein	4
2576	ALREADY///Schon, vorlängst	1
2576	ALREADY///schon	3
853	ALTAR///der Altar	1
2535	ALTITUDE///Hoehe	1
1676	ALWAYS///Immer	1
1676	ALWAYS///immer	4
65	AMBUSH///der Hinterhalt	1
2987	AMOUNT///Menge	2
2804	AMULET///Amulet	1
896	ANACONDA (WATER BOA)///Giboya	1
1669	ANCESTORS///Vorfahr	1
1669	ANCESTORS///die Vorfahren	1
1870	ANCHOR///Anker	1
1870	ANCHOR///der Anker	1
1577	AND///Und	1
1577	AND///und	3
82	ANGER///Aerger	1
82	ANGER///der Zorn	1
2757	ANGULAR (SQUAREFORMED)///eckig	1
619	ANIMAL///Thier	2
619	ANIMAL///Tier	4
619	ANIMAL///das Tier	1
803	ANKLE///Fußknöchel	1
803	ANKLE///Knöchel	3
803	ANKLE///der Knöchel	1
9	ANNOUNCE///ankündigen	1
1275	ANSWER///Antworten	1
1275	ANSWER///antworten	2
587	ANT///Ameise	9
587	ANT///Ameiße	1
587	ANT///die Ameise	1
