ID	GLOSS	PRIORITY
3227	*BALL (FOR PLAYING)///the *ball (for playing)	0
3227	*BALL (FOR PLAYING)///the *ball (for playing)s	0
3214	*CRAWL OR CREEP///to *crawl or creep	0
3215	*CREEP///to *creep	0
3151	*CUT (WITH AXE)///the *cut (with axe)	0
3151	*CUT (WITH AXE)///the *cut (with axe)s	0
3216	*DRIP OR DROP SOMETHING///to *drip or drop something	0
3226	*FASTEN OR SQUEEZE///to *fasten or squeeze	0
3219	*SPLASH OR SPRAY///to *splash or spray	0
3218	*SPRAY (SOMETHING)///to *spray (something)	0
3225	*SQUEEZE OR WRING///to *squeeze or wring	0
3229	*STINK///to *stink	0
2924	A LITTLE///a little	2
2489	ABACUS///Abacus	2
2489	ABACUS///abacus	1
2489	ABACUS///the abacus	3
2489	ABACUS///the abacuss	3
1097	ABANDON///leave it	1
1097	ABANDON///the abandon	3
1097	ABANDON///the abandons	3
1097	ABANDON///to leave it	2
2527	ABILITY///the ability	0
2527	ABILITY///the abilitys	0
1741	ABOVE///above	19
1741	ABOVE///above — over (adv.)	1
1741	ABOVE///over	2
303	ABSTAIN FROM FOOD///fast (vb)	1
303	ABSTAIN FROM FOOD///fast (vb., religious)	1
303	ABSTAIN FROM FOOD///to abstain from food	5
303	ABSTAIN FROM FOOD///to fast	3
1953	ABUSE///abuse	1
1953	ABUSE///the abuse	1
1953	ABUSE///the abuses	1
2437	ACAI PALM///AÇAÍ PALM	1
2437	ACAI PALM///the acai palm	1
2437	ACAI PALM///the acai palms	1
1542	ACCOMPANY///accompany	1
1542	ACCOMPANY///to accompany	1
2603	ACCORDION///Accordion	2
2603	ACCORDION///the accordion	2
2603	ACCORDION///the accordions	2
1814	ACCUSE///accuse	4
1814	ACCUSE///to accuse	6
1118	ACCUSTOM///get accustomed	1
1118	ACCUSTOM///to accustom	1
1815	ACHE///ache	1
1815	ACHE///to ache	2
349	ACHIOTE///ACHIOTE	1
349	ACHIOTE///achiote	1
349	ACHIOTE///the achiote	2
349	ACHIOTE///the achiotes	2
968	ACORN///Acorn	1
968	ACORN///acorn	3
968	ACORN///the acorn	6
968	ACORN///the acorns	6
988	ACQUIT///acquit	3
988	ACQUIT///to acquit	5
2670	ACROSS///across	1
2670	ACROSS///across (stream)	1
1861	ACTIVE///active	1
1861	ACTIVE///active (adjective)	1
802	ADAM'S APPLE///Adam's apple	1
802	ADAM'S APPLE///adam’s apple	1
802	ADAM'S APPLE///the adam's apple	2
802	ADAM'S APPLE///the adam's apples	2
2882	ADD///add	1
2882	ADD///to add	1
591	ADDRESS///the address	2
591	ADDRESS///the addresss	2
1818	ADJUDICATE///judge (vb)	2
1818	ADJUDICATE///judge (vb.)	1
1818	ADJUDICATE///to adjudicate	5
2022	ADMIT///admit, confess	2
2022	ADMIT///admit; confess	1
2022	ADMIT///to admit	5
901	ADOBE///adobe	2
901	ADOBE///the adobe	4
901	ADOBE///the adobes	4
2496	ADORNED///adorned (adjective)	2
2496	ADORNED///crested	2
1822	ADORNMENT///the adornment	0
1822	ADORNMENT///the adornments	0
902	ADULTERY///adultery	3
902	ADULTERY///the adultery	5
902	ADULTERY///the adulterys	5
290	ADZE///adze	2
290	ADZE///the adze	4
290	ADZE///the adzes	4
2737	AFFAIR (CLASSIFIER)///affair (classifier) (classifier)	0
2214	AFFAIR///affair	1
2214	AFFAIR///the affair	1
2214	AFFAIR///the affairs	1
1685	AFTER///after	9
1807	AFTERNOON///Afternoon	1
1807	AFTERNOON///afternoon	6
1807	AFTERNOON///afternoon (late)	1
1807	AFTERNOON///the afternoon	10
1807	AFTERNOON///the afternoons	10
2093	AFTERWARDS///afterwards	4
2093	AFTERWARDS///later (in time)	1
204	AGAIN///again	16
204	AGAIN///again, and	1
2469	AGAINST///against	2
2469	AGAINST///against (adjective)	2
1789	AGE///age	5
1789	AGE///old age	1
1789	AGE///the age	9
1789	AGE///the ages	9
1789	AGE///year / age	1
313	AGOUTI///AGOUTI	2
313	AGOUTI///agouti	2
313	AGOUTI///the agouti	4
313	AGOUTI///the agoutis	4
27	AIR///air	6
27	AIR///the air	8
27	AIR///the airs	8
1597	AIRPLANE///airplane	3
1597	AIRPLANE///plane	1
1597	AIRPLANE///the airplane	6
1597	AIRPLANE///the airplanes	6
464	ALANG-ALANG GRASS///alang-alang grass	1
464	ALANG-ALANG GRASS///the alang-alang grass	1
464	ALANG-ALANG GRASS///the alang-alang grasss	1
2050	ALCOHOL (DRINK)///the alcohol (drink)	0
2050	ALCOHOL (DRINK)///the alcohol (drink)s	0
404	ALCOHOL (FERMENTED DRINK)///alcohol (drink)	1
404	ALCOHOL (FERMENTED DRINK)///alcohol/liquor	1
404	ALCOHOL (FERMENTED DRINK)///fermented drink	2
404	ALCOHOL (FERMENTED DRINK)///the alcohol (fermented drink)	5
404	ALCOHOL (FERMENTED DRINK)///the alcohol (fermented drink)s	5
404	ALCOHOL (FERMENTED DRINK)///the fermented drink	1
2650	ALL OR MANY///all or many	0
98	ALL///ALL	6
98	ALL///All	2
98	ALL///all	115
98	ALL///all (adjective, plural neuter)	1
98	ALL///all (as in ‘all of the stones’)	1
98	ALL///all (of a number)	2
98	ALL///all (omnis)	1
98	ALL///all (pl.)	2
98	ALL///all (things)	2
98	ALL///all / even	1
98	ALL///all; every	1
98	ALL///alle	1
98	ALL///every	2
98	ALL///every, all	2
98	ALL///everything	1
1581	ALLIGATOR///CAYMAN	1
1581	ALLIGATOR///the alligator	1
1581	ALLIGATOR///the alligators	1
3237	ALLOW OR PERMIT///allow; let (= permit); permit	1
3237	ALLOW OR PERMIT///let, permit	2
3237	ALLOW OR PERMIT///to allow or permit	3
3238	ALLOW///allow	2
3238	ALLOW///let	1
3238	ALLOW///to let	1
1964	ALONE///alone	5
1964	ALONE///alone (adjective)	5
2576	ALREADY///already	3
853	ALTAR///altar	2
853	ALTAR///the altar	4
853	ALTAR///the altars	4
2535	ALTITUDE///the altitude	0
2535	ALTITUDE///the altitudes	0
1676	ALWAYS///always	8
1863	AMAZING///amazing	1
1863	AMAZING///amazing (adjective)	1
65	AMBUSH///ambush	2
65	AMBUSH///ambush (sb.)	1
65	AMBUSH///ambush, embuscade	1
65	AMBUSH///the ambush	6
65	AMBUSH///the ambushs	6
2987	AMOUNT///amount	1
2987	AMOUNT///the amount	1
2987	AMOUNT///the amounts	1
2804	AMULET///amulet	1
2804	AMULET///the amulet	1
2804	AMULET///the amulets	1
896	ANACONDA (WATER BOA)///ANACONDA	1
896	ANACONDA (WATER BOA)///anaconda, water boa	1
896	ANACONDA (WATER BOA)///the anaconda (water boa)	2
896	ANACONDA (WATER BOA)///the anaconda (water boa)s	2
1669	ANCESTORS///ancestor	4
1669	ANCESTORS///ancestors	3
1669	ANCESTORS///the ancestors	9
1669	ANCESTORS///the ancestorss	9
1870	ANCHOR///anchor	3
1870	ANCHOR///the anchor	5
1870	ANCHOR///the anchors	5
1577	AND///AND	4
1577	AND///and	51
82	ANGER///anger	5
82	ANGER///anger, poison	1
82	ANGER///fury; rage	1
82	ANGER///the anger	9
82	ANGER///the angers	9
1826	ANGRY///angry	9
1826	ANGRY///angry (adjective)	10
2757	ANGULAR (SQUAREFORMED)///the angular (squareformed)	0
2757	ANGULAR (SQUAREFORMED)///the angular (squareformed)s	0
3056	ANIMAL (CLASSIFIER)///animal (classifier) (classifier)	1
3056	ANIMAL (CLASSIFIER)///classifier for animals	1
2096	ANIMAL OR MEAT///meat, animal	3
2096	ANIMAL OR MEAT///meat/animal	2
2096	ANIMAL OR MEAT///the animal or meat	5
2096	ANIMAL OR MEAT///the animal or meats	5
619	ANIMAL///ANIMAL	6
619	ANIMAL///Animal	1
619	ANIMAL///animal	55
619	ANIMAL///animal; beast	1
619	ANIMAL///the animal	65
619	ANIMAL///the animals	65
803	ANKLE///ankle	10
803	ANKLE///the ankle	12
803	ANKLE///the ankles	12
9	ANNOUNCE///announce	3
9	ANNOUNCE///to announce	5
1275	ANSWER///answer	8
1275	ANSWER///answer (V)	2
1275	ANSWER///answer (to)	1
1275	ANSWER///answer (v.)	1
1275	ANSWER///answer (vb.)	1
1275	ANSWER///to answer	19
587	ANT///ANT	2
587	ANT///ANT2	1
587	ANT///ANT3	1
587	ANT///LARGE ANT (TOCANDEIRA)	1
587	ANT///ant	35
587	ANT///ant (generic)	1
587	ANT///ant sp.	1
587	ANT///the ant	46
587	ANT///the ants	46
181	ANTEATER///ANTEATER	1
181	ANTEATER///anteater	1
181	ANTEATER///the anteater	4
181	ANTEATER///the anteaters	4
1873	ANTHILL///ant-hill	1
1873	ANTHILL///anthill	1
1873	ANTHILL///the anthill	2
1873	ANTHILL///the anthills	2
1935	ANUS///anus	2
1935	ANUS///the anus	2
1935	ANUS///the anuss	2
