ID	GLOSS	PRIORITY
2924	A LITTLE///un peu	1
1097	ABANDON///abandoner	1
2527	ABILITY///Faculté	1
2527	ABILITY///aptitude	1
1741	ABOVE///Sur	1
1741	ABOVE///par dessus, au-dessus	1
1741	ABOVE///sur	1
303	ABSTAIN FROM FOOD///jeûner	1
303	ABSTAIN FROM FOOD///s'abstenir	1
1953	ABUSE///insulter	1
1542	ACCOMPANY///accompagner	1
2603	ACCORDION///accordéon	1
1814	ACCUSE///accuser	3
1118	ACCUSTOM///s'habituer	1
968	ACORN///Le gland	1
968	ACORN///gland	1
988	ACQUIT///acquitter	1
2882	ADD///ajouter	2
1818	ADJUDICATE///juger	2
2022	ADMIT///admettre	1
2022	ADMIT///admettre, avouer	1
2022	ADMIT///admettre, avouer (un tort)	1
901	ADOBE///adobe	1
3635	ADULT///adulte	2
902	ADULTERY///adultère	2
290	ADZE///herminette	1
1685	AFTER///Après	1
1685	AFTER///après	3
1807	AFTERNOON///après-midi	2
204	AGAIN///encore	1
204	AGAIN///encore, de nouveau	1
2469	AGAINST///contre	1
1789	AGE///âge	2
313	AGOUTI///agouti	1
3643	AGREE///être d'accord	1
3643	AGREE///être/ se mettre d'accord	1
3644	AGREEMENT///accord	2
27	AIR///Air	1
27	AIR///air	2
27	AIR///air (respiré)	1
1597	AIRPLANE///avion	2
404	ALCOHOL (FERMENTED DRINK)///alcool	2
404	ALCOHOL (FERMENTED DRINK)///alcool (général)	1
404	ALCOHOL (FERMENTED DRINK)///boisson fermentée	1
98	ALL///chaque, tous	1
98	ALL///tous	4
98	ALL///tout	3
98	ALL///tout, tous	1
98	ALL///tout, toutes choses	1
1581	ALLIGATOR///alligator	1
3237	ALLOW OR PERMIT///permettre	2
3238	ALLOW///permettre	1
1964	ALONE///(être) seule, solitaire	1
1964	ALONE///seul	1
1964	ALONE///tout seul	1
2576	ALREADY///déjà	1
853	ALTAR///autel	1
2535	ALTITUDE///Hauteur	1
1676	ALWAYS///toujours	4
1863	AMAZING///incroyable	1
65	AMBUSH///guet-apens, embuscade	1
2804	AMULET///fétiche, amulette	1
1669	ANCESTORS///ancêtre	1
1669	ANCESTORS///ancêtres, aïeux	1
1669	ANCESTORS///aïeul, ancêtre	1
1870	ANCHOR///ancre	2
1577	AND///et	4
82	ANGER///colère	3
1826	ANGRY///(être) fâché, en colère	1
1826	ANGRY///fâché	1
619	ANIMAL///animal	10
619	ANIMAL///animal, bête	1
803	ANKLE///cheville	3
9	ANNOUNCE///annoncer	2
9	ANNOUNCE///annoncer, proclamer	1
1275	ANSWER///répondre	2
1275	ANSWER///répondre à une question	1
587	ANT///Fourmis	1
587	ANT///fourmi	5
587	ANT///fourmis	1
587	ANT///une fourmi	1
181	ANTEATER///fourmilier	1
3674	ANTELOPE///antilope	1
1873	ANTHILL///termitière	1
1935	ANUS///anus	1
1648	ANVIL///enclume	2
1000	ANXIETY///anxiété	2
1017	APPEARANCE///aspect	1
1320	APPLE///Pomme	1
1320	APPLE///pomme	2
3650	APPLY (OINTMENT)///s'enduire	1
1778	APPROACH///approcher	1
1778	APPROACH///s'approcher	1
876	ARCH///arche	1
2980	AREA///avion	1
2980	AREA///surface (espace)	1
2121	ARM OR HAND///Bras, Main	1
2121	ARM OR HAND///bras: main	1
1673	ARM///bras	8
1061	ARMOUR///armure	1
1886	ARMPIT///aisselle	6
1561	ARMY///armée	4
1568	ARRANGE///arranger, mettre en ordre	1
1568	ARRANGE///organiser	1
1387	ARRIVE///arriver	6
1387	ARRIVE///atteindre, arriver	1
977	ARROW///flèche	8
1889	ARSON///incendie volontaire	1
646	ASH///cendre	7
646	ASH///cendres	5
1894	ASHAMED///honteux	1
1309	ASK (INQUIRE)///demander	2
1309	ASK (INQUIRE)///interroger	1
1309	ASK (INQUIRE)///poser une question, demander	1
1828	ASK (REQUEST)///demander	3
1828	ASK (REQUEST)///demander (qqc à qqn)	1
1828	ASK (REQUEST)///mendier	1
2605	ASPARAGUS///asperge	1
3638	ASSEMBLE (GET TOGETHER)///se rassembler	1
1461	AT///à	2
722	ATTACK///attaque	1
722	ATTACK///attaquer	1
1146	AUBERGINE///aubergine	1
2851	AUGUST///août	1
1272	AUNT///tante	3
3327	AUTUMN OR HARVEST SEASON///moisson, récolte	1
1276	AUTUMN///Automne	1
1276	AUTUMN///automne	1
3639	AVOID///éviter	2
825	AWAKE///(être) réveillé, vigilant, éveillé	1
3851	AWE///crainte révérentielle, vénération	1
278	AWL///alène	1
677	AXE///Hache	1
677	AXE///hache	6
677	AXE///la hache	1
1769	AXLE///essieu	1
1197	BABOON///babouin	1
3946	BABY SLING///écharpe (pour porter bébé)	1
1289	BABY///bébé	2
1289	BABY///bébé 	1
1289	BABY///enfant, bébé	1
2323	BACK (PART)///le dos, l'arrière (de qqch)	1
523	BACK OF HEAD///arrière	1
1291	BACK///Dos	1
1291	BACK///dos	9
2911	BACKWARD///en arrière	1
56	BAD LUCK///malheur	1
56	BAD LUCK///malheur, malchance, infortune	1
1292	BAD///(être) mauvais	1
1292	BAD///Mal	1
1292	BAD///mal	1
1292	BAD///mauvais	7
1292	BAD///mauvais (être)	1
2468	BAG///sac	2
2013	BAIT///appât	2
183	BAKE///cuire	1
183	BAKE///cuire au four	1
1125	BALD///(être) chauve	1
1125	BALD///chauve	1
1845	BALL///Boule	1
1845	BALL///balle	1
1845	BALL///ballon (balle)	1
1845	BALL///sphère	1
1845	BALL///sphère, ballon	1
3083	BALLOON///ballon	2
1927	BAMBOO///bambou	2
1795	BANANA TREE///bananier	2
868	BANANA///banane	3
868	BANANA///banane (douce)	1
1284	BANK///banque	2
346	BANYAN///banian (higuera de la India)	1
997	BAOBAB TREE///baobab	1
2127	BARK OR SKIN///peau:: écorce	1
1204	BARK///Ecorce	1
1204	BARK///coque (de noix); écorce	1
1204	BARK///écorce	8
1204	BARK///écorce (d'arbre)	1
1206	BARKING///aboyer	1
1206	BARKING///aboyer (comme un chien)	1
932	BARLEY///Orge	1
932	BARLEY///orge	1
2548	BARREL///(une) cuve	1
2548	BARREL///Cuve	1
2548	BARREL///tonneau	1
370	BARTER///échange (des marchandises)	1
831	BASE///base	1
1539	BASKET///corbeille	1
1539	BASKET///panier	3
1539	BASKET///panier, corbeille	1
1947	BASTARD///bâtard, enfant illégitime	1
1793	BAT///chauve-souris	5
138	BATHE///se baigner	2
138	BATHE///se laver	1
662	BATTERY///batterie	1
662	BATTERY///pile 	1
386	BATTLE-AXE///hache de guerre	1
579	BATTLE///bataille	1
579	BATTLE///guerre, bataille	1
663	BAY///golfe, baie	1
972	BE ABLE///(être) capable, pouvoir	1
3184	BE ALIVE OR LIFE///vivre, vivant, vie	1
