ID	GLOSS	PRIORITY
1597	AIRPLANE///eitleán	2
587	ANT///seangán	2
1320	APPLE///úll	2
677	AXE///tua	2
1845	BALL///liathróid	2
3083	BALLOON///balún	2
868	BANANA///banana	2
1206	BARKING///(ag) tafann	2
2548	BARREL///bairille	2
1539	BASKET///ciseán	2
138	BATHE///(ag) folcadh	2
662	BATTERY///cadhnra	2
1820	BEAR///béar	2
1663	BED///leaba	2
3534	BEG///(ag) lorg déirce	2
2246	BELL///cloigín	2
772	BELT///crois	2
747	BICYCLE///rothar	2
937	BIRD///éan	2
1403	BITE///(ag) tabhairt greim	2
3084	BLACKBOARD///clár dubh	2
176	BLOW (WITH MOUTH)///(ag) séideadh	2
2493	BOIL///(ag) beiriú	2
1394	BONE///cnámh	2
585	BOOT///buatais	2
1501	BORE///(ag) druileáil	2
1321	BOTTLE///buidéal	2
3108	BOX (SOMEBODY OR SOMETHING)///(ag) púinseáil	2
2902	BRAWL (FIGHT)///(ag) troid	2
245	BROOM///scuab	2
3109	BRUSH (TEETH)///(ag) scuabadh [fiacla]	2
1821	BRUSH///scuab gruaige	2
1840	BUILD///(ag) tógaint	2
141	BURN (SOMETHING)///(ag) dó	2
1070	BUS///bus	2
1791	BUTTERFLY///féileacán	2
757	BUTTON///cnaipe	2
1273	CANDLE///coinneal	2
1288	CAP///caipín 	2
1111	CAR///carr	2
3085	CARROT///cairéad	2
700	CARRY///(ag) iompar	2
228	CARVE///(ag) snoí	2
1208	CAT///cat	2
1627	CHAIN///slabhra	2
1476	CHAIR///cathaoir	2
1569	CHEESE///cáis	2
3110	CLAP///(ag) bualadh bos	2
2235	CLEAN (SOMETHING)///(ag) glanadh	2
1102	CLIMB///(ag) dreapadh	2
1323	CLOCK///clog	2
1489	CLOUD///scamall	2
2070	COMB (VERB)///(ag) cíoradh	2
1475	COMB///cíor	2
3086	COMPUTER///ríomhaire 	2
3111	CONDUCT///(ag) stiúradh	2
1100	COOK (SOMETHING)///(ag) cócaireacht	2
1007	COW///bó	2
96	CRAWL///(ag) lámhacán	2
1857	CROCODILE///crogall	2
1839	CRY///(ag) caoineadh	2
496	CUCUMBER///cúcamar	2
1432	CUT///(ag) gearradh	2
1879	DANCE///(ag) rince	2
1418	DIG///(ag) tochailt	2
119	DIVE///(ag) tumadh 	2
2009	DOG///madra	2
1659	DOLL///babóg	2
1567	DOOR///doras	2
2030	DRAG///(ag) cúltarraingt	2
93	DRAW MILK///(ag) crú	2
474	DRESS///gúna	2
1401	DRINK///(ag) ól	2
2253	DRIP (EMIT LIQUID)///(ag) sileadh	2
741	DRIVE///(ag) tiomáint	2
1904	DROWN///(ag) bá	2
908	DRUM///druma	2
1786	DRY UP///(ag) triomú	2
1360	DUCK///lacha	2
1247	EAR///cluas	2
1336	EAT///(ag) ithe	2
1290	ELEPHANT///eilifint	2
928	EMBRACE///(ag) tabhairt barróige	2
3088	ENVELOPE///clúdach litreach	2
3112	ERUPT///(ag) brúchtadh	2
127	EXTINGUISH///(ag) múchadh	2
1248	EYE///súil	2
1280	FALL///(ag) titim	2
1201	FEATHER///cleite	2
739	FEED///(ag) cothú 	2
3113	FILE (SOMETHING)///(ag) líomhadh	2
227	FISH///iasc	2
2638	FISHING///(ag) iascach	2
2623	FLAG///brat	2
239	FLOWER///bláth	2
1504	FLY (INSECT)///cuileóg	2
1441	FLY (MOVE THROUGH AIR)///(ag) eitilt	2
1302	FORK///forc	2
503	FROG///frog	2
991	FRY///(ag) friochadh	2
2940	GATE///geata	2
3089	GIRAFFE///sioráf	2
604	GLASS///gloine	2
1069	GLUE///(ag) glúáil	2
1502	GOAT///gabhar	2
3114	GRATE (SOMETHING)///(ag) grátáil	2
3090	GUITAR///giotár	2
1566	GUN///gunna	2
771	HAT///hata	2
3116	HATCH (OUT)///(ag) teacht amach	2
1223	HEART///croí	2
2580	HELICOPTER///héileacaptar	2
1514	HEN///cearc	2
3117	HITCHHIKE///(ag) fáil síob	2
615	HORSE///capall	2
1252	HOUSE///teach	2
1435	HUNT///(ag) fiach	2
3118	IRON (CLOTHES)///(ag) iarnáil	2
4031	IRON (PRESSING)///iarann	1
3078	IRRIGATE///(ag) cur uisce ar	2
1829	JUMP///(ag) léim	2
164	KANGAROO///cangarú	2
1472	KEY///eochair	2
1135	KICK///(ag) ciceál	2
578	KISS///(ag) pógadh	2
1352	KNIFE///scian	2
2905	KNIT///(ag) cniotáil	2
2396	KNOCK///(ag) cnagadh 	2
1464	LADDER///dréimire	2
625	LAMP///lampa	2
1355	LAUGH///(ag) gáirí	2
628	LEAF///duilleog	2
1297	LEG///cos	2
3091	LEMON///líomóid	2
319	LICK///(ag) lí	2
737	LIGHT (IGNITE)///(ag) lasadh	2
3092	LIGHTER///lastóir	2
1386	LION///leon	2
3093	LIPSTICK///béaldath	2
1608	LISTEN///(ag) éisteacht	2
1468	LOOK FOR///(ag) cuardach	2
203	MARRY///(ag) pósadh 	2
3119	MASSAGE (SOMEBODY)///(ag) tabhairt suathaireacht	2
1133	MATCH///lasán	2
1506	MEASURE///(ag) tomhais	2
2334	MELT///(ag) leá	2
2017	MIX///(ag) meascadh	2
1350	MONKEY///moncaí	2
1313	MOON///gealach	2
3120	MOP (SOMETHING)///(ag) glanadh	2
638	MOTORCYCLE///gluaisrothar	2
1491	MOUSE///luch	2
641	MUSHROOM///muisiriún	2
3306	NAIL///(ag) greadadh	2
1382	NEEDLE (FOR SEWING)///snáthaid	2
539	NEST///nead	2
1298	NEWSPAPER///nuachtán	2
1221	NOSE///srón	2
2366	ONION///oinniún	2
1156	OPEN///(ag) oscailt	2
3121	OPERATE (MEDICINE)///(ag) déanamh oibráid ar	2
2627	ORANGE (FRUIT)///oráiste	2
735	OWL///ulcabhán	2
3087	PACIFIER///dumaí	2
3122	PAINT (SOMETHING)///(ag) péinteáil	2
3094	PAINTBRUSH///scuab phéinte	2
2001	PAINTING///(ag) tarraingt pictiúir	2
31	PAN///friochtán	2
922	PEAR///piorra	2
275	PEEL///(ag) scamh	2
794	PEN///peann 	2
2578	PENCIL///peann luaidhe	2
2831	PENGUIN///piongain	2
2458	PERSPIRE OR SWEAT///(ag) cur allais	2
3123	PHOTOGRAPH (SOMETHING)///(ag) tógaint ghrianghraf	2
2148	PICK///(ag) piocadh	2
378	PINCH///(ag) baint pinseog as	2
2440	PINEAPPLE///anann	2
592	PISS///(ag) múin	2
653	PLANT (VEGETATION)///(ag) cuir planda	2
3125	PLAY (GAME)///(ag) imirt gailf	2
3124	PLAY (INSTRUMENT)///(ag) seinm pianó	2
1921	PLOUGH///(ag) treabhadh 	2
3126	POST (SOMETHING)///(ag) postáil	2
3095	POSTMAN///fear an phoist	2
1487	POUR///(ag) doirteadh	2
1455	PULL///(ag) tarraingt	2
1452	PUSH///(ag) brú	2
1136	RABBIT///coinín	2
3096	RACKET///raicéad	2
1733	RAINBOW///bogha báistí 	2
2108	RAINING OR RAIN///ag cur báistí 	2
3127	RAKE (SOMETHING)///(ag) rácáíl	2
724	READ///(ag) léamh	2
367	RIDE///(ag) marcaíocht	2
2875	RING (MAKE SOUND)///ag bualadh cloig	2
1962	ROAST (SOMETHING)///(ag) róstadh	2
769	ROOF///díon	2
1849	ROW///(ag) rámhaíocht	2
3405	RULER///rialóir	2
1519	RUN///(ag) rith	2
787	SAIL///(ag) seoladh	2
4008	SANDWICH///ceapaire	2
1948	SAW///(ag) sábhadh	2
1948	SAW///sábh	2
2783	SCALES (MEASURE INSTRUMENT)///scála	2
1457	SEW///(ag) fuáil	2
3097	SEWING MACHINE///inneall fuála	2
251	SHARPEN (SOMETHING)///(ag) géarú	2
231	SHAVE///(ag) bearradh féasóige	2
1532	SHEAR///(ag) lomadh	2
356	SHEARS///siosúr	2
1622	SHIRT///léine	2
1381	SHOE///bróg	2
3128	SHOWER (ACTION)///(ag) tógaint cith	2
1261	SING///(ag) canadh	2
1416	SIT///(ag) suí	2
3129	SKATE///(ag) scátáil	2
2991	SKI///(ag) sciáil	2
1585	SLEEP///(ag) codladh 	2
1324	SLIP///(ag) sciorradh	2
1586	SMELL (PERCEIVE)///(ag) bolú	2
1689	SMOKE (INHALE)///(ag) caitheamh tabac	2
1543	SNAIL///seilide	2
730	SNAKE///nathair	2
1255	SNOWING///(ag) cur sneachta	2
3098	SNOWMAN///fear sneachta	2
1522	SOCK///stoca	2
3099	SOFA///tolg	2
1898	SPECTACLES///spéaclaí	2
3130	SPILL (SOMETHING)///(ag) doirteadh	2
121	SPIN///(ag) sní	2
1378	SPOON///spúnóg	2
1414	SQUEEZE///(ag) fáscadh	2
1628	SQUIRREL///iora rua	2
34	STAIRS///staighre	2
1430	STAR///réalta	2
713	STEAL///(ag) goid	2
571	STING///(ag) cur cealg i	2
696	STIR///(ag) corraí	2
2058	STOOL///stól	2
3138	STRAWBERRY///sú talún	2
1343	SUN///grian	2
3131	SUNBATHE///(ag) luí faoin ngrian	2
3100	SUNGLASSES///spéaclaí gréine	2
3132	SURF///(ag) surfáil	2
4035	SWEATER///geansaí	2
230	SWEEP///(ag) scuabadh	2
1439	SWIM///(ag) snámh	2
2871	SWING (MOVEMENT)///(ag) luascadh 	2
3101	SWING///luascán	2
1775	TABLE///deasc	2
1220	TAIL///eireaball	2
3133	TALK (PHONE)///(ag) caint ar an bhfón	2
3102	TANK///tanc	2
1735	TEAR (SHRED)///(ag) sracadh 	2
1379	TELEPHONE///teileafón	2
1788	TELEVISION///teilifís	2
3103	TENNIS BALL///liathróid leadóige	2
3104	THERMOMETER///teirmiméadar	2
1456	THROW///(ag) caitheamh	2
3711	TIE (NOUN)///carbhat	2
1917	TIE///(ag) ceangailt	2
846	TIGER///tíogar	2
986	TOMATO///tráta	2
2579	TOOTHBRUSH///scuab fiacla	2
906	TREE///crann	2
809	TROUSERS///treabhsar	2
4011	TRUCK///leoraí	1
112	TURTLE///turtar	2
3134	TYPE (ON SOMETHING)///(ag) clóscríobh	2
3105	UMBRELLA///scáth fearthainne	2
3135	VACUUM (SOMETHING)///(ag) folúsghlanadh	2
1602	WAKE UP///(ag) eirí 	2
1443	WALK///(ag) siúl	2
3106	WARDROBE///vardrús	2
1453	WASH///(ag) ní [eádaí]	2
3136	WATCH (TV)///(ag) féachaint [ar an teilifís]	2
1650	WATCH///uaireadóir	2
2766	WATERMELON///mealbhacán uisce	2
3544	WAVE (VERB)///(ag) croith le	2
978	WAVE///tonn	2
1098	WEIGH///(ag) meá	2
55	WHISPER///(ag) cogarnaíl	2
3107	WHISTLE (INSTRUMENT)///feadóg	2
1025	WHISTLE///(ag) feadaíl	2
1672	WRITE///(ag) scríobh	2
3675	ZEBRA///séabra	2
