ID	GLOSS	PRIORITY
1597	AIRPLANE///repülő	1
587	ANT///hangya	1
1320	APPLE///alma	1
1828	ASK (REQUEST)///kéreget	1
677	AXE///balta	1
1845	BALL///labda	1
3083	BALLOON///lufi	1
868	BANANA///banán	1
1206	BARKING///ugat	1
2548	BARREL///hordó	1
1539	BASKET///kosár	1
138	BATHE///fürdik	1
662	BATTERY///elem	1
1820	BEAR///medve	1
1663	BED///ágy	1
2246	BELL///csengő	1
772	BELT///öv	1
747	BICYCLE///bicikli	1
937	BIRD///madár	1
1403	BITE///harap	1
3084	BLACKBOARD///tábla	1
1655	BLINK///kacsint	1
176	BLOW (WITH MOUTH)///fúj	1
2493	BOIL///forral	1
1394	BONE///csont	1
585	BOOT///csizma	1
1501	BORE///fúr	1
1321	BOTTLE///üveg	1
3108	BOX (SOMEBODY OR SOMETHING)///üt	1
2902	BRAWL (FIGHT)///verekszik	1
680	BREAK (DESTROY OR GET DESTROYED)///kipukkan	1
245	BROOM///seprű	1
3109	BRUSH (TEETH)///fogat mos	1
1821	BRUSH///hajkefe	1
1840	BUILD///épít	1
141	BURN (SOMETHING)///ég	1
1070	BUS///busz	1
1791	BUTTERFLY///pillangó	1
757	BUTTON///gomb	1
1273	CANDLE///gyertya	1
1288	CAP///sapka	1
1111	CAR///autó	1
3085	CARROT///sárgarépa	1
700	CARRY///visz	1
228	CARVE///farag	1
1208	CAT///macska	1
1627	CHAIN///lánc	1
1476	CHAIR///szék	1
1569	CHEESE///sajt	1
3110	CLAP///tapsol	1
2235	CLEAN (SOMETHING)///tisztít	1
1102	CLIMB///mászik	1
1323	CLOCK///óra	1
1616	CLOTH///sál	1
1895	CLOTHES///mellény	1
1895	CLOTHES///pulóver	1
1489	CLOUD///felhő	1
2070	COMB (VERB)///fésülködik	1
1475	COMB///fésű	1
3086	COMPUTER///számítógép	1
3111	CONDUCT///vezényel	1
1100	COOK (SOMETHING)///főz	1
1007	COW///tehén	1
96	CRAWL///mászik	1
1857	CROCODILE///krokodil	1
1839	CRY///sír	1
496	CUCUMBER///uborka	1
1432	CUT///vág	1
1879	DANCE///táncol	1
1418	DIG///ás	1
119	DIVE///fejest ugrik	1
2009	DOG///kutya	1
1659	DOLL///baba	1
1567	DOOR///ajtó	1
2030	DRAG///húz	1
93	DRAW MILK///fej	1
474	DRESS///ruha	1
1401	DRINK///iszik	1
2253	DRIP (EMIT LIQUID)///csöpög	1
741	DRIVE///vezet	1
1904	DROWN///fuldoklik	1
908	DRUM///dob	1
1786	DRY UP///hajat szárít	1
1360	DUCK///kacsa	1
1247	EAR///fül	1
1336	EAT///eszik	1
1290	ELEPHANT///elefánt	1
928	EMBRACE///ölel	1
3088	ENVELOPE///levél	1
3112	ERUPT///kitör	1
127	EXTINGUISH///olt	1
1248	EYE///szem	1
1280	FALL///esik	1
1201	FEATHER///toll	1
739	FEED///etet	1
3113	FILE (SOMETHING)///körmöt reszel	1
227	FISH///hal	1
2638	FISHING///horgászik	1
2623	FLAG///zászló	1
239	FLOWER///virág	1
1504	FLY (INSECT)///légy	1
1441	FLY (MOVE THROUGH AIR)///repül	1
256	FOOD///pizza	1
256	FOOD///szendvics	1
1302	FORK///villa	1
503	FROG///béka	1
991	FRY///süt	1
2940	GATE///kapu	1
3089	GIRAFFE///zsiráf	1
604	GLASS///pohár	1
2292	GLASSES///szemüveg	1
1069	GLUE///ragaszt	1
1502	GOAT///kecske	1
3114	GRATE (SOMETHING)///reszek	1
3090	GUITAR///gitár	1
1566	GUN///pisztoly	1
771	HAT///kalap	1
3116	HATCH (OUT)///kikel	1
1223	HEART///szív	1
2580	HELICOPTER///helikopter	1
1514	HEN///tyúk	1
3117	HITCHHIKE///stoppol	1
615	HORSE///ló	1
1252	HOUSE///ház	1
1435	HUNT///vadászik	1
3118	IRON (CLOTHES)///vasal	1
621	IRON///vasaló	1
1829	JUMP///ugrál	1
164	KANGAROO///kenguru	1
1472	KEY///kulcs	1
1135	KICK///rúg	1
1508	KING///vonalzó	1
578	KISS///puszil	1
1352	KNIFE///kés	1
