ID	GLOSS	PRIORITY
1597	AIRPLANE///aeroplano	2
587	ANT///formica	2
1320	APPLE///mela	2
677	AXE///zappa	2
1845	BALL///palla	2
3083	BALLOON///palloncino	2
868	BANANA///banana	2
1206	BARKING///abbaiare	2
2548	BARREL///botte	2
1539	BASKET///cestino	2
138	BATHE///lavarsi	2
662	BATTERY///pila	2
1820	BEAR///orso	2
1663	BED///letto	2
3534	BEG///chiedere l'elemosina	2
2246	BELL///campana	2
772	BELT///cintura	2
747	BICYCLE///bicicletta	2
937	BIRD///uccello	2
1403	BITE///mordere	2
3084	BLACKBOARD///lavagna	2
176	BLOW (WITH MOUTH)///soffiare	2
2493	BOIL///bollire	2
1394	BONE///osso	2
585	BOOT///stivale	2
1501	BORE///trapanare	2
1321	BOTTLE///bottiglia	2
3108	BOX (SOMEBODY OR SOMETHING)///colpire	2
2902	BRAWL (FIGHT)///litigare	2
245	BROOM///scopa	2
3109	BRUSH (TEETH)///lavare	2
1821	BRUSH///spazzola	2
1840	BUILD///costruire	2
141	BURN (SOMETHING)///bruciare	2
1070	BUS///autobus	2
1791	BUTTERFLY///farfalla	2
757	BUTTON///bottone	2
1273	CANDLE///candela	2
1288	CAP///berretto	2
1111	CAR///macchina	2
3085	CARROT///carota	2
700	CARRY///trasportare	2
228	CARVE///scolpire	2
1208	CAT///gatto	2
1627	CHAIN///catena	2
1476	CHAIR///sedia	2
1569	CHEESE///formaggio	2
3110	CLAP///applaudire	2
2235	CLEAN (SOMETHING)///pulire	2
1102	CLIMB///arrampicarsi	2
1323	CLOCK///orologio	2
1489	CLOUD///nuvola	2
2070	COMB (VERB)///pettinarsi	2
1475	COMB///pettine	2
3086	COMPUTER///computer	2
3111	CONDUCT///dirigere	2
1100	COOK (SOMETHING)///cucinare	2
1007	COW///mucca	2
96	CRAWL///gattonare	2
1857	CROCODILE///coccodrillo	2
1839	CRY///piangere	2
496	CUCUMBER///cetriolo	2
1432	CUT///tagliare	2
1879	DANCE///ballare	2
1418	DIG///scavare	2
119	DIVE///tuffarsi	2
2009	DOG///cane	2
1659	DOLL///bambola	2
1567	DOOR///porta	2
2030	DRAG///trascinare	2
93	DRAW MILK///mungere	2
474	DRESS///abito	2
1401	DRINK///bere	2
2253	DRIP (EMIT LIQUID)///sgocciolare	2
741	DRIVE///guidare	2
1904	DROWN///affogare	2
908	DRUM///tamburo	2
1786	DRY UP///asciugare	2
1360	DUCK///anatra	2
1247	EAR///orecchio	2
1336	EAT///mangiare	2
1290	ELEPHANT///elefante	2
928	EMBRACE///abbracciare	2
