ID	GLOSS	PRIORITY
1597	AIRPLANE///Fliger	2
587	ANT///Seechomes	2
1320	APPLE///Apel	2
677	AXE///Aaxt	2
1845	BALL///Ball	2
3083	BALLOON///Ballon	2
868	BANANA///Banann	2
1206	BARKING///billen	2
2548	BARREL///Faass	2
1539	BASKET///Kuerf	2
138	BATHE///bueden	2
662	BATTERY///Batterie	2
1820	BEAR///Bier	2
1663	BED///Bett	2
3534	BEG///heeschen	2
2246	BELL///Klack	2
772	BELT///Rimm	2
747	BICYCLE///Vëlo	2
937	BIRD///Vull	2
1403	BITE///bäissen	2
3084	BLACKBOARD///Tafel	2
176	BLOW (WITH MOUTH)///blosen	2
2493	BOIL///kachen	2
1394	BONE///Schank	2
585	BOOT///Stiwwel	2
1501	BORE///bueren	2
1321	BOTTLE///Fläsch	2
3108	BOX (SOMEBODY OR SOMETHING)///boxen	2
2902	BRAWL (FIGHT)///streiden	2
245	BROOM///Biesem	2
3109	BRUSH (TEETH)/// [Zänn] wäschen	2
1821	BRUSH///Biischt	2
1840	BUILD///bauen	2
141	BURN (SOMETHING)///brennen	2
1070	BUS///Bus	2
1791	BUTTERFLY///Päiperlek	2
757	BUTTON///Knapp	2
1273	CANDLE///Käerz	2
1288	CAP///Mutz	2
1111	CAR///Auto	2
3085	CARROT///Muert	2
700	CARRY///droen	2
228	CARVE///schnëtzelen	2
1208	CAT///Kaz	2
1627	CHAIN///Ketten	2
1476	CHAIR///Stull	2
1569	CHEESE///Kéis	2
3110	CLAP///klappen	2
2235	CLEAN (SOMETHING)///botzen	2
1102	CLIMB///klammen	2
1323	CLOCK///Auer	2
1489	CLOUD///Wollek	2
2070	COMB (VERB)///kämmen	2
1475	COMB///Kamp	2
3086	COMPUTER///Computer	2
3111	CONDUCT///dirigéieren	2
1100	COOK (SOMETHING)///kachen	2
1007	COW///Kou	2
96	CRAWL///krabbelen	2
1857	CROCODILE///Krokodil	2
1839	CRY///kräischen	2
496	CUCUMBER///Kornischong	2
1432	CUT///schneiden	2
1879	DANCE///danzen	2
1418	DIG///gruewen	2
119	DIVE///tauchen	2
2009	DOG///Hond	2
1659	DOLL///Popp	2
1567	DOOR///Dier	2
2030	DRAG///schleefen	2
93	DRAW MILK///sträichen	2
474	DRESS///Rack	2
1401	DRINK///drénken	2
2253	DRIP (EMIT LIQUID)///drëpsen	2
741	DRIVE///fueren	2
1904	DROWN///erdrénken	2
908	DRUM///Trommel	2
1786	DRY UP///fönen 	2
1360	DUCK///Int	2
1247	EAR///Ouer	2
1336	EAT///iessen	2
1290	ELEPHANT///Elefant	2
928	EMBRACE///ëmäermelen	2
3088	ENVELOPE///Enveloppe	2
3112	ERUPT///ausbriechen	2
127	EXTINGUISH///läschen	2
1248	EYE///An	2
1280	FALL///falen	2
1201	FEATHER///Fieder	2
739	FEED///fidderen	2
3113	FILE (SOMETHING)///feilen	2
227	FISH///Fësch	2
2638	FISHING///fëschen	2
2623	FLAG///Fändel	2
239	FLOWER///Blumm	2
1504	FLY (INSECT)///Méck	2
1441	FLY (MOVE THROUGH AIR)///fléien	2
1302	FORK///Forschette	2
503	FROG///Fräsch	2
991	FRY///broden	2
2940	GATE///Paart	2
3089	GIRAFFE///Giraff	2
604	GLASS///Glas	2
1069	GLUE///pechen	2
1502	GOAT///Gees	2
3114	GRATE (SOMETHING)///rappen	2
3090	GUITAR///Gittar	2
1566	GUN///Revolver	2
