ID	GLOSS	PRIORITY
2924	A LITTLE///gering	1
1814	ACCUSE///beschuldigen	1
1861	ACTIVE///actief	1
1807	AFTERNOON///middag	1
1597	AIRPLANE///vliegtuig	2
1826	ANGRY///boos	2
619	ANIMAL///dier	1
1275	ANSWER///antwoorden	1
587	ANT///mier	2
1320	APPLE///appel	3
1894	ASHAMED///schamen	1
1309	ASK (INQUIRE)///vragen	1
1908	ATTENTIVE///aandachtig	1
1272	AUNT///tante	1
1276	AUTUMN///hersfst	1
825	AWAKE///wakker	2
677	AXE///bijl	2
1292	BAD///slecht	2
1125	BALD///kaal	1
1845	BALL///bal	2
3083	BALLOON///ballon	2
868	BANANA///banaan	2
1206	BARKING///blaffen	2
2548	BARREL///ton	2
1539	BASKET///mand	2
138	BATHE///badderen	2
662	BATTERY///batterij	2
972	BE ABLE///kunnen	1
1422	BE ALIVE///levend	2
1533	BE HUNGRY///hongeren	1
48	BE SILENT///stil	1
3474	BE THIRSTY///dorsten	1
1579	BE///bestaand	1
1820	BEAR///beer	3
1427	BEAUTIFUL///heerlijk	1
1427	BEAUTIFUL///mooi	1
1157	BECAUSE///omdat	1
1663	BED///bed	2
3534	BEG///bedelen	2
3707	BEIGE///beige	1
2246	BELL///bel	2
1485	BELOW OR UNDER///lager	1
772	BELT///riem	2
747	BICYCLE///mountainbike	2
1202	BIG///groot	2
1202	BIG///uitgestrekt	1
937	BIRD///vogel	3
2805	BIRTH (ACCOUCHEMENT)///geboren	1
1403	BITE///bijten	2
887	BITTER///bitter	1
163	BLACK///zwart	2
3084	BLACKBOARD///schoolbord	2
1653	BLIND///blind	1
946	BLOOD///bloed	1
176	BLOW (WITH MOUTH)///blazen	2
837	BLUE///blauw	2
379	BLUNT///bot	1
379	BLUNT///stomp	1
2493	BOIL///koken	2
1394	BONE///bot	2
963	BOOK///boek	1
585	BOOT///laars	2
1501	BORE///boren	2
905	BORING///saai	1
1321	BOTTLE///fles	2
3108	BOX (SOMEBODY OR SOMETHING)///boksen	2
3	BRAVE///dapper	1
3	BRAVE///moedig	1
2902	BRAWL (FIGHT)///vechten	2
1407	BREATHE///ademen	1
3751	BRIGHT YELLOW///knalgeel	1
2531	BROAD///breed	1
588	BROKEN///kapot	1
245	BROOM///bezem	2
1262	BROTHER///broer	1
2409	BROWN///bruin	2
3109	BRUSH (TEETH)///poetsen [tanden]	2
1821	BRUSH///borstel	2
1840	BUILD///metselen	2
141	BURN (SOMETHING)///in brand staan	2
1070	BUS///bus	2
2755	BUSY///bezet	1
2755	BUSY///bezig	1
1791	BUTTERFLY///vlinder	2
