ID	GLOSS	PRIORITY
591	ADDRESS///adresse	1
902	ADULTERY///utruskap@	1
1807	AFTERNOON///aftan, eftan	1
1789	AGE///epoke	1
27	AIR///luft	1
1581	ALLIGATOR///alligator	1
853	ALTAR///altar, alter	1
65	AMBUSH///bakhald	1
1669	ANCESTORS///forfader	1
1870	ANCHOR///anker	1
82	ANGER///ilske	1
619	ANIMAL///dyr	1
803	ANKLE///ankel; okle	1
587	ANT///maur	1
1648	ANVIL///ste	1
876	ARCH///kvelv	1
261	ARCTIC LIGHTS///nordlys	1
1673	ARM///arm	1
1061	ARMOUR///rustning	1
1886	ARMPIT///armhole	1
1561	ARMY///armé	1
977	ARROW///pil	1
1889	ARSON///mordbrann	1
646	ASH///oske	1
722	ATTACK///anfall	1
1276	AUTUMN///haust	1
278	AWL///syl	1
677	AXE///øks	1
1769	AXLE///aksel	1
1291	BACK///rygg	1
56	BAD LUCK///uheppe	1
2468	BAG///pose	1
2013	BAIT///beite	1
1845	BALL///ball	1
868	BANANA///banan	1
1284	BANK///bank	1
1204	BARK///bork	1
932	BARLEY///korn	1
3025	BARN OR SHED///uthus	1
1539	BASKET///skrukke	1
1793	BAT///flaggermus	1
662	BATTERY///batteri	1
579	BATTLE///feide	1
663	BAY///vik	1
1533	BE HUNGRY///hungra	1
3474	BE THIRSTY///tørste	1
1860	BEAD///perle	1
73	BEAK///nebb	1
1132	BEAM///bom	1
832	BEAN///bønne	1
1820	BEAR///bjørn	1
678	BEARD///skjegg	1
1194	BEAVER///bjor	1
1663	BED///seng	1
665	BEE///bie	1
1950	BEECH///bok	1
88	BEEHIVE///kupe	1
1639	BEER///øl	1
1931	BEESWAX///voks	1
2242	BEETLE///tordivel	1
1934	BEGGAR///tiggar	1
1557	BEGINNING///byrjing	1
1251	BELLY///mage	1
772	BELT///belte	1
731	BEVERAGE///drikk, drykk	1
747	BICYCLE///sykkel	1
1081	BILL///rekning	1
1855	BIRCH///bjørk	1
937	BIRD///fugl	1
163	BLACK///Svart	1
1001	BLACKSMITH///smed	1
381	BLAME///skuld, skyld	1
806	BLANKET///filt	1
1584	BLISTER///blåse	1
525	BLOOD VESSEL///år	1
946	BLOOD///blod	1
837	BLUE///Blå	1
1348	BOAR (MALE PIG)///galt, galte	1
1227	BOARD///brett	1
1844	BOAT///båt	1
1480	BODY///kropp	1
2493	BOIL///byll, bolde	1
1804	BOMB///bombe	1
1394	BONE///bein	1
963	BOOK///bok	1
135	BOOMERANG///bumerang	1
585	BOOT///støvel	1
1022	BOOTY///bytte	1
1321	BOTTLE///flaske	1
690	BOTTOM///botn	1
1010	BOUNDARY///rå	1
994	BOW///boge	1
1530	BOWL///skål	1
1754	BRACELET///armband	1
1583	BRAIN///hjerne	1
1531	BRANCH///grein	1
1368	BREAD///brød	1
1322	BREAKFAST///frukost	1
1006	BRICK///tegl	1
1011	BRIDGE///bru	1
245	BROOM///lime	1
2409	BROWN///Brun	1
1148	BRUISE///skramme	1
1821	BRUSH///kost	1
1008	BULL///tyr	1
1966	BUNCH///kongel	1
1070	BUS///buss	1
1245	BUTTER///smør	1
1791	BUTTERFLY///fivreld	1
834	BUTTOCKS///rauv	1
757	BUTTON///knapp	1
1967	CALENDAR///almanakk	1
1989	CALF///kalv	1
1105	CAMP///bose	1
1273	CANDLE///lys	1
874	CANDY///godteri@	1
1970	CANOE///kano	1
1111	CAR///bil	1
1770	CARCASS///åtsel	1
1042	CARPENTER///snikkar	1
122	CART///vogn	1
1208	CAT///katt, katte	1
1153	CATTLE///krek	1
1155	CAVE///grotte	1
3727	CELERY///selleri	1
