ID	GLOSS	PRIORITY
2924	A LITTLE///немного	1
2527	ABILITY///Мочъ	1
2527	ABILITY///Мочь	1
2527	ABILITY///способность	1
1741	ABOVE///Надъ	2
303	ABSTAIN FROM FOOD///поститься	1
1814	ACCUSE///обвинять	2
1815	ACHE///болеть	1
968	ACORN///желудь	1
988	ACQUIT///оправдывать	1
2882	ADD///добавить	1
2882	ADD///добавлять	1
1818	ADJUDICATE///судить	1
2022	ADMIT///признавать	1
2022	ADMIT///признавать(ся)	1
901	ADOBE///глинобитная постройка	1
3635	ADULT///взрослый	1
902	ADULTERY///прелюбодеяние	1
290	ADZE///тесло	1
2214	AFFAIR///дело	1
1685	AFTER///Послѣ	2
1685	AFTER///после	2
1807	AFTERNOON///после полудня	1
2093	AFTERWARDS///затем	1
204	AGAIN///опять	1
204	AGAIN///опять, снова	1
1789	AGE///возраст	2
1789	AGE///возраст, век, эпоха	1
3643	AGREE///соглашаться (ладить)	1
3644	AGREEMENT///соглашение	1
27	AIR///Воздухъ	2
27	AIR///воздух	3
1597	AIRPLANE///самолет	2
1597	AIRPLANE///самолёт	2
404	ALCOHOL (FERMENTED DRINK)///алкоголь	1
404	ALCOHOL (FERMENTED DRINK)///брага	1
98	ALL///ВСЕ	1
98	ALL///весь	2
98	ALL///все	3
98	ALL///все (omnis)	1
98	ALL///всё	1
3237	ALLOW OR PERMIT///разрешать	1
3238	ALLOW///разрешать (позволять)	1
1964	ALONE///один	1
2576	ALREADY///уже	1
853	ALTAR///алтарь	1
2535	ALTITUDE///Высота	2
1676	ALWAYS///всегда	3
1863	AMAZING///удивительный	1
65	AMBUSH///устраивать засаду	1
2987	AMOUNT///количество	1
1669	ANCESTORS///предки	1
1870	ANCHOR///якорь	1
1577	AND///и	3
82	ANGER///гнев	1
82	ANGER///гнев, злость	1
82	ANGER///злость	1
1826	ANGRY///злой	1
619	ANIMAL///ЖИВОТНОЕ (зверь)	1
619	ANIMAL///животное	5
803	ANKLE///лодыжка	2
9	ANNOUNCE///объявлять	1
9	ANNOUNCE///провозглашать (объявлять)	1
1275	ANSWER///ОТВЕЧАТЬ	1
1275	ANSWER///отвечать	1
587	ANT///МУРАВЕЙ	1
587	ANT///Муравей	1
587	ANT///муравей	5
1648	ANVIL///наковальня	1
1000	ANXIETY///тревога	2
1320	APPLE///Яблоко	1
1320	APPLE///яблоко	5
1778	APPROACH///приближаться	1
3730	APRICOT///абрикос	1
2847	APRIL///апрель	1
876	ARCH///арка	1
2980	AREA///местность	1
2980	AREA///область	1
2980	AREA///самолет	1
2121	ARM OR HAND///Рука	1
1673	ARM///РУКА1	1
1673	ARM///рука	3
1061	ARMOUR///доспехи	1
1886	ARMPIT///ПОДМЫШКА	1
1886	ARMPIT///подмышка	1
1561	ARMY///армия	2
1568	ARRANGE///устраивать	1
1387	ARRIVE///ПРИБЫВАТЬ	1
1387	ARRIVE///достигать, прибывать	1
1387	ARRIVE///прибывать	1
1387	ARRIVE///прибыть	1
977	ARROW///СТРЕЛА	1
977	ARROW///стрела	4
1889	ARSON///поджог	1
646	ASH///ПЕПЕЛ (зола)	1
646	ASH///зола	4
646	ASH///пепел	6
1894	ASHAMED///пристыженный	1
1309	ASK (INQUIRE)///NA	1
1309	ASK (INQUIRE)///СПРАШИВАТЬ	1
1309	ASK (INQUIRE)///просить (обращаться)	1
1309	ASK (INQUIRE)///спрашивать	1
1309	ASK (INQUIRE)///спросить	1
1828	ASK (REQUEST)///просить	3
3638	ASSEMBLE (GET TOGETHER)///собраться	1
2915	AT FIRST///сперва	1
2922	AT THAT TIME///тогда	1
1461	AT///возле	1
722	ATTACK///атака	2
722	ATTACK///атаковать	1
1146	AUBERGINE///баклажан	1
2851	AUGUST///август	2
1272	AUNT///тетя	2
1272	AUNT///тётя	1
1276	AUTUMN///Осень	2
1276	AUTUMN///осень	3
3639	AVOID///избегать (избежать)	1
278	AWL///шило	1
677	AXE///ТОПОР	1
677	AXE///Топоръ	2
677	AXE///топор	4
1769	AXLE///ось	1
1289	BABY///младенец	2
2910	BACK (DIRECTION)///обратно	1
2323	BACK (PART)///ЗАД (сзади)	1
523	BACK OF HEAD///затылок	1
1291	BACK///СПИНА	1
1291	BACK///Спина	2
1291	BACK///спина	4
2911	BACKWARD///назад	1
56	BAD LUCK///беда	1
56	BAD LUCK///неудача	1
1292	BAD///ploxoj	1
1292	BAD///Дурно	2
1292	BAD///ПЛОХОЙ	1
1292	BAD///Худо	1
1292	BAD///плохой	5
3717	BADGER///барсук	1
2468	BAG///сумка	2
