ID	GLOSS	PRIORITY
1597	AIRPLANE///avion	1
587	ANT///mrav	1
1320	APPLE///jabuka	1
1828	ASK (REQUEST)///prositi	1
677	AXE///sekira	1
1845	BALL///lopta	1
3083	BALLOON///balon	1
868	BANANA///banana	1
1206	BARKING///lajati	1
2548	BARREL///bure	1
1539	BASKET///korpa	1
138	BATHE///kupati se	1
662	BATTERY///baterija	1
1820	BEAR///medved	1
1663	BED///krevet	1
2246	BELL///zvono	1
772	BELT///kaiš	1
747	BICYCLE///bicikl	1
937	BIRD///ptica	1
1403	BITE///ujesti	1
3084	BLACKBOARD///tabla	1
1655	BLINK///namignuti	1
176	BLOW (WITH MOUTH)///duvati	1
2493	BOIL///kuvati se	1
1394	BONE///kost	1
585	BOOT///čizma	1
1501	BORE///bušiti	1
1321	BOTTLE///flaša	1
3108	BOX (SOMEBODY OR SOMETHING)///boksovati se	1
2902	BRAWL (FIGHT)///tući se	1
680	BREAK (DESTROY OR GET DESTROYED)///pući	1
245	BROOM///metla	1
3109	BRUSH (TEETH)///prati zube	1
1821	BRUSH///četka	1
1840	BUILD///zidati	1
141	BURN (SOMETHING)///goreti	1
1070	BUS///autobus	1
1791	BUTTERFLY///leptir	1
757	BUTTON///dugme	1
1273	CANDLE///sveća	1
1288	CAP///kapa	1
1111	CAR///auto	1
3085	CARROT///šargarepa	1
700	CARRY///nositi	1
228	CARVE///praviti	1
1208	CAT///mačka	1
1627	CHAIN///lanac	1
1476	CHAIR///stolica	1
1569	CHEESE///sir	1
3110	CLAP///tapšati	1
2235	CLEAN (SOMETHING)///čistiti	1
1102	CLIMB///penjati se	1
1323	CLOCK///sat	1
1616	CLOTH///šal	1
1895	CLOTHES///džemper	1
1895	CLOTHES///prsluk	1
1489	CLOUD///oblak	1
2070	COMB (VERB)///češljati se	1
1475	COMB///češalj	1
3086	COMPUTER///kompjuter	1
3111	CONDUCT///dirigovati	1
1100	COOK (SOMETHING)///kuvati	1
1007	COW///krava	1
96	CRAWL///puziti	1
1857	CROCODILE///krokodil	1
1839	CRY///plakati	1
496	CUCUMBER///krastavac	1
1432	CUT///seći	1
1879	DANCE///plesati	1
1418	DIG///kopati	1
119	DIVE///skočiti	1
2009	DOG///pas	1
1659	DOLL///lutka	1
1567	DOOR///vrata	1
2030	DRAG///vući	1
93	DRAW MILK///musti	1
474	DRESS///haljina	1
1401	DRINK///piti	1
2253	DRIP (EMIT LIQUID)///kapljati	1
741	DRIVE///voziti	1
1904	DROWN///daviti se	1
908	DRUM///bubanj	1
1786	DRY UP///sušiti kosu	1
1360	DUCK///patka	1
1247	EAR///uvo	1
1336	EAT///jesti	1
1290	ELEPHANT///slon	1
928	EMBRACE///grliti	1
3088	ENVELOPE///koverta	1
3112	ERUPT///izbacivati	1
127	EXTINGUISH///gasiti	1
1248	EYE///oko	1
1280	FALL///pasti	1
1201	FEATHER///pero	1
739	FEED///hraniti	1
3113	FILE (SOMETHING)///turpijati	1
227	FISH///riba	1
2638	FISHING///pecati	1
2623	FLAG///zastava	1
239	FLOWER///cvet	1
1504	FLY (INSECT)///muva	1
1441	FLY (MOVE THROUGH AIR)///leteti	1
256	FOOD///pica	1
256	FOOD///sendvič	1
1302	FORK///viljuška	1
503	FROG///žaba	1
991	FRY///pržiti	1
2940	GATE///kapija	1
3089	GIRAFFE///žirafa	1
604	GLASS///čaša	1
2292	GLASSES///naočare	1
1069	GLUE///lepiti	1
