ID	GLOSS	PRIORITY
1814	ACCUSE///anklaga	1
591	ADDRESS///adress	1
902	ADULTERY///otrohet	1
1807	AFTERNOON///afton	1
1807	AFTERNOON///eftermiddag	1
1789	AGE///epok	1
27	AIR///luft	1
1597	AIRPLANE///flygplan	4
1581	ALLIGATOR///alligator	1
853	ALTAR///altare	1
65	AMBUSH///bakhåll	1
2987	AMOUNT///mängd	1
1669	ANCESTORS///förfader	1
1870	ANCHOR///ankare	1
82	ANGER///ilska	2
1826	ANGRY///arg	1
619	ANIMAL///djur	3
803	ANKLE///ankel	1
1275	ANSWER///svara	1
587	ANT///myra	3
1648	ANVIL///städ	1
1000	ANXIETY///ängslan@	1
1320	APPLE///äpple	3
876	ARCH///valv	1
261	ARCTIC LIGHTS///nordljus,norrljus	1
1673	ARM///arm	1
1061	ARMOUR///rustning	1
1886	ARMPIT///armhåla	1
1561	ARMY///armé	1
977	ARROW///pil	1
1889	ARSON///mordbrand	1
646	ASH///aska	1
1894	ASHAMED///skämmas	1
1309	ASK (INQUIRE)///fråga	1
722	ATTACK///anfall	1
1272	AUNT///moster/faster	1
1276	AUTUMN///höst	2
825	AWAKE///vaken	1
278	AWL///syl	1
677	AXE///yxa	3
1769	AXLE///axel	1
1291	BACK///rygg	1
1292	BAD///dålig	1
2468	BAG///påse	1
2013	BAIT///bete	1
1845	BALL///boll	4
3083	BALLOON///ballong	2
868	BANANA///banan	4
1284	BANK///bank	1
1204	BARK///bark	1
1206	BARKING///skälla	2
932	BARLEY///korn	1
3025	BARN OR SHED///uthus	1
2548	BARREL///tunna	2
1539	BASKET///korg	2
1539	BASKET///skruck	1
1793	BAT///fladdermus	1
138	BATHE///bada	2
662	BATTERY///batteri	3
579	BATTLE///fejd	1
663	BAY///vik	1
972	BE ABLE///kan	1
1422	BE ALIVE///leva	1
1533	BE HUNGRY///hungra	1
48	BE SILENT///tyst	1
3474	BE THIRSTY///törsta	1
1860	BEAD///pärla	1
73	BEAK///näbb	1
1132	BEAM///bom	1
832	BEAN///böna	1
1820	BEAR///björn	4
678	BEARD///skägg	1
1194	BEAVER///bjur	1
1157	BECAUSE///därför	1
1663	BED///säng	3
665	BEE///bi	1
1950	BEECH///bok	1
88	BEEHIVE///bikupa	1
1639	BEER///öl	1
1931	BEESWAX///bivax	1
2242	BEETLE///skalbagge	1
2242	BEETLE///tordyvel	1
3534	BEG///tigga	2
1934	BEGGAR///tiggare	1
1557	BEGINNING///början	1
2246	BELL///ringklocka	2
1251	BELLY///mage	1
772	BELT///bälte	1
772	BELT///skärp	2
731	BEVERAGE///dryck	2
747	BICYCLE///cykel	4
1202	BIG///stor	1
1081	BILL///räkning	1
1855	BIRCH///björk	1
937	BIRD///fågel	4
2805	BIRTH (ACCOUCHEMENT)///född	1
1403	BITE///bita	2
163	BLACK///Svart	1
163	BLACK///svart	1
3084	BLACKBOARD///tavla 	2
1001	BLACKSMITH///smed	1
381	BLAME///skuld	1
806	BLANKET///filt	1
1584	BLISTER///blåsa	1
525	BLOOD VESSEL///blodåder	1
946	BLOOD///blod	2
176	BLOW (WITH MOUTH)///blåsa	2
837	BLUE///Blå	1
837	BLUE///blå	1
1348	BOAR (MALE PIG)///galt	1
1227	BOARD///bräde	1
1844	BOAT///båt	1
1480	BODY///kropp	1
2493	BOIL///böld	1
2493	BOIL///koka	2
1804	BOMB///bomb	1
1394	BONE///ben	3
963	BOOK///bok	2
135	BOOMERANG///bumerang	1
585	BOOT///stövel	3
1022	BOOTY///byte	1
1501	BORE///borra	2
1321	BOTTLE///flaska	1
1321	BOTTLE///flaska 	2
690	BOTTOM///botten	1
1010	BOUNDARY///rå	1
994	BOW///båge	1
1530	BOWL///skål	1
3108	BOX (SOMEBODY OR SOMETHING)///boxas 	2
1465	BOX///låda	1
1754	BRACELET///armband	1
1583	BRAIN///hjärna	1
1531	BRANCH///gren	1
2902	BRAWL (FIGHT)///slåss 	2
1368	BREAD///bröd	1
1322	BREAKFAST///frukost	1
1407	BREATHE///andas	1
1006	BRICK///tegel	1
1011	BRIDGE///bro	1
245	BROOM///kvast 	2
245	BROOM///limme	1
1262	BROTHER///bror	1
2409	BROWN///Brun	1
2409	BROWN///brun	1
1148	BRUISE///skråma,skramma	1
3109	BRUSH (TEETH)///borsta (tänderna)	2
1821	BRUSH///hårborste 	2
1821	BRUSH///kvast&	1
1840	BUILD///bygga	2
3396	BUILDING///byggnad	1
1008	BULL///tjur	1
1966	BUNCH///kangel	1
141	BURN (SOMETHING)///brinna	2
1070	BUS///buss	3
3843	BUT///men	1
1245	BUTTER///smör	1
1791	BUTTERFLY///fjäril	3
834	BUTTOCKS///röv	1
757	BUTTON///knapp	3
1869	BUY///köpa	1
2408	CAKE///tårta	1
1967	CALENDAR///almanacka	1
498	CALF OF LEG///vad	1
1989	CALF///kalv	1
1105	CAMP///bås	1
1051	CAN///burk	1
1273	CANDLE///ljus	3
874	CANDY///godis	1
1970	CANOE///kanot	1
1288	CAP///mössa 	2
1111	CAR///bil	5
1042	CARPENTER///snickare	1
3085	CARROT///morot	2
700	CARRY///bära	2
122	CART///vagn	1
228	CARVE///karva	2
1208	CAT///katt	4
1153	CATTLE///krak&	1
860	CAUSE///anledning,orsak	1
1155	CAVE///grotta	1
3727	CELERY///selleri	1
1974	CENTIPEDE///tusenfoting	1
1627	CHAIN///kedja	3
1476	CHAIR///stol	4
1188	CHARCOAL///träkol, kol	1
1730	CHEEK///kind	1
1569	CHEESE///ost	3
1592	CHEST///bröst	1
1318	CHICKEN///kyckling	1
2099	CHILD///barn	2
1305	CHIMNEY///skorsten	1
1510	CHIN///haka	1
1979	CHISEL///mejsel	1
1979	CHISEL///skruvmejsel	1
1750	CHOOSE///välja	1
1349	CHURCH///kyrka	1
969	CIGARETTE///cigarett	1
1467	CIRCLE///cirkel	1
1032	CITIZEN///medborgare	1
