ID	GLOSS	PRIORITY
2489	ABACUS///Ábaco	1
303	ABSTAIN FROM FOOD///ayunar	1
2603	ACCORDION///Acordeón	1
1814	ACCUSE///acusar, denunciar	1
349	ACHIOTE///achiote, bija	1
968	ACORN///bellota	1
988	ACQUIT///absolver, exculpar	1
802	ADAM'S APPLE///nuez de la garganta	1
1818	ADJUDICATE///juzgar	1
2022	ADMIT///admitir, confesar, reconocer	1
901	ADOBE///adobe	1
902	ADULTERY///adulterio	1
290	ADZE///azuela	1
1685	AFTER///después	1
1807	AFTERNOON///tarde	1
204	AGAIN///otra vez	1
1789	AGE///edad	1
313	AGOUTI///agutí	1
27	AIR///aire	1
1597	AIRPLANE///avión	1
404	ALCOHOL (FERMENTED DRINK)///bebida fermentada	1
98	ALL///cada uno, todo	1
98	ALL///todos	2
853	ALTAR///altar	1
1676	ALWAYS///siempre	1
65	AMBUSH///acechar, emboscar	1
896	ANACONDA (WATER BOA)///mapana	1
1669	ANCESTORS///antepasados	1
1870	ANCHOR///ancla	1
1577	AND///y	1
82	ANGER///enojo	1
619	ANIMAL///animal	1
803	ANKLE///tobillo	1
9	ANNOUNCE///anunciar, avisar	1
1275	ANSWER///contestar	1
587	ANT///hormiga	3
181	ANTEATER///oso hormiguero	1
1648	ANVIL///yunque	1
1000	ANXIETY///ansiedad, angustia	1
1320	APPLE///manzana	1
1778	APPROACH///acercarse	1
876	ARCH///arco	1
1673	ARM///brazo	2
1885	ARMADILLO///armadillo, quinquincho, chupa	1
1061	ARMOUR///armadura	1
1886	ARMPIT///sobaco, axila	1
1561	ARMY///ejército, tropas	1
1387	ARRIVE///llegar, alcanzar	1
977	ARROW///flecha	2
1889	ARSON///incendio premeditado	1
646	ASH///ceniza	3
646	ASH///cenizas	1
1309	ASK (INQUIRE)///preguntar	1
1828	ASK (REQUEST)///pedir	1
1828	ASK (REQUEST)///suplicar	1
722	ATTACK///atacar	1
1272	AUNT///tía	1
1276	AUTUMN///otoño	1
278	AWL///punzón	1
677	AXE///hacha	3
1769	AXLE///eje	1
1289	BABY///criatura	1
1289	BABY///niño, bebé, nene	1
1291	BACK///espalda	3
56	BAD LUCK///mala suerte	1
1292	BAD///malo	2
2013	BAIT///cebo, carnada	1
183	BAKE///hornear	1
1125	BALD///calvo	1
1845	BALL///pelota	1
1845	BALL///pelota, esfera, globo	1
3083	BALLOON///globo	1
1927	BAMBOO///bambú	1
868	BANANA///plátano	1
868	BANANA///plátano, banano	1
276	BANISTERIUM///ajahuasca, jajé	1
346	BANYAN///baniano	1
1204	BARK///corteza	3
1206	BARKING///ladrar	1
932	BARLEY///cebada	1
2548	BARREL///barril	1
1539	BASKET///cesta	1
1539	BASKET///cesto, canasto, canasta	1
1793	BAT///murciélago	2
138	BATHE///bañar(se)	1
138	BATHE///bañarse	1
662	BATTERY///pila	1
386	BATTLE-AXE///hacha de combate	1
579	BATTLE///guerra, batalla	1
663	BAY///golfo, bahía	1
1422	BE ALIVE///vivir	1
1422	BE ALIVE///vivir, vivo, vida	1
1422	BE ALIVE///vivo	1
1090	BE BORN///nacer	1
425	BE LATE///demorar, retrasar	1
48	BE SILENT///callarse	1
1860	BEAD///chaquira, abalorio	1
73	BEAK///pico	1
1132	BEAM///viga	1
832	BEAN///frijol, poroto	1
1820	BEAR///oso	2
678	BEARD///barba	2
1427	BEAUTIFUL///hermoso, bonito	1
1157	BECAUSE///porque	1
1663	BED///cama	2
1663	BED///catre, cama de barbacoa	1
665	BEE///abeja	2
1950	BEECH///haya	1
88	BEEHIVE///colmena	1
1639	BEER///cerveza	1
1931	BEESWAX///cera de abeja	1
1882	BEFORE///delante, antes de	1
1152	BEGET///engendrar	1
1934	BEGGAR///mendigo	1
1806	BEGIN///empezar, comienzo, inicio	1
1686	BEHIND///atrás, detrás	1
1890	BELIEVE///creer	1
2246	BELL///campana	1
1251	BELLY///Estomago	1
1251	BELLY///barriga	3
1485	BELOW OR UNDER///debajo	1
772	BELT///cinturón	1
772	BELT///cinturón, faja	1
2004	BEND///encorvar, doblar	1
1816	BESIDE///al lado de	1
1902	BETRAY///traicionar	1
731	BEVERAGE///bebida	1
747	BICYCLE///bicicleta	1
1202	BIG///grande	4
1081	BILL///calcul, cuenta	1
1855	BIRCH///abedul	1
937	BIRD///Ave	1
937	BIRD///pájaro	4
937	BIRD///pájaro, ave	1
1403	BITE///morder	5
887	BITTER///amargo	1
163	BLACK///Negro	1
163	BLACK///negro	4
3084	BLACKBOARD///pizarra	1
1001	BLACKSMITH///herrero	1
381	BLAME///culpa, censura	1
806	BLANKET///frazada, cobija	1
391	BLESS///bendecir	1
1653	BLIND///ciego	1
1655	BLINK///guiñar un ojo	1
1655	BLINK///parpadear	1
1584	BLISTER///ampolla	1
525	BLOOD VESSEL///vena, arteria	1
946	BLOOD///sangre	4
175	BLOW (OF WIND)///soplar	2
176	BLOW (WITH MOUTH)///soplar	1
432	BLOWGUN///cerbatana	1
837	BLUE///azul	1
379	BLUNT///embotado	1
379	BLUNT///romo, embotado	1
1348	BOAR///jabalí	1
1227	BOARD///tabla	1
101	BOAST///jactarse	1
1844	BOAT///bote	1
1480	BODY///cuerpo	1
792	BOIL (OF LIQUID)///hervir	1
793	BOIL (OF SKIN)///furúnculo, forúnculo	1
2493	BOIL///hervir	1
2007	BOLT (OF LIGHTNING)///rayo	1
1394	BONE///Hueso	1
1394	BONE///hueso	5
963	BOOK///libro	1
585	BOOT///bota	2
1022	BOOTY///botín	1
1501	BORE///perforar	1
1501	BORE///taladrar	1
1823	BORROW///pedir prestado	1
1321	BOTTLE///botella	1
690	BOTTOM///fondo	1
1010	BOUNDARY///límite, frontera	1
994	BOW///arco	2
1530	BOWL///tazón	1
3108	BOX (SOMEBODY OR SOMETHING)///boxear	1
1366	BOY///muchacho	1
1754	BRACELET///brazalete, pulsera	1
70	BRACKISH///salobre	1
1583	BRAIN///cerebro, sesos	1
1531	BRANCH///rama	2
2136	BRASS INSTRUMENT (HORN OR TRUMPET)///trompeta, trompa	1
3	BRAVE///valiente	1
1368	BREAD///pan	2
680	BREAK (DESTROY OR GET DESTROYED)///explotar	1
680	BREAK (DESTROY OR GET DESTROYED)///quebrar	1
1322	BREAKFAST///desayuno	1
1402	BREAST///seno	2
