ID	GLOSS	PRIORITY
1597	AIRPLANE///lentokone	1
587	ANT///muurahainen	1
1320	APPLE///omena	1
1828	ASK (REQUEST)///kerjätä	1
677	AXE///kirves	1
1845	BALL///pallo	1
3083	BALLOON///ilmapallo	1
868	BANANA///banaani	1
1206	BARKING///haukkua	1
2548	BARREL///tynnyri	1
1539	BASKET///kori	1
138	BATHE///kylpeä	1
662	BATTERY///patteri	1
1820	BEAR///karhu	1
1663	BED///sänky	1
2246	BELL///kello	1
772	BELT///vyö	1
747	BICYCLE///polkupyörä	1
937	BIRD///lintu	1
1403	BITE///3.01	1
3084	BLACKBOARD///liitutaulu	1
1655	BLINK///iskeä silmää	1
176	BLOW (WITH MOUTH)///puhaltaa	1
2493	BOIL///kiehua	1
1394	BONE///luu	1
585	BOOT///saapas	1
1501	BORE///porata	1
1321	BOTTLE///pullo	1
3108	BOX (SOMEBODY OR SOMETHING)///nyrkkeillä	1
680	BREAK (DESTROY OR GET DESTROYED)///poksahtaa	1
245	BROOM///luuta	1
3109	BRUSH (TEETH)///harjata (hampaat)	1
1821	BRUSH///harja	1
1840	BUILD///muurata	1
141	BURN (SOMETHING)///palaa	1
1070	BUS///linja-auto	1
1791	BUTTERFLY///perhonen	1
757	BUTTON///nappi	1
1273	CANDLE///kynttilä	1
1288	CAP///lakki	1
1111	CAR///auto	1
3085	CARROT///porkkana	1
700	CARRY///kantaa	1
228	CARVE///veistää	1
1208	CAT///kissa	1
1627	CHAIN///ketju	1
1476	CHAIR///tuoli	1
1569	CHEESE///juusto	1
3110	CLAP///taputtaa	1
2235	CLEAN (SOMETHING)///pestä	1
1102	CLIMB///kiivetä	1
1323	CLOCK///kello	1
1616	CLOTH///kaulaliina	1
1895	CLOTHES///(villa)pusero	1
1895	CLOTHES///liivi	1
1489	CLOUD///pilvi	1
2070	COMB (VERB)///kammata	1
1475	COMB///kampa	1
3086	COMPUTER///tietokone	1
3111	CONDUCT///johtaa	1
1100	COOK (SOMETHING)///keittää	1
1007	COW///lehmä	1
96	CRAWL///kontata	1
1857	CROCODILE///krokotiili	1
1839	CRY///itkeä	1
496	CUCUMBER///kurkku	1
1432	CUT///leikata	1
1879	DANCE///tanssia	1
1418	DIG///kaivaa	1
119	DIVE///sukeltaa	1
2009	DOG///koira	1
1659	DOLL///nukke	1
1567	DOOR///ovi	1
2030	DRAG///vetää	1
93	DRAW MILK///lypsää	1
474	DRESS///mekko	1
1401	DRINK///juoda	1
2253	DRIP (EMIT LIQUID)///tippua	1
741	DRIVE///ajaa (autoa)	1
1904	DROWN///hukkua	1
908	DRUM///rumpu	1
1786	DRY UP///kuivata	1
1360	DUCK///sorsa	1
1247	EAR///korva	1
1336	EAT///syödä	1
1290	ELEPHANT///norsu	1
928	EMBRACE///halata	1
3088	ENVELOPE///kirjekuori	1
3112	ERUPT///purkautua	1
127	EXTINGUISH///sammuttaa	1
1248	EYE///silmä	1
1280	FALL///pudota	1
1201	FEATHER///sulka	1
739	FEED///syöttää	1
1423	FIGHT///tapella	1
3113	FILE (SOMETHING)///viilata	1
227	FISH///kala	1
2638	FISHING///onkia	1
2623	FLAG///lippu	1
239	FLOWER///kukka	1
1504	FLY (INSECT)///kärpänen	1
1441	FLY (MOVE THROUGH AIR)///lentää	1
256	FOOD///pitsa	1
256	FOOD///voileipä	1
1302	FORK///haarukka	1
503	FROG///sammakko	1
991	FRY///paistaa	1
2940	GATE///portti	1
3089	GIRAFFE///kirahvi	1
604	GLASS///lasi	1
2292	GLASSES///silmälasit	1
1069	GLUE///liimata	1
1502	GOAT///vuohi	1
3114	GRATE (SOMETHING)///raastaa	1
3090	GUITAR///kitara	1
1566	GUN///pyssy	1
3115	HAMMER (SOMETHING)///naulata	1
771	HAT///hattu	1
3116	HATCH (OUT)///kuoriutua	1
1223	HEART///sydän	1
2580	HELICOPTER///helikopteri	1
1514	HEN///kana	1
3117	HITCHHIKE///liftata	1
615	HORSE///hevonen	1
1252	HOUSE///talo	1
1435	HUNT///metsästää	1
3118	IRON (CLOTHES)///silittää	1
621	IRON///silitysrauta	1
1829	JUMP///hypätä	1
164	KANGAROO///kenguru	1
1472	KEY///avain	1
1135	KICK///potkaista	1
1508	KING///viivotin	1
578	KISS///suukottaa	1
1352	KNIFE///veitsi	1
2905	KNIT///kutoa	1
2396	KNOCK///koputtaa	1
1464	LADDER///tikapuut	1
625	LAMP///lamppu	1
1355	LAUGH///nauraa	1
628	LEAF///lehti	1
1297	LEG///jalka	1
3091	LEMON///sitruuna	1
319	LICK///nuolla	1
737	LIGHT (IGNITE)///sytyttää	1
3092	LIGHTER///sytytin	1
1386	LION///leijona	1
3093	LIPSTICK///huulipuna	1
1608	LISTEN///kuunnella	1
1468	LOOK FOR///etsiä	1
203	MARRY///vihkiä	1
3119	MASSAGE (SOMEBODY)///hieroa	1
1133	MATCH///tulitikku	1
1506	MEASURE///mitata	1
2334	MELT///sulaa	1
2017	MIX///sekoittaa	1
1350	MONKEY///apina	1
1313	MOON///kuu	1
3120	MOP (SOMETHING)///luututa	1
638	MOTORCYCLE///moottoripyörä	1
1491	MOUSE///hiiri	1
641	MUSHROOM///sieni	1
