ID	GLOSS	PRIORITY
1597	AIRPLANE///flugvél	1
587	ANT///maur	1
1320	APPLE///epli	1
1828	ASK (REQUEST)///betla	1
677	AXE///öxi	1
1845	BALL///bolti	1
3083	BALLOON///blaðra	1
868	BANANA///banani	1
1206	BARKING///gelta	1
2548	BARREL///tunna	1
1539	BASKET///karfa	1
138	BATHE///baða sig	1
662	BATTERY///rafhlaða	1
1820	BEAR///björn	1
1663	BED///rúm	1
2246	BELL///bjalla	1
772	BELT///belti	1
747	BICYCLE///hjól	1
937	BIRD///fugl	1
1403	BITE///bíta	1
3084	BLACKBOARD///tafla	1
1655	BLINK///blikka	1
176	BLOW (WITH MOUTH)///blása	1
2493	BOIL///sjóða	1
1394	BONE///bein	1
585	BOOT///stígvél	1
1501	BORE///bora	1
1321	BOTTLE///flaska	1
3108	BOX (SOMEBODY OR SOMETHING)///kýla	1
680	BREAK (DESTROY OR GET DESTROYED)///springa	1
245	BROOM///kústur	1
3109	BRUSH (TEETH)///bursta tennur	1
1821	BRUSH///bursti	1
1840	BUILD///múra	1
141	BURN (SOMETHING)///brenna	1
1070	BUS///strætó	1
1791	BUTTERFLY///fiðrildi	1
757	BUTTON///tala	1
1273	CANDLE///kerti	1
1288	CAP///húfa	1
1111	CAR///bíll	1
3085	CARROT///gulrót	1
700	CARRY///bera	1
228	CARVE///skera út	1
1208	CAT///kisa	1
1627	CHAIN///keðja	1
1476	CHAIR///stóll	1
1569	CHEESE///ostur	1
3110	CLAP///klappa	1
2235	CLEAN (SOMETHING)///hreinsa	1
1102	CLIMB///klifra	1
1323	CLOCK///klukka	1
1616	CLOTH///trefill	1
1895	CLOTHES///peysa	1
1895	CLOTHES///vesti	1
1489	CLOUD///ský	1
2070	COMB (VERB)///greiða	1
1475	COMB///greiða	1
3086	COMPUTER///tölva	1
3111	CONDUCT///stýra	1
1100	COOK (SOMETHING)///elda	1
1007	COW///kýr	1
96	CRAWL///skríða	1
1857	CROCODILE///krókódíll	1
1839	CRY///gráta	1
496	CUCUMBER///agúrka	1
1432	CUT///klippa	1
1879	DANCE///dansa	1
1418	DIG///moka	1
119	DIVE///stinga sér	1
2009	DOG///hundur	1
1659	DOLL///dúkka	1
1567	DOOR///hurð	1
2030	DRAG///draga	1
93	DRAW MILK///mjólka	1
474	DRESS///kjóll	1
1401	DRINK///drekka	1
2253	DRIP (EMIT LIQUID)///leka	1
741	DRIVE///keyra	1
1904	DROWN///drukkna	1
908	DRUM///tromma	1
1786	DRY UP///þurrka	1
1360	DUCK///önd	1
1247	EAR///eyra	1
1336	EAT///borða	1
1290	ELEPHANT///fíll	1
928	EMBRACE///faðma	1
3088	ENVELOPE///umslag	1
3112	ERUPT///gjósa	1
127	EXTINGUISH///slökkva	1
1248	EYE///auga	1
1280	FALL///detta	1
1201	FEATHER///fjöður	1
739	FEED///gefa	1
1423	FIGHT///slást	1
3113	FILE (SOMETHING)///slípa	1
227	FISH///fiskur	1
2638	FISHING///veiða	1
2623	FLAG///fáni	1
239	FLOWER///blóm	1
1504	FLY (INSECT)///fluga	1
1441	FLY (MOVE THROUGH AIR)///fljúga	1
256	FOOD///pizza	1
256	FOOD///samloka	1
1302	FORK///gaffall	1
503	FROG///froskur	1
991	FRY///steikja	1
2940	GATE///hlið	1
3089	GIRAFFE///gíraffi	1
604	GLASS///glas	1
2292	GLASSES///gleraugu	1
1069	GLUE///líma	1
1502	GOAT///geit	1
3114	GRATE (SOMETHING)///rífa	1
3090	GUITAR///gítar	1
1566	GUN///byssa	1
3115	HAMMER (SOMETHING)///negla	1
771	HAT///hattur	1
3116	HATCH (OUT)///koma úr eggi	1
1223	HEART///hjarta	1
2580	HELICOPTER///þyrla	1
1514	HEN///hæna	1
3117	HITCHHIKE///fara á puttanum	1
615	HORSE///hestur	1
1252	HOUSE///hús	1
1435	HUNT///veiða	1
3118	IRON (CLOTHES)///strauja	1
621	IRON///straujárn	1
1829	JUMP///hoppa	1
164	KANGAROO///kengúra	1
1472	KEY///lykill	1
1135	KICK///sparka	1
1508	KING///reglustika	1
578	KISS///kyssa	1
1352	KNIFE///hnífur	1
2905	KNIT///prjóna	1
2396	KNOCK///banka	1
1464	LADDER///stigi	1
625	LAMP///lampi	1
1355	LAUGH///hlæja	1
628	LEAF///laufblað	1
1297	LEG///fótleggur	1
3091	LEMON///sítróna	1
319	LICK///sleikja	1
737	LIGHT (IGNITE)///kveikja	1
3092	LIGHTER///kveikjari	1
1386	LION///ljón	1
3093	LIPSTICK///varalitur	1
1608	LISTEN///hlusta	1
1468	LOOK FOR///leita	1
203	MARRY///gifta sig	1
3119	MASSAGE (SOMEBODY)///nudda	1
1133	MATCH///eldspýta	1
1506	MEASURE///mæla	1
2334	MELT///bráðna	1
2017	MIX///hræra	1
1350	MONKEY///api	1
1313	MOON///tungl	1
3120	MOP (SOMETHING)///skúra	1
638	MOTORCYCLE///mótorhjól	1
1491	MOUSE///mús	1
641	MUSHROOM///sveppur	1
1382	NEEDLE (FOR SEWING)///nál	1
539	NEST///hreiður	1
1298	NEWSPAPER///dagblað	1
1221	NOSE///nef	1
2366	ONION///laukur	1
1156	OPEN///opna	1
3121	OPERATE (MEDICINE)///skera upp	1
2627	ORANGE (FRUIT)///appelsína	1
735	OWL///ugla	1
3087	PACIFIER///snuð	1
3122	PAINT (SOMETHING)///mála	1
3094	PAINTBRUSH///pensill	1
2001	PAINTING///teikna	1
31	PAN///panna	1
922	PEAR///pera	1
275	PEEL///skræla	1
794	PEN///penni	1
2578	PENCIL///blýantur	1
2831	PENGUIN///mörgæs	1
2458	PERSPIRE OR SWEAT///svitna	1
3123	PHOTOGRAPH (SOMETHING)///taka mynd	1
2148	PICK///tína	1
378	PINCH///klípa	1
2440	PINEAPPLE///ananas	1
592	PISS///pissa	1
653	PLANT (VEGETATION)///gróðursetja	1
3125	PLAY (GAME)///spila golf	1
3124	PLAY (INSTRUMENT)///spila	1
1921	PLOUGH///plægja	1
3126	POST (SOMETHING)///póstleggja	1
3095	POSTMAN///póstur	1
1487	POUR///hella	1
1487	POUR///vökva	1
1455	PULL///toga	1
1452	PUSH///ýta	1
1136	RABBIT///kanína	1
3096	RACKET///tennisspaði	1
1733	RAINBOW///regnbogi	1
2108	RAINING OR RAIN///rigna	1
3127	RAKE (SOMETHING)///raka	1
724	READ///lesa	1
367	RIDE///ríða	1
2875	RING (MAKE SOUND)///hringja	1
1962	ROAST (SOMETHING)///grilla	2
769	ROOF///þak	1
1849	ROW///róa	1
1519	RUN///hlaupa	1
787	SAIL///sigla	1
1948	SAW///saga	1
1948	SAW///sög	1
266	SCALE///vigt	1
1457	SEW///sauma	1
3097	SEWING MACHINE///saumavél	1
251	SHARPEN (SOMETHING)///brýna	1
231	SHAVE///raka sig	1
1532	SHEAR///rýja	1
356	SHEARS///skæri	1
1622	SHIRT///skyrta	1
1381	SHOE///skór	1
3128	SHOWER (ACTION)///fara í sturtu	1
1261	SING///syngja	1
2908	SINK (DISAPPEAR IN WATER)///sökkva	1
1416	SIT///sitja	1
3129	SKATE///skauta	1
2991	SKI///renna sér á skíðum	1
1585	SLEEP///sofa	1
1324	SLIP///renna 	1
1324	SLIP///renna sér	1
1324	SLIP///rennibraut	1
1586	SMELL (PERCEIVE)///þefa af	1
1689	SMOKE (INHALE)///reykja	1
1543	SNAIL///snigill	1
730	SNAKE///slanga	1
1255	SNOWING///snjóa	1
3098	SNOWMAN///snjókarl	1
1522	SOCK///sokkur	1
3099	SOFA///sófi	1
3130	SPILL (SOMETHING)///sulla	1
121	SPIN///spinna	1
1378	SPOON///skeið	1
1414	SQUEEZE///kreista	1
1628	SQUIRREL///íkorni	1
34	STAIRS///stigi	1
1430	STAR///stjarna	1
713	STEAL///stela	1
571	STING///stinga	1
696	STIR///hræra	1
2058	STOOL///kollur	1
3138	STRAWBERRY///jarðarber	1
2993	STROKE (OF PEN)///klappa	1
1343	SUN///sól	1
3131	SUNBATHE///vera í sólbaði	1
3100	SUNGLASSES///sólgleraugu	1
3132	SURF///vera á brimbretti	1
230	SWEEP///sópa	1
1439	SWIM///synda	1
2871	SWING (MOVEMENT)///róla sér	1
3101	SWING///róla	1
1775	TABLE///skrifborð	1
1220	TAIL///rófa	1
3133	TALK (PHONE)///tala	1
3102	TANK///skriðdreki	1
1735	TEAR (SHRED)///rífa	1
1379	TELEPHONE///sími	1
1788	TELEVISION///sjónvarp	1
3103	TENNIS BALL///tennisbolti	1
3104	THERMOMETER///hitamælir	1
1456	THROW///henda	1
1917	TIE///bindi	1
1917	TIE///reima	1
846	TIGER///tígrisdýr	1
986	TOMATO///tómatur	1
2579	TOOTHBRUSH///tannbursti	1
906	TREE///tré	1
809	TROUSERS///buxur	1
112	TURTLE///skjaldbaka	1
3134	TYPE (ON SOMETHING)///vélrita	1
3105	UMBRELLA///regnhlíf	1
3135	VACUUM (SOMETHING)///ryksuga	1
2549	VEHICLE///flutningabíll	1
2549	VEHICLE///traktor	1
1602	WAKE UP///vakna	1
1443	WALK///ganga	1
3106	WARDROBE///skápur	1
1453	WASH///þvo	1
3136	WATCH (TV)///horfa	1
1650	WATCH///úr	1
2766	WATERMELON///vatnsmelóna	1
978	WAVE///alda	1
978	WAVE///kveðja	1
1098	WEIGH///vigta	1
55	WHISPER///hvísla	1
3107	WHISTLE (INSTRUMENT)///flauta	1
1025	WHISTLE///flauta	1
958	WILD ANIMAL///sebrahestur	1
1672	WRITE///skrifa	1
