ID	GLOSS	PRIORITY
1741	ABOVE///ウエエ	1
98	ALL///ミンナ	1
1673	ARM///ウデ	1
646	ASH///ハイ	1
1461	AT///デ	1
1291	BACK///セナカ	1
1292	BAD///ワルイ	1
1204	BARK///カワ	1
1422	BE ALIVE///イキテル	1
1251	BELLY///オナカ	1
1485	BELOW OR UNDER///シタエ	1
1202	BIG///オーキイ	1
937	BIRD///トリ	1
1403	BITE///カミツク	1
163	BLACK///クロイ	1
946	BLOOD///チ	1
175	BLOW (OF WIND)///フク	1
379	BLUNT///キレナイ	1
1394	BONE///ホネ	1
1402	BREAST///ムネ	1
2102	BURN///モエル	1
2099	CHILD///コドモ	1
72	CLAW///ツメ	1
1489	CLOUD///クモ	1
1287	COLD///サムイ	1
1446	COME///クル	1
1432	CUT///キル	1
706	DARK///クライ	1
1225	DAY (NOT NIGHT)///ヒルマ	1
1494	DIE///シヌ	1
1418	DIG///ホル	1
1230	DIRTY///キタナイ	1
2009	DOG///イヌ	1
1401	DRINK///ノム	1
1398	DRY///カワイタ	1
2	DUST///ホコリ	1
1247	EAR///ミミ	1
1228	EARTH (SOIL)///ツチ	1
1336	EAT///タベル	2
744	EGG///タマゴ	1
1248	EYE///メ	1
1280	FALL///オッコチル	1
1406	FAR///トーイ	1
323	FAT (ORGANIC SUBSTANCE)///アブラ	1
1217	FATHER///オトーサン	1
1419	FEAR (BE AFRAID)///コワガル	1
1201	FEATHER///ハネ	1
1242	FEW///スコシ	1
221	FIRE///ヒ	1
227	FISH///サカナ	1
493	FIVE///イツツ	1
2003	FLOW///ナガレル	1
239	FLOWER///ハナ	1
1441	FLY (MOVE THROUGH AIR)///トブ	1
249	FOG///キリ	1
1301	FOOT///アシ	1
1500	FOUR///ヨッツ	1
1431	FREEZE///コール	1
1507	FRUIT///ミ	1
1429	FULL///イッパイ	1
580	FUR///ケガワ	1
1447	GIVE///アゲル	1
1035	GOOD///イイ	2
606	GRASS///クサ	1
1425	GREEN///アオイ	1
1334	GUTS///ハラワタ	1
1040	HAIR///ケ	1
1277	HAND///テ	1
1211	HE///アノヒト	1
1256	HEAD///アタマ	1
1408	HEAR///キク	1
1223	HEART///シンゾー	1
1210	HEAVY///オモイ	1
136	HERE///ココニ	1
1433	HIT///ナグル	1
1448	HOLD///モツ	1
1393	HORN (ANATOMY)///ツノ	1
1286	HOT///アツイ	1
1239	HOW///ドー	1
1200	HUSBAND///シュジン	1
1209	I///ワタシ	1
617	ICE///コーリ	1
1459	IF///モシ；タラ	1
1460	IN///ニ	1
1417	KILL///コロス	1
1371	KNEE///ヒザ	1
1410	KNOW (SOMETHING)///シッテル	1
624	LAKE///ミズウミ	1
628	LEAF///ハッパ	1
244	LEFT///ヒダリ	1
1297	LEG///アシ	1
1411	LIE (REST)///ネテル	1
478	LIP///クチビル	1
1224	LIVER///キモ	1
1203	LONG///ナガイ	1
1392	LOUSE///シラミ	1
1554	MAN///オトコ	1
1198	MANY///タクサン	1
634	MEAT///ニク	1
635	MILK///オッパイ	1
1313	MOON///ツキ	1
1216	MOTHER///オカーサン	1
639	MOUNTAIN///ヤマ	1
674	MOUTH///クチ	1
1405	NAME///オマエ	1
1267	NARROW///セマイ	1
1838	NAVEL///オヘソ	1
1942	NEAR///チカイ	1
1333	NECK///クビ	1
1231	NEW///アタラシイ	1
1233	NIGHT///ヨル	1
1221	NOSE///ハナ	1
1240	NOT///ナイ	1
1229	OLD///フルイ	1
1493	ONE///ヒトツ	1
197	OTHER///ホカノ	1
2252	PATH///ミチ	1
683	PERSON///ヒト	1
398	PIERCE///ツキサス	1
1455	PULL///ヒッパル	1
1452	PUSH///オス	1
1253	RAIN (RAINING)///アメガフル	1
156	RED///アカイ	1
1019	RIGHT///ミギ	1
178	RIPE///ジュクシタ	1
666	RIVER///カワ	1
670	ROOT///ネッコ	1
1218	ROPE///ツナ	1
1728	ROTTEN///クサッタ	1
1395	ROUND///マルイ	1
1449	RUB///コスル	1
1503	SALIVA///ツバ	1
1274	SALT///シオ	1
671	SAND///スナ	1
1458	SAY///ユウ	1
1474	SEA///ウミ	1
1409	SEE///ミル	1
714	SEED///タネ	1
1457	SEW///ヌウ	1
1396	SHARP///キレル	1
1645	SHORT///ミジカイ	1
1261	SING///ウタウ	1
1416	SIT///スワッテル	1
763	SKIN///カワ	1
1732	SKY///ソラ	1
1585	SLEEP///ネムル	1
1246	SMALL///チッチャイ	1
2124	SMELL///カグ	1
778	SMOKE (EXHAUST)///ケムリ	1
1234	SMOOTH///スベッコイ	1
730	SNAKE///ヘビ	1
784	SNOW///ユキ	1
1437	SPLIT///サケル	1
1414	SQUEEZE///シメツケル	1
1442	STAND///タッテル	1
1430	STAR///ホシ	1
857	STONE///イシ	1
1404	STRAIGHT///マッスグナ	1
1421	SUCK///スウ	1
1343	SUN///オヒサマ	1
1573	SWELL///フクレル	1
1439	SWIM///オヨグ	1
1220	TAIL///シッポ	1
78	THAT///アレ	1
1937	THERE///アソコ	1
817	THEY///アノヒトタチ	1
1244	THICK///アツイ	1
