ID	GLOSS	PRIORITY
2489	ABACUS///算盤	2
1741	ABOVE///上面	1
1542	ACCOMPANY///陪	1
2737	AFFAIR (CLASSIFIER)///一件事情	1
2214	AFFAIR///事情	1
1807	AFTERNOON///下午	1
2093	AFTERWARDS///后	2
204	AGAIN///再	2
204	AGAIN///再(再来)	1
204	AGAIN///又	1
1789	AGE///岁	1
1597	AIRPLANE///飞机	1
404	ALCOHOL (FERMENTED DRINK)///酒	2
98	ALL///全部	7
98	ALL///大家	1
98	ALL///都	5
2576	ALREADY///巳經	1
1669	ANCESTORS///祖宗	1
1577	AND///和	8
1577	AND///和（他和你都是学生）	1
1826	ANGRY///生气	2
2757	ANGULAR (SQUAREFORMED)///方	1
3056	ANIMAL (CLASSIFIER)///只(一只鸡)	1
619	ANIMAL///动物	5
619	ANIMAL///動物	3
1275	ANSWER///答	2
587	ANT///蚂蚁	3
587	ANT///螞蟻	2
2745	APRICOT BLOSSOM///杏花	1
2847	APRIL///四月	1
2046	APRON///围腰	1
1673	ARM///胳膊	1
1673	ARM///胳膊 [B = 胳毙]	1
1673	ARM///胳臂	1
1886	ARMPIT///夾肢窩	2
1886	ARMPIT///腋下	1
1561	ARMY///军队	1
1568	ARRANGE///铺(床)	1
1387	ARRIVE///到	2
977	ARROW///箭	2
646	ASH///灰	8
646	ASH///灰(草木灰)	1
646	ASH///灰烬	2
646	ASH///烟灰 [B = 灰]	1
1894	ASHAMED///惭愧	1
1309	ASK (INQUIRE)///問	1
1309	ASK (INQUIRE)///问	2
1146	AUBERGINE///茄子	3
2851	AUGUST///八月	1
2171	AUNT///嬸母	1
1276	AUTUMN///秋	1
825	AWAKE///醒	1
278	AWL///錐子	1
2083	AXE (CLASSIFIER)///把（斧头）	1
677	AXE///斧头	1
677	AXE///斧頭	1
677	AXE///木柴	1
2910	BACK (DIRECTION)///后面	1
2323	BACK (PART)///后背	1
2323	BACK (PART)///後面	1
1291	BACK///背	7
1291	BACK///背（脊背）	1
1291	BACK///脊背	1
1292	BAD///坏	6
1292	BAD///坏(人)	1
1292	BAD///壞	5
1845	BALL///球	2
2160	BAMBOO HAT///斗笠	1
2494	BAMBOO SHOOT///竹笋	1
2494	BAMBOO SHOOT///竹筍	1
1927	BAMBOO///竹	1
1927	BAMBOO///竹子	5
868	BANANA///香蕉	1
868	BANANA///香蕉；芭蕉 [B = 香蕉]	1
1284	BANK///银行	1
511	BAOZI///包子	2
1204	BARK///吠	1
1204	BARK///树皮	5
1204	BARK///樹皮	3
1204	BARK///皮	1
1206	BARKING///吠	1
932	BARLEY///大麦	3
3025	BARN OR SHED///仓库	1
1539	BASKET///箩筐	1
1793	BAT///蝙蝠	3
138	BATHE///洗澡	1
972	BE ABLE///会	1
1422	BE ALIVE///活	3
1422	BE ALIVE///活(鱼)	1
1422	BE ALIVE///活的	5
1422	BE ALIVE///活着	1
1090	BE BORN///出生	1
1533	BE HUNGRY///餓	1
1533	BE HUNGRY///饿	2
425	BE LATE///迟	1
1579	BE///在(家)	1
1579	BE///是	3
1132	BEAM///房梁	1
1132	BEAM///梁	1
1132	BEAM///横梁 [B = 梁]	1
832	BEAN///蚕豆	1
832	BEAN///豆	1
832	BEAN///豆子	2
3054	BEAR FRUIT///结果	1
1820	BEAR///熊	2
1820	BEAR///狗熊	1
678	BEARD///胡子	1
2740	BEAT (CLASSIFIER)///頓(打一頓)	1
1665	BEAT///打	2
1665	BEAT///打(人)	1
1427	BEAUTIFUL///漂亮 [B = meili]	1
1427	BEAUTIFUL///美丽	1
1157	BECAUSE///因为	4
1157	BECAUSE///因為	3
2215	BECOME ANGRY///發脾氣	1
2327	BECOME SICK///生病	1
1663	BED///床	4
1949	BEDBUG///臭虫	3
1949	BEDBUG///臭蟲	1
665	BEE///蜜蜂	4
1931	BEESWAX///蜡	1
2242	BEETLE///甲虫	1
1882	BEFORE///先(去)	1
1934	BEGGAR///乞丐	1
1806	BEGIN///开始	1
1686	BEHIND///后面	1
2245	BELCH///打嗝	1
1890	BELIEVE///相信	3
2246	BELL///钟	1
2246	BELL///铃	1
1251	BELLY///肚子	12
1251	BELLY///腹	2
1485	BELOW OR UNDER///下面	3
2761	BEND (ONESELF)///蹲	1
2004	BEND///弯	1
2004	BEND///彎	1
1902	BETRAY///骗	1
747	BICYCLE///自行車	1
1202	BIG///大	15
937	BIRD///小雞兒	1
937	BIRD///鳥	6
937	BIRD///鸟	9
2741	BIT (CLASSIFIER)///下(打一下)	1
1403	BITE///咬	15
887	BITTER///苦	3
2785	BIVALVIA (MUSSELS OR OYSTERS)///蚌	1
163	BLACK///黑	15
1746	BLADDER///膀胱	1
2716	BLAME (SOMEBODY)///怪	1
457	BLIND PERSON///瞎子	2
1655	BLINK///眨眼	1
2762	BLOCK (THE WAY)///擋	1
946	BLOOD///血	15
175	BLOW (OF WIND)///刮	1
175	BLOW (OF WIND)///刮(风)	1
175	BLOW (OF WIND)///刮風	2
175	BLOW (OF WIND)///刮风	1
175	BLOW (OF WIND)///吹	8
176	BLOW (WITH MOUTH)///吹	3
837	BLUE///兰	1
837	BLUE///蓝	2
379	BLUNT///呆，笨	1
379	BLUNT///钝	2
379	BLUNT///钝(刀)	2
1348	BOAR///公猪	1
1348	BOAR///野猪	1
1227	BOARD///板子	1
101	BOAST///吹牛	1
1844	BOAT///小船兒	1
1844	BOAT///船	2
1480	BODY///身体	2
792	BOIL (OF LIQUID)///沸（水开）	1
793	BOIL (OF SKIN)///疮	1
2493	BOIL///沸	1
2493	BOIL///煮（＝开水）	1
1394	BONE///骨	4
1394	BONE///骨头	5
1394	BONE///骨頭	5
963	BOOK///书	1
963	BOOK///书本	1
963	BOOK///書	1
585	BOOT///靴子	1
1823	BORROW///借(钱)	1
2727	BOTTLE (CLASSIFIER)///一瓶酒	1
1321	BOTTLE///瓶子	3
690	BOTTOM///下面	1
3044	BOVINE///牛	1
994	BOW///弓	2
2080	BOWL (CLASSIFIER)///个(一个碗)	1
2080	BOWL (CLASSIFIER)///个(这个碗)	1
2080	BOWL (CLASSIFIER)///个（碗）	1
1530	BOWL///碗	2
1465	BOX///盒子	1
1465	BOX///箱子	2
1366	BOY///男孩 [B = 男青年]	1
1366	BOY///男孩兒	1
1366	BOY///男孩子	1
1754	BRACELET///手镯	2
1043	BRAID///编	1
1583	BRAIN///脑子 [B= 脑髓]	1
2068	BRAISE (VERB)///蒸	1
2362	BRAN///细糠	1
2362	BRAN///麩子	1
1531	BRANCH///树枝	2
2136	BRASS INSTRUMENT (HORN OR TRUMPET)///唢呐	1
2558	BREAK (CLEAVE)///断	1
2558	BREAK (CLEAVE)///断（小枝）	1
680	BREAK (DESTROY OR GET DESTROYED)///破	2
460	BREAK (OF ROPE)///断	1
1322	BREAKFAST///早飯	1
1322	BREAKFAST///早饭	3
1402	BREAST///乳房	10
1402	BREAST///奶 [B = 乳房]	1
1402	BREAST///胸	1
1407	BREATHE///吸	1
1407	BREATHE///呼吸	7
1006	BRICK///砖	1
2733	BRIDGE (CLASSIFIER)///一座橋	1
1011	BRIDGE///桥	2
1011	BRIDGE///橋	1
679	BRIGHT///亮	2
679	BRIGHT///亮(天)	1
679	BRIGHT///明亮 [B = liang]	1
2531	BROAD///寬	1
588	BROKEN///破	2
2075	BROOD (VERB)///孵	2
245	BROOM///扫帚	2
245	BROOM///掃帚	1
