NUMBER	ENGLISH	Urdu	Pashto
1.	body	jIsm	bàdVn
2.	head	sVr	sVr
3.	hair	bàl	wextF
4.	face	cEhrV	mVx
5.	eye	ek à3kh	stVrgV
6.	ear	ek kàn	GwVg
7.	nose	nàk	pozV
8.	mouth	mu3h	xolF
9.	teeth	ek dà3t	Gàx
10.	tongue	zVbàn	jIbV / {IbV
11.	breast	chàti	sinà
12.	belly	peT	xeTV / geDV
13.	arm/hand	bàzu	làs
14.	elbow	kohni	sVKgVl
15.	palm	hVtheli	tVle
16.	finger	UKgli	gotV
17.	fingernail	nàxUn	nukh
18.	leg	TàK	xpà
19.	skin	jIld	sàrmVn
20.	bone	hVDëi	àDuke
21.	heart	dIl	zVRF
22.	blood	xun	winà
23.	urine	pe}àb	tV}e mutiàze
24.	feces	pexànà	DVke mutiàze
25.	village	gàu3	kVle
26.	house	ghVr/mVkàn	kor
27.	roof	chVt	cVth
28.	door	dVrwàzV	wVr / dVrwàzà
29.	firewood	jVlàne wàli lVkRi	dV swVzedo lVrgi
30.	broom	jhàRu	jàru
31.	mortar	màsàlà pisne gol ciz/lVKgri	lVKgVrei
32.	pestle	hVthëi/dVstà/hàth  kà hIsëV	cOtu
33.	hammer	hVthORà/-i	sàTVk
34.	knife	càqu/churi	càku / càRV
35.	axe	kUlhàRà/-i	tVbVr
36.	rope	rVsëi	pVRe
37.	thread	dhàgà	tàr
38.	needle	sui	stVn
39.	cloth	kVpRà	kàpRà
40.	ring	VKguThi	gotà
41.	sun	surVj	nwVr
42. 	moon	cànd	spogmài
43.	sky	àsmàn	àsmàn
44.	star	ek tàrà/sItàrà	store
45.	rain	bàrI}	bàràn
46.	water	pàni	ubF
47.	river	dVryà	sind
48.	cloud	bàdVl	wVryVz
49.	lightning	bIjIli ki cVmVk	pRVkigi
50.	rainbow	qOsI qUzVh	dV buDài  TVl
51.	wind	hVwà (tufàn nehŒ†)	hàwà
52.	stone	pVthëVr	kàNe
53.	path	ràstà	làr
54.	sand	ret	}VgV
55.	fire	àg	our
56. 	smoke	dhuà3	luge
57.	ash	ràkh	irà
58. 	mud	kicVR	xVTà
59.	dust	mITëi	gVRd / duRà
60.	gold	sonà	srV zVr
61.	tree	dVrVxt/peR	wVnV
62.	leaf	pVtëà/-i	pàNà
63.	root	dVrVxt kà Ek jVR	jVrVRe
64.	thorn	kà3ëTà	àzGe
65.	flower	phul	gwVl
66.	fruit	phVl	mewà
67. 	mango	àm	àm
68.	banana	kelà	kelà
69.	wheat (husked)	gehu3 / gVndum	GVnVm
70.	barley	bàjrà	wàrbV}i
71.	rice (husked)	càwVl	wrije
72.	potato	àlu	àlu
73.	eggplant	bQKVn	tor bàTiKgV3R
74.	groundnut	muK phVli	mumpàli
75.	chili	mIrc	mVrcVke / mrVc
76.	turmeric	hVldi	kurkVmVn
77.	garlic	lEhsVn	ugà
78.	onion	piàz	piàz
79.	cauliflower	phul gobi	gobi / gwVl gopi
80.	tomato	TVmàTVr	sur bàTiKgV3R
81.	cabbage	bVnd gobi	bVn gobi
82.	oil	tel	tel
83.	salt	nVmVk	màlgà
84.	meat	go}t (khàne ke lie)	GwVxà
85.	fat (of meat)	cErbi (go}t kà hissà)	wàzdV
86.	fish	mVchli	kVb
87.	chicken	mUrGi	cVrgV
88.	egg	ek VNDà	hO / àge
89. 	cow	gàe	Gwà
90.	buffalo	bhE3s	mexà
91.	milk	dudh	pe
92.	horns	ek siKg	xkVr
93.	tail	dUm	lVke
94.	goat	bVkri	bizà
95.	dog	kUtëà	spe
96.	snake	sà3à3p	màr
97. 	monkey	bVndVr	bizo
98.	mosquito	mVchëVr	mà}e
99.	ant	ciu3Ti	mege
100.	spider	mVkRi	jolà
101. 	name	nàm	num
102.	man	àdmi / mVrd	sàRe
103.	woman	OrVt	xVzV
104.	child	bVcëV	mà}um
105.	father	bàp	plàr
106.	mother	mà3	mor
107.	older brother	bVRà bhài	mV}Vr ror
108.	younger brother	choTà bhài	kV}Vr ror
109.	older sister	bVRi bVhEn / bàji	mV}rà xor
110.	younger sister	choTi bVhEn	kV}rà xor
111.	son	beTà	zwe
112.	daughter	beTi	lur
113.	husband	}ohVr / xàwVnd	xàwànd
114.	wife	bivi	xVzà
115.	boy	lVRkà	hàlVk / àlVk
116.	girl	lVRki	jine
117.	day	dIn / roz	wrVz
118.	night	ràt / }Vb	}pà
119.	morning	subVh / sVwerà	sVhàr
120.	noon	dopVhEr	GàrmV
121.	evening	}àm	màxàm
122.	yesterday	(gUzàrà) kVl	pàrun
123.	today	àj	nVn
124.	tomorrow	(àindV) kVl	sVbà
125. 	week	ek hVftV	hàftV
126.	month	mVhinà	mià}t
127.	year	sàl / bVrVs	kàl
128.	old	pUrànà (ciz ke lie)	zoR
129.	new	neà (ciz)	nVwe
130.	good	Vchëà (ciz)	xF
131.	bad	xVràb (ciz)	xàràb
132.	wet	bhigà	lund
133.	dry	xU}k / sukhà	wVch
134.	long	lVmbà	ugud
135.	short	choTà	lVnD / cit
136.	hot	gVrVm (ciz)	tod / gVrVm
137.	cold	ThVNDà / sVrdi (ciz)	yVx
138.	right	dàe3 / dàe3yà	xe
139.	left	bàe3 / bàe3yà	gVs
140.	near	qVrib / nVzdik	nizde
141.	far	dur	lVre
142.	big	bVRà	GVT
143.	small	choTà	wVrkoTe / wàRuke
144.	heavy	bhàri / wVzni	drund
145.	light	hVlkà	spVk
146.	above	upVr	ucVt / pàs
147.	below	nice	lànde
148.	white	sUfEd	spin
149.	black	kàlà	tor
150.	red	làl	sur
151.	one	ek	yVo
152.	two	do	dwà
153.	three	tin	dre
154.	four	càr	sàlor
155.	five	pà3c	pinzF
156.	six	chE	}pVg
157.	seven	sàt	uwF
158.	eight	àTh	àtF
159.	nine	nVo	nVhV
160.	ten	dVs	lVs
161.	eleven	gyàrV	yàolVs
162.	twelve	bàrV	dolVs
163.	twenty	bis	}Vl
164.	one hundred	ek so	sVl
165.	who	kOn	sok
166.	what	kyà	sF
167.	where	kIdhVr / kàhà3	càrtV
168.	when	kVb	kVlà
169.	how many	kitne	somrà / so
170.	which	kOnsV	kVm
171.	this	ye	dà
172.	that	wo	àGà
173.	these	ye (sVb)	dà
174.	those	wo (sVb)	àGà
175.	same	ek hi / bVràbVr	yào }àn / yào rVK
176.	different	mUxtVlIf	muxtVlEf / biEl kIsVm
177.	whole	mUkVmëVl / sàlIm	roG / sàbVt
178.	broken	TuTà	màt
179.	few	thoRà / kUc / kVm	lVg
180.	many	ziàëdV	Der / ziàt
181.	all	sVb	Tol
182.	to eat / eat!	tUm khào	xoRVl / tV uxRV
183.	to bite / the dog bites / bit	kàTnà / kutëà kàTà hE	cicVl / spi ocicVlo
184.	to be hungry / you are hungry	bhukh  lVgnà / tUm ko bhukh  lVgtà hE	oge kedVl / tF wVge ye
185.	to drink / drink!	pinà / tUm pio / pi lo	skVl / tF wVskV
186.	to be thirsty / you are thirsty	piàs lVgnà / piàs lVgtà hE	tVge kedVl / tVgei  ye
187.	to sleep / sleep!	sonà / tUm so jào	udV kedVl / tF udV }à
188.	to lie / lie down!	leTnà / tUm leT jào	sVmlàstVl / tF sVmlà
189.	to sit / sit!	bQThnà / tUm bQTh  jào	kenàstVl / tF kenà
190.	to give / give!	denà / tUm de do / do	wàrkàwàl / tV wàrkV
191.	burn (the wood)!	jàlànà / tUm lVkRi jVlào	tV làrgi oswàzVwV
192.	to die / he died	mVrnà / vo mVr geà	mRV kedVl / hàGà mVR }o
193.	to kill / kill the bird!	màrnà / tUm ciRià màr do	wVjVl / tV màrGVi  uwàlà
194.	to fly / the bird flies / flew	URnà / ciRià URti hài	VlwVtVl / màrGVi  wàlwàtV
195.	walk!	cVlnà / tUm cVlo	tF piàdV làr}à
196.	to run / run!	dORnà / tUm dORo	mVnDà wVhVl / tV mVnDV uwà
197.	to go / go!	jànà / tUm jào	tVlVl / tF làr}à
198.	to come / come!	ànà / tUm ào	ràtlVl / tF rà}à
199.	to speak / speak!	bolnà / tUm bolo	wàyVl / tV uwàyV
200.	to hear / hear! / listen!	sUnà / tUm sUno	àwredVl / tV wàwrV
201.	to look / look!	dekhnà / tUm dekho	kVtVl / tà ugorV
202.	I	mQ3	zF
203.	you (informal)	tUm / tu	tF
204.	you (formal)	àp	tàso
205.	he	vo	hàGà
206.	she	vo	hàGà
207.	we (inclusive)	hVm (hVm Or vo)	muKgV
208.	we (exclusive)	hVm (hVm, vo nehŒ†)	muKgV
209.	you (plural)	tUm (tUm log)	tàso
210.	they	vo	hàGwi
