# from http://comparalex.org/index.php?page=stdlist&id=2
1	001	eye	oeil
2	002	ear	oreille
3	002nd	at	à
4	002nd	(s)he	il (humain)
5	002nd	I	je
6	002nd	they	ils (humains)
7	002nd	we	nous
8	002nd	you (pl.)	vous (pl)
9	002nd	you (thou)	tu (sing)
10	002nd	(s)he	elle, il
11	003	nose	nez
12	003rd	and	et
13	003rd	if	si
14	003rd	no, not	non
15	003rd	that	ce(monsieur)-là
16	003rd	this	ce (monsieur)-ci
17	003rd	with	avec
18	004	tooth	dent
19	005	tongue	langue
20	006	head	tête
21	007	neck	cou
22	008	breast	sein, mamelle
23	008.1	udder	pis, mamelle
24	009	belly	ventre
25	010	navel	nombril
26	011	knee	genou
27	012	foot	pied
28	012	sole of foot	plante du pied
29	012.1	leg	jambe
30	013	hand	main
31	013	palm	paume (de la main)
32	013.1	arm (forearm)	avant-bras
33	013.1	arm (forearm)	bras
34	014	horn	corne
35	015	tail	queue
36	016	egg	oeuf
37	018	fat / grease	graisse
38	018.1	oil	huile
39	019	man (vir)	homme (mâle)
40	019.1	husband	mari, époux
41	020	woman	femme
42	020.1	wife	femme, épouse
43	021	father	père
44	022	daughter	fille
45	022	son	fils
46	022	child (offspring)	enfant
47	022.1	boy	garçon
48	022.1	child (youngster)	bébé
49	022.1	girl	(petite) fille, filette
50	022.1	child (youngster)	enfant
51	023	name	nom
52	024	dog	chien
53	025	goat	chèvre
54	025.1	sheep	mouton
55	026	chicken	poulet
56	026.1	hen	poule
57	026.2	cock	coq
58	027	bird	oiseau
59	028	snake	serpent
60	029	fish	poisson
61	030	louse	pou (de tête)
62	031	tree	arbre
63	032	bark (tree)	écorce (d'arbre)
64	033	root (of tree)	racine
65	034	village	village
66	034.1	home / compound (including the courtyard)	concession, maison
67	034.1	home / compound (including the courtyard)	domicile
68	035	house, hut	maison
69	035	house, hut	case
70	036	path	chemin, route
71	036.1	road	chemin, route
72	037	rope	corde
73	037.1	string, thread	ficelle
74	037.1	string, thread	fil
75	038	salt	sel
76	039	knife	couteau
77	039.1	bush-knife	machette
78	040	fire	feu
79	041	smoke	fumée
80	042	ash(es)	cendres
81	043	night(time)	nuit
82	043.1	darkness	obscurité
83	044	month	mois
84	044	moon	lune
85	045	star	étoile
86	046	sun	soleil
87	046.1	heat of day	chaleur
88	046.2	daylight	jour, lumière
89	046.3	day-time	jour, journée (lumière)
90	047	rain	pluie
91	048	water	eau
92	049	stone	caillou
93	049.1	pebble	caillou
94	050	year	an, année
95	050.1	rainy season	saison des pluies, hivernage
96	050.2	dry season	saison sèche
97	051	one	un (1)
98	052	two	deux (2)
99	053	three	trois (3)
100	054	four	quatre (4)
101	054	meat; flesh	viande
102	054	meat; flesh	chair
103	055	hot weather	temps chaud
104	056	cold (weather)	temps froid
105	057	tall	(être) grand
106	057	long (thing)	(être) long
107	058	short (thing)	(être) court (quelque chose)
108	058	short (not tall)	(être) court
109	059	big	(être) grand, gros
110	060	small	(être) petit
111	061	good	(être) bon
112	061.1	well (adv.)	bien
113	062	red	(être) rouge
114	063	black	(être) noir
115	063	blue	(être) bleu
116	063	dark - colored	(être) foncé, sombre
117	063	dark	être obscur
118	064	bright-colored	clair (couleur)
119	064	white	(être) blanc
120	065	become dry	tarir, évaporer
121	065	become dry	(être) sec
122	066	sit (down)	s'asseoir
123	066.1	be seated	(être) assis
124	066.2	to remain / reside	rester, demeurer
125	067	stand up	se lever, se mettre debout
126	067	stand up	(être, se tenir) debout
127	067.1	to be standing	(être, se tenir) debout
128	067.2	to stop	cesser, s'arrêter
129	068	lie down	se coucher
130	068.1	to be lying	(être) couché, étendu
131	069	sleep (v)	dormir
132	070	fear (n)	peur, crainte
133	071	to bite	mordre
134	071.1	gnaw	ronger
135	072	eat	manger
136	072.1	food	aliments, nourriture
137	073	drink	boire
138	073.1	to smoke (something)	fumer (du tabac)
139	074	vomit	vomir
140	075	to cough, a cough	tousser
141	075	to cough, a cough	toux
142	075.1	sneeze	éternuer
143	076	suck	sucer
144	076	suck (the breast)	téter, allaiter
145	077	spit	cracher
146	078	blow	souffler
147	078.1	the wind blows	souffler (vent)
148	079	sing	chanter
149	079.1	song	chant, chanson
150	080	laugh (v.)	rire
151	081	say	dire
152	081.5	to talk / speak	parler
153	081.6	answer	répondre
154	081.7	tell	dire à quelqu'un
155	081.7	tell	raconter (un conte)
156	081.8	proclaim	annoncer
157	082	see	voir
158	082.1	look at	regarder
159	083	hear	entendre
160	083.1	listen to	écouter
161	084	to smell (something)	sentir (par le nez)
162	084.1	smell, stink	puer, sentir mauvais
163	085	give	donner
164	085.1	gift	cadeau, don
165	086	steal	voler (dérober)
