NUMBER	ENGLISH	SUBLIST
1	hair	
2	head	
3	mouth	
4	nose	
5	eye	
6	neck	
7	belly	
8	skin	
9	knee	x
10	man	
11	woman	
12	bird	
13	dog	
14	bite	
15	sit	x
16	stand	x
17	lie	
18	road	
19	stone	
20	big	
21	small	
22	fire	
23	smoke	
24	ashes	
25	ear	
26	tongue	
27	tooth	
28	breast	
29	hand	
30	foot	
31	sun	
32	moon	
33	star	
34	cloud	
35	rain	
36	water	
37	tree	
38	root	
39	leaf	
40	fat	
41	egg	
42	eat	
43	see	
44	come	
45	louse	
46	one	
47	two	
48	back	
49	shoulder	x
50	forehead	
51	heart	x
52	liver	x
53	bone	
54	blood	
55	wing	
56	fingernail	
57	tail	
58	father	
59	mother	
60	brother	
61	sister	x
62	name	
63	pig	
64	cassowary	
65	wallaby	
66	flying fox	
67	rat	
68	snake	
69	taro	
70	sugarcane	
71	yam	
72	banana	
73	sweet potato	
74	axe	x
75	knife	x
76	arrow	x
77	string bag	
78	house	
79	earth	
80	sand	
81	mountain	
82	wind	
83	vine	x
84	night	x
85	yesterday	x
86	tomorrow	x
87	white	
88	black	
89	yellow	
90	good	
91	bad	x
92	long	
93	short	
94	heavy	
95	light	x
96	cold	
97	hot	
98	old	
99	new	
100	many	x
101	what	
102	who	
103	where	x
104	round	x
105	wet	
106	dry	
107	full	
108	three	
109	four	
110	five	x
111	ten	x
112	say	x
113	no	x
114	hear	
115	drink	
116	burn	x
117	run	x
118	fall down	x
119	hit	
120	laugh	x
121	dance	x
122	I	
123	thou	
124	he	
125	die 	
126	we excl.	
127	you	
128	they	
