NUMBER	SHORTLIST	GLOSS
1	25	eye
2	26	eyebrow
3		ear
4		mouth
5		jawbone
6		nose
7		chin
8		beard
9		tooth
10		tongue
11		head
12		hair (human)
13		neck
14		belly
15		back
16		backbone
17		knee
18		leg
19		foot
20	2	arm
21		hand
22		fingernail
23	29	finger
24		armpit
25		skin (human)
26		skin (animal)
27		bone
28	12	blood
29		heart
30		lung
31		liver
32		voice
33		horn (of animal)
34		wing (of bird)
35		feathers
36		tail (of mammal)
37	23	egg
38	10	honey
39		milk (of cow)
40		meat
41		person
42	57	man
43	47	husband
44	84	woman
45		wife
46		father
47		mother
48	63	brother (older, same sex)
49		mother's brother
50		child
51	14	son/boy
52	33	daughter/girl
53		twins
54		chief
55		God
56		sickness
57		sore
58		medicine
59		body (human)
60		name
61		wild animal
62		dog
63	16	cat
64	24	elephant
65	55	lion
66		bat
67		butterfly
68	34	goat
69	21	cow
70		bull
71		calf
72	18	chicken
73		cock/roooster
74		bird
75		snake
76		fish
77	9	bee
78		head louse
79	81	tree
80	6	bark (of tree)
81	54	leaf
82		branch (of tree)
83		shade (of tree)
84		walking stick
85		root (of tree)
86	69	seed
87		grass
88		flowers
89		thorn
90	28	field
91	43	house
92		wall
93		village
94		path
95		thing/object
96		rope
97		thread
98		knot
99	17	chair
100	75	stool
101		salt
102		finger millet
103		gruel
104	46	hunger
105		thirst
106		utensil
107	66	cooking
108		burden, load (carried on head)
109		iron/metal
110		hoe
111	52	knife
112		big
113		dull (knife)
114		sharp (knife)
115		axe
116		spear
117		arrow
118		hole
119		enemy
120		war
121		fire (for cooking)/heat
122		firewood
123		smoke
124	3	ash(es) (ma)
125	61	night (time)
126		darkness
127		moon
128		month
129		star
130		sun
131		daytime
132		today
133		yesterday
134		tomorrow
135	83	sky
136		clouds
137		wind (N)
138		rain (N)
139		water
140		river
141	53	lake
142		dew
143		ice
144		mountain
145	68	stone (fistsized)/rock
146		earth (soil)
147		sand
148		dust
149		year
150		one (thing)
151		two (things)
152		three
153		four
154		five
155		six
156		seven
157		eight
158		nine
159		ten
160	39	hot (weather)
161	19	cold (weather)
162		long (thing)
163		short (thing)
164		big (thing)
165		small (thing)
166		wide (path)
167		narrow (path)
168		heavy (thing)
169		light (weight)
170		difficult (test)
171		easy (test)
172		good (thing)
173		bad (thing)
174		left (side)
175		right (side)
176		inside
177		outside
178		far
179	60	near
180		new (thing)
181		all (things)
182		many (things)
183		few (things)
184		red (thing)
185		black (thing)
186		white (thing)
187		who?
188		why?
189		what?
190		dirty (clothes)
191		rotten (fruit)
192		dry (cloth)
193		wet (cloth)
194		full (bottle)
195		sit
196a	73a	stand up (3rd Sg)
196b	73b	stand up (Imp)
197		sleep
198		awaken
199		ask for sthg.
200		bring
201		get/obtain
202		take
203		carry (child on back)
204		hold
205		sell
206		buy
207		fear (V)
208		give (him)
209		send (him)
210		bite (V)
211		eat
212		drink (V)
213		boil (water)
214		pour
215		vomit
216		cough
217		sneeze
218		breathe
219		suck (baby)
220		spit
221		blow (wind)
222		blow (person)
223		whistle (V)
224		yawn
225		sing
226		play (child)
227		dance
228		laugh
229		cry (child)
230		bark (dog)
231		say
232		ask (question)
233		look
234		show (V)
235		hear
236		die
237		know
238		count (V)
239		want/like
240		help (V)
241		walk (V)
242		run (V)
243		pull (rope)
244		come
245		leave (V)
246		fall (V)
247		turn (V)
248		burn (sthg)
249		bury (people)
250		dig (in the field)
251		weed (V-by hand)
252		plant (V)
253		harvest (V)
254		grind
255		hunt (V)
256		cultivate
257		work (V)
258		build (house)
259		push (V)
260		make
261		sew
262		throw
263		hit (V)
264		slaughter (V)
265		cut (horizontally, e.g., a tree)
266		wash (V)
267		hide (V)
268		marry (of man)
269		steal
270		kill (V)
271		stab
272		fly (of bird)
273		go in
274		go out
275		move (V)
276		return (V)
277		dream (V)
278		coagulate (of blood)
279		make offerings to the dead
280		mix (V)
281		open (V)
282		close (V)
283		remember
284		forget
285		answer (V)
286		break (V)
287		cover (up)
288		bring up a child
289		follow
290		get lost
291		stir (V)
292		knock (V)
293		take leave
294		swallow (V)
295		lick
296		sniff
297		kneel
298		bathe
299		stop doing
300		scratch oneself
	1	ant
	4	ball
	5	bamboo
	7	basket
	8	bean
	11	begin
	13	book
	15	case
	20	corn
	22	door
	27	eyelid
	30	(n) forest
	31	fox
	32	frog
	35	goodness
	36	grandmother
	37	happiness
	38	hate
	40	help (N)
	41	herd
	42	here
	44	hundred
	45	thousand
	48	insect
	49	journey
	50	Bena
	51	grain
	56	locust
	58	money
	59	mosquito
	62	Njombe
	64	pain
	65	pity
	67	potato
	70	sheep
	71	shoe
	72	us
	73	song
	76	sunflower
	77	sweet potato
	78	teacher
	79	trick (V)
	80	town
	82	truth
	85	wasp
	86	you
	87	all the people
	88	our cow
	89	our fields
	90	our chair
	91	our chairs
	92	our trees
