NUMBER	GLOSS
1	all
2	ashes
3	bark
4	bite
5	blood
6	bone
7	cloud
8	come
9	die
10	drink
11	ear
12	egg
13	eye
14	fire
15	fish
16	fly
17	good
18	green
19	hand
20	I
21	louse
22	man
23	name
24	new
25	night
26	nose
27	one
28	rain
29	root
30	see
31	seed
32	skin
33	sleep
34	smoke
35	star
36	sun
37	thou
38	tongue
39	tooth
40	two
41	water
42	we
43	full
44	round
45	moon
46	belly
47	big
48	bird
49	black
50	cold
51	dog
52	dry
53	earth
54	eat
55	feather
56	foot
57	give
58	hair
59	head
60	hear
61	heart
62	kill
63	know
64	leaf
65	liver
66	long
67	many
68	meat
69	mountain
70	mouth
71	neck
72	not
73	red
74	sand
75	small
76	stone
77	tail
78	tree
79	warm
80	white
81	woman
82	yellow
83	horn
84	knee
85	say
86	burn
87	road
88	claw
89	person
90	swim
91	sit
92	walk
93	this
94	that
95	lie
96	stand
97	who
98	what
99	fat
100	breast
