# from http://comparalex.org/index.php?page=stdlist&id=13
ID	COMPARALEX_ID	NUMBER	ENGLISH	FRENCH
Snider-2006-1700-1	1	0001	body	corps
Snider-2006-1700-2	2	0002	skin (of man)	peau (d'homme)
Snider-2006-1700-3	3	0003	head	tête
Snider-2006-1700-4	4	0004	forehead	front
Snider-2006-1700-5	5	0005	face	visage
Snider-2006-1700-6	6	0006	eye	oeil
Snider-2006-1700-7	7	0007	eyebrow	sourcil
Snider-2006-1700-8	8	0008	eyelid	paupière
Snider-2006-1700-9	9	0009	eyelash	cil
Snider-2006-1700-10	10	0010	pupil (of eye)	pupille
Snider-2006-1700-11	11	0011	nose	nez
Snider-2006-1700-12	12	0012	bridge (of nose)	arête, dos du nez
Snider-2006-1700-13	13	0013	ear	oreille
Snider-2006-1700-14	14	0014	cheek	joue
Snider-2006-1700-15	15	0015	mouth	bouche
Snider-2006-1700-16	16	0016	lip	lèvre
Snider-2006-1700-17	17	0017	tongue	langue
Snider-2006-1700-18	18	0018	tooth	dent
Snider-2006-1700-19	19	0019	molar tooth	molaire
Snider-2006-1700-20	20	0020	palate	palais (de la bouche)
Snider-2006-1700-21	21	0021	jaw	mâchoire
Snider-2006-1700-22	22	0022	chin	menton
Snider-2006-1700-23	23	0023	neck	cou
Snider-2006-1700-24	24	0024	nape of neck	nuque
Snider-2006-1700-25	25	0025	throat	gorge
Snider-2006-1700-26	26	0026	voice box, larynx, Adam's apple	larynx, pomme d'Adam
Snider-2006-1700-27	27	0027	hair (of head)	cheveux (de tête)
Snider-2006-1700-28	28	0028	beard	barbe
Snider-2006-1700-29	29	0029	hair (of body)	poil (du corps)
Snider-2006-1700-30	30	0030	tuft, lock (of hair)	touffe, mèche (de cheveux)
Snider-2006-1700-31	31	0031	shoulder	épaule
Snider-2006-1700-32	32	0032	shoulder blade	omoplate
Snider-2006-1700-33	33	0033	chest	poitrine
Snider-2006-1700-34	34	0034	breast	sein, mamelle
Snider-2006-1700-35	35	0035	side (of body)	côté (du corps), flanc
Snider-2006-1700-36	36	0036	waist	taille
Snider-2006-1700-37	37	0037	navel	nombril
Snider-2006-1700-38	38	0038	umbilical cord	cordon umbilical
Snider-2006-1700-39	39	0039	abdomen (external)	ventre, abdomen (externe)
Snider-2006-1700-40	40	0040	stomach (internal)	estomac, ventre (interne)
Snider-2006-1700-41	42	0041	womb	utérus
Snider-2006-1700-42	43	0042	back	dos
Snider-2006-1700-43	45	0043	small of back	creux des reins
Snider-2006-1700-44	46	0044	buttock	fesse
Snider-2006-1700-45	47	0045	anus	anus
Snider-2006-1700-46	48	0046	penis	pénis
Snider-2006-1700-47	49	0047	testicle	testicule
Snider-2006-1700-48	50	0048	vagina	vagin
Snider-2006-1700-49	51	0049	clitoris	clitoris
Snider-2006-1700-50	52	0050	arm	bras
Snider-2006-1700-51	53	0051	armpit	aisselle
Snider-2006-1700-52	54	0052	upper arm	bras supérieur
Snider-2006-1700-53	55	0053	elbow	coude
Snider-2006-1700-54	56	0054	forearm	avant-bras
Snider-2006-1700-55	57	0055	wrist	poignet
Snider-2006-1700-56	58	0056	hand	main
Snider-2006-1700-57	59	0057	fist	poing
Snider-2006-1700-58	60	0058	palm (of hand)	paume (de la main)
Snider-2006-1700-59	61	0059	finger	doigt
Snider-2006-1700-60	62	0060	thumb	pouce
