ID	NUMBER	GLOSS
Tryon-1983-200-1	1	*one
Tryon-1983-200-2	2	*two
Tryon-1983-200-3	3	**three
Tryon-1983-200-4	4	**four
Tryon-1983-200-5	5	**five
Tryon-1983-200-6	6	**ten
Tryon-1983-200-7	7	*hand/arm
Tryon-1983-200-8	8	**back
Tryon-1983-200-9	9	**belly
Tryon-1983-200-10	10	*blood
Tryon-1983-200-11	11	*bone
Tryon-1983-200-12	12	*breast
Tryon-1983-200-13	13	*ear
Tryon-1983-200-14	14	*egg
Tryon-1983-200-15	15	*eye
Tryon-1983-200-16	16	*fat/grease
Tryon-1983-200-17	17	*hair (body)
Tryon-1983-200-18	18	*head
Tryon-1983-200-19	19	*heart
Tryon-1983-200-20	20	&knee
Tryon-1983-200-21	21	*leg
Tryon-1983-200-22	22	*liver
Tryon-1983-200-23	23	*meat/flesh
Tryon-1983-200-24	24	*mouth
Tryon-1983-200-25	25	navel
Tryon-1983-200-26	26	*neck
Tryon-1983-200-27	27	*nose
Tryon-1983-200-28	28	*skin
Tryon-1983-200-29	29	*tail
Tryon-1983-200-30	30	*tongue
Tryon-1983-200-31	31	*tooth
Tryon-1983-200-32	32	**wing
Tryon-1983-200-33	33	*louse
Tryon-1983-200-34	34	louse egg
Tryon-1983-200-35	35	fly (n)
Tryon-1983-200-36	36	mosquito
Tryon-1983-200-37	37	butterfly
Tryon-1983-200-38	38	spider
Tryon-1983-200-39	39	*fish
Tryon-1983-200-40	40	shark
Tryon-1983-200-41	41	crocodile
Tryon-1983-200-42	42	turtle
Tryon-1983-200-43	43	**snake
Tryon-1983-200-44	44	*bird
Tryon-1983-200-45	45	chicken
Tryon-1983-200-46	46	rat
Tryon-1983-200-47	47	flying fox
Tryon-1983-200-48	48	whale
Tryon-1983-200-49	49	porpoise
Tryon-1983-200-50	50	possum
Tryon-1983-200-51	51	*dog
Tryon-1983-200-52	52	pig
Tryon-1983-200-53	53	**flower
Tryon-1983-200-54	54	**fruit
Tryon-1983-200-55	55	*leaf
Tryon-1983-200-56	56	*root
Tryon-1983-200-57	57	*seed
Tryon-1983-200-58	58	*tree
Tryon-1983-200-59	59	**grass
Tryon-1983-200-60	60	banana
Tryon-1983-200-61	61	betel nut
Tryon-1983-200-62	62	breadfruit
Tryon-1983-200-63	63	coconut
Tryon-1983-200-64	64	cut nut
Tryon-1983-200-65	65	sago palm
Tryon-1983-200-66	66	sugar cane
Tryon-1983-200-67	67	taro
Tryon-1983-200-68	68	yam
Tryon-1983-200-69	69	*man
Tryon-1983-200-70	70	*woman
Tryon-1983-200-71	71	**father
Tryon-1983-200-72	72	**child
Tryon-1983-200-73	73	*name
Tryon-1983-200-74	74	canoe
Tryon-1983-200-75	75	fishhook
Tryon-1983-200-76	76	house
Tryon-1983-200-77	77	paddle
Tryon-1983-200-78	78	**rope
Tryon-1983-200-79	79	**spear
Tryon-1983-200-80	80	*earth
Tryon-1983-200-81	81	earthquake
Tryon-1983-200-82	82	island
Tryon-1983-200-83	83	*mountain
Tryon-1983-200-84	84	*road
Tryon-1983-200-85	85	*sand
Tryon-1983-200-86	86	**sea
Tryon-1983-200-87	87	*stone
Tryon-1983-200-88	88	**bush/forest
Tryon-1983-200-89	89	**day
Tryon-1983-200-90	90	*night
Tryon-1983-200-91	91	**year
Tryon-1983-200-92	92	yesterday
Tryon-1983-200-93	93	tomorrow
Tryon-1983-200-94	94	**dust
Tryon-1983-200-95	95	*ashes
Tryon-1983-200-96	96	*fire
Tryon-1983-200-97	97	*smoke
Tryon-1983-200-98	98	*cloud
Tryon-1983-200-99	99	**fog
Tryon-1983-200-100	100	lightning
Tryon-1983-200-101	101	*rain
Tryon-1983-200-102	102	rainbow
Tryon-1983-200-103	103	thunder
Tryon-1983-200-104	104	**wind
Tryon-1983-200-105	105	*sun
Tryon-1983-200-106	106	*moon
Tryon-1983-200-107	107	*star
Tryon-1983-200-108	108	*water
Tryon-1983-200-109	109	*I
Tryon-1983-200-110	110	*you (sg)
Tryon-1983-200-111	111	**he
Tryon-1983-200-112	112	*we pl.incl.
Tryon-1983-200-113	113	we pl.excl.
Tryon-1983-200-114	114	**you (pl)
Tryon-1983-200-115	115	**they
Tryon-1983-200-116	116	**here
Tryon-1983-200-117	117	**left
Tryon-1983-200-118	118	**right
Tryon-1983-200-119	119	*many
Tryon-1983-200-120	120	*what?
Tryon-1983-200-121	121	**when?
Tryon-1983-200-122	122	**where?
Tryon-1983-200-123	123	*who?
Tryon-1983-200-124	124	how many?
Tryon-1983-200-125	125	**in
Tryon-1983-200-126	126	**fear
Tryon-1983-200-127	127	*life (live)
Tryon-1983-200-128	128	*black
Tryon-1983-200-129	129	*green
Tryon-1983-200-130	130	*red
Tryon-1983-200-131	131	*white
Tryon-1983-200-132	132	*yellow
Tryon-1983-200-133	133	**bad
Tryon-1983-200-134	134	*good
Tryon-1983-200-135	135	*big
Tryon-1983-200-136	136	*small
Tryon-1983-200-137	137	*cold
Tryon-1983-200-138	138	*warm
Tryon-1983-200-139	139	*dry
Tryon-1983-200-140	140	**wet
Tryon-1983-200-141	141	*blunt (dull)
Tryon-1983-200-142	142	**sharp
Tryon-1983-200-143	143	*long
Tryon-1983-200-144	144	**short
Tryon-1983-200-145	145	*new
Tryon-1983-200-146	146	**thick
Tryon-1983-200-147	147	**thin
Tryon-1983-200-148	148	**heavy
Tryon-1983-200-149	149	sick
Tryon-1983-200-150	150	**smooth
Tryon-1983-200-151	151	**straight
Tryon-1983-200-152	152	**cut (wood)
Tryon-1983-200-153	153	**dig
Tryon-1983-200-154	154	*give
Tryon-1983-200-155	155	**hit (stick)
Tryon-1983-200-156	156	**hold
Tryon-1983-200-157	157	**pull
Tryon-1983-200-158	158	**push
Tryon-1983-200-159	159	**play
Tryon-1983-200-160	160	**rub
Tryon-1983-200-161	161	**sew
Tryon-1983-200-162	162	**split
Tryon-1983-200-163	163	**squeeze
Tryon-1983-200-164	164	**stab
Tryon-1983-200-165	165	**throw
Tryon-1983-200-166	166	**tie
Tryon-1983-200-167	167	**wash (hands)
Tryon-1983-200-168	168	*come
Tryon-1983-200-169	169	*fall
Tryon-1983-200-170	170	go
Tryon-1983-200-171	171	*swim
Tryon-1983-200-172	172	**turn
Tryon-1983-200-173	173	*walk
Tryon-1983-200-174	174	**count
Tryon-1983-200-175	175	*know
Tryon-1983-200-176	176	*say
Tryon-1983-200-177	177	**sing
Tryon-1983-200-178	178	**think
Tryon-1983-200-179	179	*burn
Tryon-1983-200-180	180	**float
Tryon-1983-200-181	181	**flow
Tryon-1983-200-182	182	*fly (vb)
Tryon-1983-200-183	183	**swell
Tryon-1983-200-184	184	*bite
Tryon-1983-200-185	185	**blow
Tryon-1983-200-186	186	cry
Tryon-1983-200-187	187	*die
Tryon-1983-200-188	188	*drink
Tryon-1983-200-189	189	*eat
Tryon-1983-200-190	190	*hear
Tryon-1983-200-191	191	**laugh
Tryon-1983-200-192	192	**scratch
Tryon-1983-200-193	193	*see
Tryon-1983-200-194	194	*sit
Tryon-1983-200-195	195	*sleep
Tryon-1983-200-196	196	**smell
Tryon-1983-200-197	197	**spit
Tryon-1983-200-198	198	*stand
Tryon-1983-200-199	199	**suck
Tryon-1983-200-200	200	**vomit
