NUMBER	ENGLISH SATURATION	PROPENSITY
1	STAR	1234.2	0.025
2	SUN	25.0	0.126
3	YEAR	1234.2	0.021
4	SKY	1234.2	0.080
5	SEA/OCEAN	1234.2	0.026
6	STONE/ROCK	1234.2	0.041
7	MOUNTAIN	1085.9	0.049
8	DAY/DAYTIME	195.7	0.087
9	SAND	1234.2	0.026
10	ASH(ES)	13.8	0.068
11	SALT	1234.2	0.007
12	FIRE	1234.2	0.065
13	SMOKE	1234.2	0.031
14	NIGHT	89.3	0.034
15	DUST	246.8	0.065
16	RIVER	336.8	0.048
17	WATER	1234.2	0.073
18	LAKE	1234.2	0.047
19	MOON	1.2	0.997
20	EARTH/SOIL	1234.2	0.116
21	CLOUD(S)	53.4	0.033
22	WIND	1234.2	0.051
