NUMBER	CHINESE	POS	GLOSS	PINYIN
1	太陽	noun	sun (noun)	tài-yáng
2	月亮	noun	moon (noun)	yuè-liàng
3	星	noun	star (noun)	xīng
4	風	noun	wind (noun)	fēng
5	雨	noun	rain (noun)	yù
6	霧	noun	fog (noun)	wù
7	露水	noun	dew (noun)	lù-shuǐ
8	霜	noun	frost (noun)	shuāng
9	雪	noun	snow (noun)	xuě
10	冰	noun	ice (noun)	níng
11	冰雹	noun	hail (noun)	níng-báo
12	閃電	noun	lightning (noun)	shàn-diàn
13	雷	noun	thunder (noun)	léi
14	虹	noun	rainbow (noun)	jiàng
15	天氣	noun	weather (noun)	tiān-qì
16	晴天	noun	sunny day (noun)	qíng-tiān
17	陰天	noun	cloudy day (noun)	yīn-tiān
18	海	noun	sea, ocean (noun)	hǎi
19	湖	noun	lake (noun)	hú
20	池塘	noun	pond (noun)	tuó-táng
21	風景	noun	landscape (noun)	fēng-jǐng
22	時候	noun	time, season (noun)	shí-hòu
23	今年	noun	this year (noun)	jīn-nián
24	明年	noun	next year (noun)	míng-nián
25	後年	noun	the year after next (noun)	hòu-nián
26	去年	noun	last year (noun)	qù-nián
27	前年	noun	the year before last (noun)	qián-nián
28	日子	noun	day (noun)	rì-zi
29	今天	noun	today (noun)	jīn-tiān
30	明天	noun	tomorrow (noun)	míng-tiān
31	後天	noun	the day after tomorrow (noun)	hòu-tiān
32	大後天	noun	three days from now (noun)	dà-hòu-tiān
33	昨天	noun	yesterday (noun)	zuó-tiān
34	前天	noun	the day before yesterday (noun)	qián-tiān
35	大前天	noun	three days before (noun)	dà-qián-tiān
36	白天	noun	day (opposed to night) (noun)	bái-tiān
37	夜間	noun	night (opposed to day) (noun)	yè-jiàn
38	早晨	noun	morning (noun)	zǎo-chén
39	上午	noun	forenoon (noun)	shàng-wǔ
40	中午	noun	noon (noun)	zhòng-wǔ
41	下午	noun	afternoon (noun)	xià-wǔ
42	傍晚	noun	at dusk (nightfall) (noun)	páng-wǎn
43	晚上	noun	evening (noun)	wǎn-shàng
44	元旦	noun	new year (noun)	yuán-dàn
45	端午節	noun	the Dragon Boat Festival (noun)	duān-wǔ-jié
46	中秋節	noun	the Mid-autumn Festival (15th day of the 8th lunar month) (noun)	zhòng-qiū-jié
47	重陽節	noun	the Double-Nine Festival (noun)	zhòng-yáng-jié
48	除夕	noun	Chinese New Year's Eve (noun)	chú-xī
49	金子	noun	gold (noun)	jīn-zǐ
50	銀子	noun	silver (noun)	yín-zǐ
51	銅	noun	copper (noun)	tóng
52	鉄	noun	iron (noun)	tiě
53	鋼	noun	steel (noun)	gāng
54	鉛	noun	lead (noun)	qiān/yuán
55	錫	noun	tin (noun)	xī
56	煤	noun	coal (noun)	méi
57	煤油	noun	kerosine (noun)	méi-yóu
58	汽油	noun	petrol (noun)	qì-yóu
59	石頭	noun	stone (noun)	shí-tóu
60	泥	noun	mud, earth (noun)	nì
61	土	noun	soil, earth (noun)	dù
62	灰塵	noun	dust (noun)	huī-chén
63	老虎	noun	tiger (noun)	lǎo-hǔ
64	獅子	noun	lion (noun)	shī-zǐ
65	豹子	noun	leopard // panther (noun)	bào-zǐ
66	狼	noun	wolf (noun)	láng
67	鹿	noun	dee (noun)	lù
68	猴子	noun	monkey (noun)	hóu-zi
69	兔子	noun	rabbit, hare (noun)	tù-zǐ
70	老鼠	noun	rat, mouse (noun)	lǎo-shǔ
71	老鷹	noun	hawk, eagle (noun)	lǎo-yīng
72	貓頭鷹	noun	owl (noun)	miáo-tóu-yīng
73	雁	noun	wild goose (noun)	yàn
74	燕子	noun	swallow (noun)	yān-zǐ
75	烏鴉	noun	crow (noun)	wū-yā
76	喜鵲	noun	magpie (noun)	xì-què
77	麻雀	noun	sparrow (noun)	má-què
78	鴿子	noun	pigeon, dove (noun)	gē-zǐ
79	八哥	noun	crested myna (noun)	bā-gē
80	牲口	noun	cattle (noun)	shēng-kou
81	公牛	noun	bull (noun)	gōng-niú
82	母牛	noun	cow (noun)	mǔ-niú
83	公馬	noun	stallion (noun)	gōng-mǎ
84	母馬	noun	mare (noun)	mǔ-mǎ
85	公豬	noun	male pig (noun)	gōng-zhū
86	母豬	noun	sow (noun)	mǔ-zhū
87	公狗	noun	male dog (noun)	gōng-gǒu
88	母狗	noun	female dog (noun)	mǔ-gǒu
89	驢	noun	donkey, ass (noun)	lǘ
90	騾子	noun	mule (noun)	luó-zǐ
91	羊	noun	sheep, goat (noun)	yáng
92	貓	noun	cat (noun)	miáo
93	公雞	noun	rooster (cock) (noun)	gōng-jī
94	閹雞	noun	capon (noun)	yān-jī
95	母雞	noun	hen (chicken) (noun)	mǔ-jī
96	小雞兒	noun	small bird (noun)	xiǎo-jī-ní
97	鴨子	noun	duck (noun)	yā-zǐ
98	鵝	noun	goose (noun)	é
99	鯉魚	noun	carp (noun)	lǐ-yú
100	鯽魚	noun	crucian carp (noun)	jì-yú
101	黃花魚	noun	yellow croaker (noun)	huáng-huā-yú
102	螃蟹	noun	crab (noun)	páng-xiè
103	蝦	noun	shrimp (noun)	há
104	蚌	noun	oysters, mussels (noun)	bàng
105	青蛙	noun	frog (noun)	qīng-wā
106	癩蛤蟆	noun	toad (noun)	là-gé-má
107	烏龜	noun	turtle (noun)	wū-guī
108	蝸牛	noun	snail (noun)	wā/guā-niú
109	蚯蚓	noun	earthworm (noun)	qiū-yìn
110	蠶	noun	silkworms (noun)	cán
111	蜜蜂	noun	bee (noun)	mì-péng
112	蝴蝶	noun	butterfly (noun)	hú-dié
113	蜻蜓	noun	dragonfly (noun)	qīng-diàn
114	蟬	noun	cicada (noun)	chán
115	螢火蟲	noun	firefly (noun)	yíng-huǒ-chóng
116	蟋蟀	noun	cricket (noun)	xī-shuài
117	螞蟻	noun	ant (noun)	mǎ-yǐ
118	蒼蠅	noun	housefly (noun)	cāng-yíng
119	蚊子	noun	mosquito (noun)	wén-zǐ
120	臭蟲	noun	bedbug (noun)	chòu-chóng
121	蜘蛛	noun	spider (noun)	zhī-zhū
122	蜈蚣	noun	centipede (noun)	wú-zhōng
123	蛇	noun	snake (noun)	shé
124	壁虎	noun	gecko (noun)	bì-hǔ
125	翅膀	noun	wing (noun)	chì-páng
126	蹄子	noun	hoof (noun)	tí-zǐ
127	爪子	noun	claw (noun)	zhǎo-zǐ
128	尾巴	noun	tail (noun)	wěi-bā
129	鱗	noun	fish scales (noun)	lín
130	梅花	noun	plum blossom (noun)	méi-huā
131	杏花	noun	apricot blossom (noun)	xìng-huā
132	桃花	noun	peach blossom (noun)	táo-huā
133	荷花	noun	lotus (noun)	hé-huā
134	桂花	noun	cassia (noun)	guì-huā
135	艾	noun	mugwort (noun)	ài
136	棉花	noun	cotton (raw) (noun)	mián-huā
137	稻子	noun	rice plant (noun)	dào-zǐ
138	稻谷	noun	rice crops (noun)	dào-lù
139	大米	noun	rice (noun)	dà-mǐ
140	糯米	noun	polished glutinous rice (noun)	nuò-mǐ
141	麥子	noun	wheat (noun)	mài-zǐ
142	面粉	noun	flour (noun)	miàn-fěn
143	谷子	noun	millet (unhusked rice) (noun)	lù-zǐ
144	小米	noun	millet (noun)	xiǎo-mǐ
145	麩子	noun	bran (noun)	fū-zǐ
146	糠	noun	chaff (husks) (noun)	kāng
147	高粱	noun	sorghum (noun)	gāo-liáng
